name,begin/end,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,1,110,542765,15931801427,1,5,1730,49.7146,19.316782,-0.308382,-0.0898128,-0.947013,12.535,146.827,69.7717,91.9609,169.959,313.682,-15.4439,138.335,70.9504,-15.4439,138.335,70.9504,0,0,0,-15.4439,138.335,70.9504,-48.4565,139.539,36.656,0.693292,-0.025283,0.720213,-48.4565,139.539,36.656,-75.4881,144.414,19.2389,0.831121,-0.149888,0.53551,-75.4881,144.414,19.2389,-96.2614,152.401,17.4828,0.93049,-0.357771,0.078659
Thumb,1,110,542766,15931810322,1,5,1730,49.7146,19.316782,-0.308366,-0.0899226,-0.947008,12.5336,146.825,69.7718,91.9554,169.985,313.68,-15.4449,138.332,70.9506,-15.4449,138.332,70.9506,0,0,0,-15.4449,138.332,70.9506,-48.4486,139.52,36.647,0.693105,-0.0249526,0.720404,-48.4486,139.52,36.647,-75.4798,144.388,19.227,0.831106,-0.149663,0.535597,-75.4798,144.388,19.227,-96.2548,152.368,17.4588,0.930568,-0.357449,0.0792025
Thumb,1,110,542767,15931819362,1,5,1730,49.7146,19.316782,-0.308352,-0.0900384,-0.947002,12.5345,146.825,69.7734,91.9527,170.015,313.68,-15.4437,138.331,70.9525,-15.4437,138.331,70.9525,0,0,0,-15.4437,138.331,70.9525,-48.4472,139.515,36.6485,0.6931,-0.0248625,0.720412,-48.4472,139.515,36.6485,-75.4791,144.38,19.2291,0.83113,-0.149585,0.535581,-75.4791,144.38,19.2291,-96.2552,152.356,17.4526,0.930616,-0.35724,0.079577
Thumb,1,110,542768,15931828401,1,5,1730,49.7146,19.316782,-0.308352,-0.090159,-0.94699,12.5339,146.823,69.7767,91.9521,170.044,313.681,-15.444,138.328,70.956,-15.444,138.328,70.956,0,0,0,-15.444,138.328,70.956,-48.4485,139.512,36.6531,0.693124,-0.0248661,0.72039,-48.4485,139.512,36.6531,-75.4816,144.377,19.2354,0.831164,-0.14958,0.535529,-75.4816,144.377,19.2354,-96.2582,152.35,17.4586,0.930642,-0.35717,0.0795892
Thumb,1,110,542769,15931837486,1,5,1730,49.7146,19.316782,-0.308349,-0.0902851,-0.946979,12.5331,146.818,69.7807,91.9506,170.072,313.682,-15.4445,138.322,70.96,-15.4445,138.322,70.96,0,0,0,-15.4445,138.322,70.96,-48.4504,139.507,36.6584,0.693151,-0.0248914,0.720362,-48.4504,139.507,36.6584,-75.4841,144.372,19.2417,0.831185,-0.149579,0.535497,-75.4841,144.372,19.2417,-96.2612,152.345,17.4662,0.930661,-0.357134,0.079527
Thumb,1,110,542770,15931846477,1,5,1730,49.7146,19.316782,-0.308337,-0.0903927,-0.946973,12.5329,146.813,69.7838,91.9473,170.094,313.683,-15.4445,138.316,70.963,-15.4445,138.316,70.963,0,0,0,-15.4445,138.316,70.963,-48.4512,139.503,36.6622,0.693168,-0.024926,0.720345,-48.4512,139.503,36.6622,-75.4852,144.368,19.2461,0.831195,-0.149584,0.535481,-75.4852,144.368,19.2461,-96.2626,152.34,17.4711,0.930678,-0.357097,0.0795049
Thumb,1,110,542771,15931855529,1,5,1730,49.7146,19.316782,-0.308321,-0.0904815,-0.946969,12.533,146.807,69.7864,91.9434,170.111,313.685,-15.4442,138.309,70.9655,-15.4442,138.309,70.9655,0,0,0,-15.4442,138.309,70.9655,-48.4513,139.498,36.6651,0.693176,-0.0249603,0.720336,-48.4513,139.498,36.6651,-75.4859,144.364,19.2501,0.831212,-0.149607,0.535447,-75.4859,144.364,19.2501,-96.2635,152.336,17.4773,0.930687,-0.357094,0.079407
Thumb,1,110,542772,15931864664,1,5,1730,49.7146,19.316782,-0.308301,-0.0905827,-0.946966,12.5329,146.798,69.7903,91.9381,170.128,313.688,-15.4443,138.3,70.9688,-15.4443,138.3,70.9688,0,0,0,-15.4443,138.3,70.9688,-48.4506,139.487,36.6677,0.69316,-0.0249407,0.720352,-48.4506,139.487,36.6677,-75.4865,144.354,19.2548,0.831253,-0.149618,0.535381,-75.4865,144.354,19.2548,-96.2643,152.327,17.4898,0.930694,-0.357154,0.0790576
Thumb,1,110,542773,15931873669,1,5,1730,49.7146,19.316782,-0.308272,-0.0907045,-0.946964,12.5318,146.785,69.7957,91.9296,170.146,313.693,-15.4453,138.287,70.9733,-15.4453,138.287,70.9733,0,0,0,-15.4453,138.287,70.9733,-48.4501,139.473,36.6706,0.693129,-0.0249116,0.720383,-48.4501,139.473,36.6706,-75.4895,144.342,19.2638,0.831358,-0.149695,0.535196,-75.4895,144.342,19.2638,-96.2671,152.319,17.5146,0.930687,-0.357327,0.0783485
Thumb,1,110,542774,15931882731,1,5,1730,49.7146,19.316782,-0.308247,-0.0908197,-0.946961,12.5292,146.77,69.8025,91.9203,170.161,313.699,-15.448,138.272,70.9785,-15.448,138.272,70.9785,0,0,0,-15.448,138.272,70.9785,-48.4526,139.461,36.6757,0.693123,-0.0249564,0.720387,-48.4526,139.461,36.6757,-75.4947,144.333,19.2741,0.831443,-0.149802,0.535034,-75.4947,144.333,19.2741,-96.2724,152.312,17.5338,0.930688,-0.357413,0.077953
