name,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,108,25953965,337861482389,1,5,11300,51.620026,20.057144,-0.418694,0.194637,-0.887024,18.4283,182.718,88.0578,130.399,130.667,325.273,-10.7504,174.547,90.3076,-10.7504,174.547,90.3076,0,0,0,-10.7504,174.547,90.3076,-41.634,175.796,51.7177,0.624639,-0.0252561,0.780505,-41.634,175.796,51.7177,-59.9618,174.867,23.3681,0.542711,0.027518,0.839469,-59.9618,174.867,23.3681,-75.9426,176.512,6.65718,0.6894,-0.0709571,0.720897
Thumb,108,25953966,337861491406,1,5,11300,51.644154,20.066519,-0.419655,0.194271,-0.88665,18.1085,182.584,88.0536,130.389,130.606,325.28,-11.0827,174.406,90.3073,-11.0827,174.406,90.3073,0,0,0,-11.0827,174.406,90.3073,-42.0408,175.656,51.7476,0.625855,-0.0252665,0.77953,-42.0408,175.656,51.7476,-60.3513,174.683,23.3695,0.541944,0.0287773,0.839921,-60.3513,174.683,23.3695,-76.3581,176.324,6.66802,0.690201,-0.0707233,0.720154
Thumb,108,25953967,337861500471,1,5,11300,51.644154,20.066519,-0.420255,0.194507,-0.886314,17.8447,182.46,88.02,130.285,130.419,325.157,-11.3453,174.279,90.277,-11.3453,174.279,90.277,0,0,0,-11.3453,174.279,90.277,-42.377,175.524,51.7763,0.627342,-0.0251706,0.778337,-42.377,175.524,51.7763,-60.6615,174.499,23.3832,0.541175,0.0303291,0.840363,-60.6615,174.499,23.3832,-76.6993,176.137,6.71124,0.691537,-0.0705996,0.718883
Thumb,108,25953968,337861509486,1,5,11300,51.668282,20.075893,-0.420661,0.193904,-0.886253,17.5985,182.328,88.0186,130.201,130.424,325.25,-11.6049,174.142,90.2763,-11.6049,174.142,90.2763,0,0,0,-11.6049,174.142,90.2763,-42.7158,175.392,51.8101,0.62865,-0.0252621,0.777278,-42.7158,175.392,51.8101,-60.9661,174.315,23.3782,0.539912,0.0318849,0.841118,-60.9661,174.315,23.3782,-77.0411,175.956,6.72734,0.692814,-0.0707448,0.717638
Thumb,108,25953969,337861518551,1,5,11300,51.668282,20.075893,-0.420396,0.193697,-0.886425,17.3737,182.21,87.9807,129.905,130.361,325.258,-11.8299,174.024,90.238,-11.8299,174.024,90.238,0,0,0,-11.8299,174.024,90.238,-42.9985,175.267,51.8182,0.629817,-0.0251132,0.776338,-42.9985,175.267,51.8182,-61.2002,174.128,23.3576,0.538471,0.0337028,0.84197,-61.2002,174.128,23.3576,-77.3116,175.775,6.7425,0.694386,-0.0709763,0.716094
Thumb,108,25953970,337861527570,1,5,11300,51.69241,20.085268,-0.420082,0.193698,-0.886573,17.1862,182.121,87.9692,129.686,130.248,325.397,-12.0304,173.93,90.2303,-12.0304,173.93,90.2303,0,0,0,-12.0304,173.93,90.2303,-43.2703,175.15,51.8379,0.630961,-0.0246438,0.775423,-43.2703,175.15,51.8379,-61.4285,173.937,23.3339,0.536935,0.0358876,0.84286,-61.4285,173.937,23.3339,-77.5926,175.589,6.75542,0.696331,-0.0711891,0.714181
Thumb,108,25953971,337861536599,1,5,11300,51.69241,20.085268,-0.419791,0.193977,-0.88665,17.0078,182.02,87.9343,129.429,130.073,325.382,-12.2085,173.829,90.1975,-12.2085,173.829,90.1975,0,0,0,-12.2085,173.829,90.1975,-43.5252,175.049,51.8677,0.632512,-0.0246287,0.774159,-43.5252,175.049,51.8677,-61.6309,173.767,23.3333,0.535384,0.0379049,0.843758,-61.6309,173.767,23.3333,-77.8387,175.428,6.79832,0.698212,-0.0715328,0.712309
Thumb,108,25953972,337861545639,1,5,11300,51.716537,20.094643,-0.421552,0.187394,-0.88723,16.7259,181.762,87.8668,129.672,131.554,325.581,-12.5149,173.601,90.1116,-12.5149,173.601,90.1116,0,0,0,-12.5149,173.601,90.1116,-43.8865,174.913,51.8,0.633327,-0.0264864,0.773431,-43.8865,174.913,51.8,-61.9462,173.638,23.2174,0.533773,0.0376788,0.844788,-61.9462,173.638,23.2174,-78.1814,175.346,6.69905,0.699071,-0.0735389,0.711261
Thumb,108,25953973,337861554665,1,5,11300,51.716537,20.094643,-0.421719,0.184632,-0.88773,16.4682,181.464,87.7855,129.459,131.996,325.634,-12.779,173.321,90.0118,-12.779,173.321,90.0118,0,0,0,-12.779,173.321,90.0118,-44.1802,174.674,51.7258,0.633924,-0.0273228,0.772913,-44.1802,174.674,51.7258,-62.1814,173.376,23.1074,0.532045,0.0383621,0.845847,-62.1814,173.376,23.1074,-78.4358,175.109,6.61059,0.699897,-0.0746302,0.710334
Thumb,108,25953974,337861563706,1,5,11300,51.740665,20.104019,-0.421703,0.182739,-0.888129,16.2866,181.24,87.7467,129.326,132.257,325.813,-12.9791,173.107,89.9613,-12.9791,173.107,89.9613,0,0,0,-12.9791,173.107,89.9613,-44.4328,174.481,51.6893,0.634689,-0.0277205,0.772271,-44.4328,174.481,51.6893,-62.3891,173.144,23.0258,0.530469,0.0394946,0.846784,-62.3891,173.144,23.0258,-78.6793,174.897,6.55115,0.70111,-0.075455,0.709049
