name,begin/end,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,1,37,26841411,352275388704,1,5,13200,50.454388,19.604229,-0.421924,0.467008,-0.777099,20.5955,187.132,54.1222,130.882,65.0611,257.248,-8.68981,183.696,57.6663,-8.68981,183.696,57.6663,0,0,0,-8.68981,183.696,57.6663,-30.9729,188.509,15.0555,0.461101,-0.0995938,0.881741,-30.9729,188.509,15.0555,-41.3908,188.275,-16.2648,0.315615,0.00709818,0.948861,-41.3908,188.275,-16.2648,-51.5541,190.315,-36.4116,0.44857,-0.0900384,0.889201
Thumb,1,37,26841412,352275412131,1,5,13200,50.454388,19.604229,-0.4184,0.467455,-0.778735,20.0109,186.232,53.4377,129.376,64.0442,256.991,-9.2257,182.472,57.0547,-9.2257,182.472,57.0547,0,0,0,-9.2257,182.472,57.0547,-31.6237,187.047,14.478,0.46348,-0.0946605,0.881037,-31.6237,187.047,14.478,-42.0332,186.646,-16.8434,0.31536,0.0121591,0.948894,-42.0332,186.646,-16.8434,-52.5629,188.812,-36.7879,0.464739,-0.0956093,0.880271
Thumb,1,38,26841413,352275435559,1,5,13200,50.454388,19.604229,-0.420534,0.460575,-0.781679,19.1816,185.066,52.9287,129.105,64.6768,257.251,-10.0117,180.988,56.5504,-10.0117,180.988,56.5504,0,0,0,-10.0117,180.988,56.5504,-32.3962,185.268,13.936,0.463201,-0.0885748,0.881816,-32.3962,185.268,13.936,-42.675,184.652,-17.425,0.311399,0.0186776,0.950096,-42.675,184.652,-17.425,-53.444,186.862,-37.2365,0.475299,-0.0975549,0.874399
Thumb,1,38,26841414,352275458985,1,5,13200,50.454388,19.604229,-0.426659,0.459458,-0.779012,18.6704,184.13,52.601,130.195,64.0325,256.227,-10.4799,179.803,56.2805,-10.4799,179.803,56.2805,0,0,0,-10.4799,179.803,56.2805,-32.9157,183.741,13.6601,0.464263,-0.0814888,0.881941,-32.9157,183.741,13.6601,-43.1456,182.887,-17.7114,0.309917,0.0258844,0.950411,-43.1456,182.887,-17.7114,-54.1298,185.075,-37.4068,0.484802,-0.0965649,0.869277
Thumb,1,39,26841415,352275482409,1,5,13200,50.454388,19.604229,-0.429776,0.45514,-0.779833,18.0742,183.137,52.3204,130.413,64.1684,256.161,-11.0466,178.632,56.0178,-11.0466,178.632,56.0178,0,0,0,-11.0466,178.632,56.0178,-33.4757,182.347,13.3737,0.464122,-0.0768703,0.88243,-33.4757,182.347,13.3737,-43.6421,181.338,-18.0138,0.307995,0.0305552,0.950897,-43.6421,181.338,-18.0138,-54.8342,183.573,-37.5866,0.493974,-0.0986331,0.863864
Thumb,1,39,26841416,352275505825,1,5,13200,50.454388,19.604229,-0.434418,0.446798,-0.782082,17.3214,182.126,52.0232,130.874,65.3377,256.451,-11.7902,177.549,55.7064,-11.7902,177.549,55.7064,0,0,0,-11.7902,177.549,55.7064,-34.1555,181.091,13.0141,0.462803,-0.0732815,0.883427,-34.1555,181.091,13.0141,-44.2315,179.942,-18.3977,0.305254,0.0348118,0.951634,-44.2315,179.942,-18.3977,-55.5893,182.238,-37.8676,0.50129,-0.101365,0.859321
Thumb,1,40,26841417,352275529252,1,5,13200,50.454388,19.604229,-0.434202,0.439659,-0.786237,16.7757,181.054,51.7799,130.272,66.1322,257.294,-12.3188,176.368,55.4604,-12.3188,176.368,55.4604,0,0,0,-12.3188,176.368,55.4604,-34.6706,179.801,12.7522,0.462523,-0.0710327,0.883757,-34.6706,179.801,12.7522,-44.6707,178.555,-18.6801,0.302959,0.0377509,0.952256,-44.6707,178.555,-18.6801,-56.1692,180.905,-38.0609,0.507494,-0.103737,0.855388
Thumb,1,40,26841418,352275552675,1,5,13200,50.454388,19.604229,-0.436194,0.43543,-0.787487,16.3664,179.957,51.5602,130.383,66.1397,257.401,-12.7036,175.13,55.2534,-12.7036,175.13,55.2534,0,0,0,-12.7036,175.13,55.2534,-35.0627,178.369,12.5339,0.462675,-0.0670199,0.883991,-35.0627,178.369,12.5339,-45.0421,177.008,-18.9003,0.302329,0.0412323,0.952311,-45.0421,177.008,-18.9003,-56.5874,179.293,-38.261,0.509565,-0.100834,0.854503
Thumb,1,40,26841419,352275576116,1,5,13200,50.454388,19.604229,-0.442086,0.436347,-0.783685,15.9284,178.863,51.5428,131.485,64.8068,256.39,-13.1212,173.922,55.2443,-13.1212,173.922,55.2443,0,0,0,-13.1212,173.922,55.2443,-35.4335,176.845,12.4776,0.461708,-0.0604814,0.884968,-35.4335,176.845,12.4776,-45.3539,175.28,-18.9657,0.300541,0.0474096,0.95259,-45.3539,175.28,-18.9657,-56.969,177.478,-38.2948,0.512641,-0.0969959,0.853106
Thumb,1,40,26841420,352275599564,1,5,13200,50.454388,19.604229,-0.44908,0.432795,-0.781674,15.6327,177.854,51.6161,133.018,64.726,255.938,-13.4052,172.88,55.3656,-13.4052,172.88,55.3656,0,0,0,-13.4052,172.88,55.3656,-35.6915,175.518,12.5668,0.461169,-0.0545765,0.885632,-35.6915,175.518,12.5668,-45.583,173.761,-18.8755,0.299667,0.0532315,0.952558,-45.583,173.761,-18.8755,-57.3169,175.919,-38.1371,0.517888,-0.0952611,0.850128
