name,begin/end,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,1,100,26793548,350960689532,1,5,12440,49.595814,19.270628,-0.491049,0.363304,-0.791758,24.8863,153.469,61.603,151.057,60.1212,265.039,-3.62249,150.405,67.0886,-3.62249,150.405,67.0886,0,0,0,-3.62249,150.405,67.0886,-24.4578,139.355,25.8533,0.438606,0.23262,0.868051,-24.4578,139.355,25.8533,-37.178,130.684,-2.70876,0.392035,0.267245,0.880278,-37.178,130.684,-2.70876,-49.5371,127.643,-20.9854,0.554923,0.13654,0.82062
Thumb,1,100,26793549,350960698845,1,5,12440,49.595814,19.270628,-0.493498,0.355819,-0.793632,24.3566,152.637,60.8866,151.157,61.2119,264.804,-4.16569,149.534,66.2801,-4.16569,149.534,66.2801,0,0,0,-4.16569,149.534,66.2801,-24.8399,138.339,25.0027,0.435216,0.235668,0.868935,-24.8399,138.339,25.0027,-37.5153,129.623,-3.56538,0.390652,0.268649,0.880465,-37.5153,129.623,-3.56538,-49.8067,126.508,-21.8751,0.551886,0.139864,0.822107
Thumb,1,101,26793550,350960708012,1,5,12440,49.595814,19.270628,-0.492458,0.348966,-0.797313,23.981,151.853,60.3089,150.514,62.1894,265.172,-4.5523,148.739,65.6369,-4.5523,148.739,65.6369,0,0,0,-4.5523,148.739,65.6369,-25.1159,137.425,24.3368,0.432887,0.238175,0.869415,-25.1159,137.425,24.3368,-37.7814,128.678,-4.22645,0.39035,0.269575,0.880316,-37.7814,128.678,-4.22645,-50.0295,125.506,-22.5555,0.549938,0.142415,0.822974
Thumb,1,101,26793551,350960717274,1,5,12440,49.595814,19.270628,-0.490968,0.343469,-0.800612,23.7708,151.172,59.8552,149.921,62.9206,265.566,-4.76767,148.041,65.1456,-4.76767,148.041,65.1456,0,0,0,-4.76767,148.041,65.1456,-25.2192,136.556,23.8371,0.430527,0.241778,0.869591,-25.2192,136.556,23.8371,-37.8905,127.757,-4.70758,0.390529,0.271183,0.879743,-37.8905,127.757,-4.70758,-50.075,124.483,-23.061,0.547083,0.147001,0.824069
Thumb,1,101,26793552,350960726480,1,5,12440,49.595814,19.270628,-0.490866,0.339451,-0.802386,23.6172,150.57,59.4159,149.741,63.3511,265.582,-4.92083,147.398,64.6837,-4.92083,147.398,64.6837,0,0,0,-4.92083,147.398,64.6837,-25.2766,135.725,23.3804,0.428512,0.245724,0.869481,-25.2766,135.725,23.3804,-37.9421,126.847,-5.14243,0.390348,0.273616,0.879069,-37.9421,126.847,-5.14243,-50.0663,123.458,-23.5147,0.544379,0.152203,0.824916
Thumb,1,102,26793553,350960735699,1,5,12440,49.595814,19.270628,-0.496601,0.327378,-0.803872,22.9075,148.678,58.0178,150.505,64.561,264.566,-5.74309,146.558,63.2023,-5.74309,146.558,63.2023,0,0,0,-5.74309,146.558,63.2023,-26.101,134.731,21.9439,0.428557,0.248964,0.868537,-26.101,134.731,21.9439,-38.8538,125.755,-6.50909,0.393041,0.276647,0.876918,-38.8538,125.755,-6.50909,-50.8603,122.322,-24.9506,0.53909,0.154133,0.828025
Thumb,1,102,26793554,350960744957,1,5,12440,49.595814,19.270628,-0.492542,0.31802,-0.810102,22.7679,147.886,56.7291,149.323,66.1737,264.878,-5.86888,145.687,61.9573,-5.86888,145.687,61.9573,0,0,0,-5.86888,145.687,61.9573,-26.1792,133.479,20.7865,0.427555,0.256987,0.866692,-26.1792,133.479,20.7865,-38.9553,124.294,-7.58907,0.39376,0.283105,0.874531,-38.9553,124.294,-7.58907,-50.9433,120.667,-26.0055,0.538259,0.162844,0.826897
Thumb,1,102,26793555,350960754164,1,5,12440,49.595814,19.270628,-0.485826,0.31478,-0.815406,22.7318,147.502,55.959,147.561,66.6222,265.471,-5.8963,145.27,61.2205,-5.8963,145.27,61.2205,0,0,0,-5.8963,145.27,61.2205,-26.1926,132.793,20.1234,0.427259,0.262645,0.86514,-26.1926,132.793,20.1234,-39.0068,123.464,-8.18801,0.394934,0.287532,0.872555,-39.0068,123.464,-8.18801,-50.9881,119.702,-26.5817,0.53796,0.168897,0.825877
Thumb,1,102,26793556,350960763412,1,5,12440,49.595814,19.270628,-0.480414,0.310518,-0.820232,22.4762,147.129,55.3233,145.915,67.3441,266.075,-6.15172,144.84,60.561,-6.15172,144.84,60.561,0,0,0,-6.15172,144.84,60.561,-26.3479,132.113,19.4913,0.425152,0.267907,0.864564,-26.3479,132.113,19.4913,-39.1365,122.651,-8.78751,0.394143,0.29164,0.871549,-39.1365,122.651,-8.78751,-51.0594,118.748,-27.1897,0.535341,0.175244,0.826257
Thumb,1,103,26793557,350960772610,1,5,12440,49.595814,19.270628,-0.478239,0.307748,-0.822544,22.2424,146.746,54.8756,145.122,67.6724,266.221,-6.39119,144.432,60.0718,-6.39119,144.432,60.0718,0,0,0,-6.39119,144.432,60.0718,-26.4958,131.557,19.0035,0.423226,0.271038,0.864534,-26.4958,131.557,19.0035,-39.2531,122.019,-9.26407,0.393177,0.293968,0.871203,-39.2531,122.019,-9.26407,-51.1257,118.032,-27.6808,0.533079,0.179004,0.826912
