name,begin/end,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,1,54,620110,17258136204,1,5,2280,51.701862,20.088942,-0.234995,0.0971046,-0.967134,19.3662,166.665,94.6576,82.3102,140.656,353.707,-9.71052,159.597,100.201,-9.71052,159.597,100.201,0,0,0,-9.71052,159.597,100.201,-39.5155,155.264,60.8928,0.601871,0.0874976,0.793785,-39.5155,155.264,60.8928,-65.2745,157.464,39.0816,0.76155,-0.0650408,0.644834,-65.2745,157.464,39.0816,-86.4328,165.491,33.8904,0.911307,-0.345726,0.223593
Thumb,1,54,620111,17258154619,1,5,2280,51.701862,20.088942,-0.235376,0.0969596,-0.967056,19.3764,166.713,94.6347,82.4225,140.742,353.663,-9.69886,159.634,100.172,-9.69886,159.634,100.172,0,0,0,-9.69886,159.634,100.172,-39.4837,155.27,60.8516,0.601464,0.0881228,0.794025,-39.4837,155.27,60.8516,-65.2401,157.456,39.036,0.761474,-0.0646307,0.644965,-65.2401,157.456,39.036,-86.4007,165.483,33.8547,0.911408,-0.345735,0.223164
Thumb,1,54,620112,17258173080,1,5,2280,51.701862,20.088942,-0.235899,0.0968925,-0.966935,19.3929,166.773,94.6191,82.5791,140.82,353.615,-9.68113,159.682,100.149,-9.68113,159.682,100.149,0,0,0,-9.68113,159.682,100.149,-39.4451,155.283,60.8161,0.601043,0.0888303,0.794265,-39.4451,155.283,60.8161,-65.1981,157.452,38.9948,0.761373,-0.0641345,0.645134,-65.1981,157.452,38.9948,-86.3612,165.481,33.8253,0.911515,-0.345782,0.222655
Thumb,1,54,620113,17258191551,1,5,2280,51.701862,20.088942,-0.236203,0.0968275,-0.966867,19.3976,166.808,94.6101,82.6651,140.872,353.588,-9.67575,159.709,100.132,-9.67575,159.709,100.132,0,0,0,-9.67575,159.709,100.132,-39.4237,155.284,60.7906,0.60072,0.0893507,0.794451,-39.4237,155.284,60.7906,-65.1697,157.436,38.9594,0.761166,-0.0636202,0.645429,-65.1697,157.436,38.9594,-86.3338,165.455,33.7796,0.911559,-0.345381,0.223099
Thumb,1,54,620114,17258210008,1,5,2280,51.701862,20.088942,-0.235705,0.0958762,-0.967084,19.408,166.85,94.6122,82.5422,141.17,353.648,-9.66549,159.749,100.131,-9.66549,159.749,100.131,0,0,0,-9.66549,159.749,100.131,-39.4267,155.332,60.7982,0.600987,0.0891917,0.794267,-39.4267,155.332,60.7982,-65.1768,157.489,38.9722,0.761288,-0.0637546,0.645272,-65.1768,157.489,38.9722,-86.3394,165.503,33.7786,0.911493,-0.34517,0.223694
Thumb,1,54,620115,17258228459,1,5,2280,51.701862,20.088942,-0.235429,0.0953878,-0.967199,19.4096,166.879,94.6135,82.4699,141.329,353.68,-9.66409,159.775,100.127,-9.66409,159.775,100.127,0,0,0,-9.66409,159.775,100.127,-39.4267,155.349,60.797,0.601015,0.089371,0.794225,-39.4267,155.349,60.797,-65.1787,157.502,38.9729,0.761344,-0.0636383,0.645217,-65.1787,157.502,38.9729,-86.342,165.518,33.7856,0.911524,-0.345264,0.223423
Thumb,1,54,620116,17258246952,1,5,2280,51.701862,20.088942,-0.235585,0.094806,-0.967218,19.3776,166.894,94.6306,82.4798,141.5,353.703,-9.69479,159.771,100.127,-9.69479,159.771,100.127,0,0,0,-9.69479,159.771,100.127,-39.41,155.138,60.7849,0.600057,0.0935613,0.794467,-39.41,155.138,60.7849,-65.1465,157.151,38.9292,0.760884,-0.0595268,0.646151,-65.1465,157.151,38.9292,-86.3243,165.092,33.6858,0.912154,-0.342012,0.22584
Thumb,1,54,620117,17258265413,1,5,2280,51.701862,20.088942,-0.236086,0.0944811,-0.967128,19.3469,166.911,94.6586,82.5831,141.604,353.706,-9.7243,159.77,100.138,-9.7243,159.77,100.138,0,0,0,-9.7243,159.77,100.138,-39.3731,154.823,60.7835,0.598716,0.0998887,0.794708,-39.3731,154.823,60.7835,-65.0848,156.624,38.8802,0.760152,-0.0532341,0.64756,-65.0848,156.624,38.8802,-86.283,164.443,33.5362,0.913028,-0.336751,0.230172
Thumb,1,54,620118,17258283857,1,5,2280,51.701862,20.088942,-0.235918,0.0939766,-0.967218,19.33,166.945,94.6757,82.5214,141.773,353.747,-9.74285,159.808,100.151,-9.74285,159.808,100.151,0,0,0,-9.74285,159.808,100.151,-39.3774,154.788,60.795,0.598429,0.101357,0.794739,-39.3774,154.788,60.795,-65.0763,156.536,38.8723,0.759774,-0.0516642,0.648132,-65.0763,156.536,38.8723,-86.2759,164.329,33.4967,0.913091,-0.335643,0.231533
Thumb,1,54,620119,17258302296,1,5,2280,51.701862,20.088942,-0.235732,0.0934613,-0.967314,19.315,166.973,94.6921,82.4563,141.939,353.789,-9.7599,159.84,100.163,-9.7599,159.84,100.163,0,0,0,-9.7599,159.84,100.163,-39.3806,154.789,60.8007,0.598149,0.102011,0.794865,-39.3806,154.789,60.8007,-65.0722,156.518,38.8681,0.759558,-0.0511333,0.648426,-65.0722,156.518,38.8681,-86.2704,164.308,33.4821,0.913028,-0.335508,0.231979
