name,begin/end,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,1,46,16407136,164580391143,1,5,5460,51.70903,20.091726,-0.330053,0.156386,-0.930918,19.6987,172.226,71.3329,108.117,130.332,320.716,-8.3212,161.641,76.7396,-8.3212,161.641,76.7396,0,0,0,-8.3212,161.641,76.7396,-40.762,160.772,39.3255,0.655006,0.0175397,0.75542,-40.762,160.772,39.3255,-61.8652,159.645,12.9098,0.62382,0.0333258,0.780857,-61.8652,159.645,12.9098,-79.5815,160.647,-2.06783,0.762951,-0.0431558,0.645015
Thumb,1,46,16407137,164580412556,1,5,5460,51.70903,20.091726,-0.328561,0.160999,-0.93066,19.6372,172.793,71.2198,107.655,129.663,320.534,-8.37714,162.204,76.6483,-8.37714,162.204,76.6483,0,0,0,-8.37714,162.204,76.6483,-40.9667,161.578,39.359,0.658011,0.0126381,0.752902,-40.9667,161.578,39.359,-62.0526,160.556,12.9251,0.623307,0.0302126,0.781394,-62.0526,160.556,12.9251,-79.8235,161.667,-1.97997,0.765305,-0.0478312,0.641888
Thumb,1,46,16407138,164580433944,1,5,5460,51.70903,20.091726,-0.327522,0.1618,-0.930887,19.4551,173.338,71.1386,107.195,129.994,320.514,-8.5457,162.727,76.5946,-8.5457,162.727,76.5946,0,0,0,-8.5457,162.727,76.5946,-41.2769,162.259,39.4272,0.660869,0.00944442,0.750442,-41.2769,162.259,39.4272,-62.372,161.302,12.9983,0.623579,0.02831,0.781248,-62.372,161.302,12.9983,-80.2515,162.514,-1.76833,0.769983,-0.0522214,0.635924
Thumb,1,46,16407139,164580455350,1,5,5460,51.70903,20.091726,-0.327922,0.163497,-0.930449,19.2425,173.809,71.0872,107.089,130.01,320.345,-8.73631,163.163,76.5891,-8.73631,163.163,76.5891,0,0,0,-8.73631,163.163,76.5891,-41.6133,162.789,39.5495,0.663814,0.0075691,0.747859,-41.6133,162.789,39.5495,-62.7548,161.868,13.1563,0.624948,0.0271991,0.780192,-62.7548,161.868,13.1563,-80.7485,163.153,-1.46466,0.774903,-0.0553401,0.629653
Thumb,1,46,16407140,164580476768,1,5,5460,51.70903,20.091726,-0.327816,0.168818,-0.929536,18.9274,174.334,71.0719,106.746,129.11,320.085,-9.02719,163.657,76.6343,-9.02719,163.657,76.6343,0,0,0,-9.02719,163.657,76.6343,-42.057,163.351,39.7303,0.6669,0.00617962,0.745122,-42.057,163.351,39.7303,-63.2641,162.459,13.3889,0.62689,0.0263741,0.778661,-63.2641,162.459,13.3889,-81.3655,163.8,-1.09353,0.779536,-0.0577727,0.623688
Thumb,1,46,16407141,164580498164,1,5,5460,51.70903,20.091726,-0.32594,0.169716,-0.930032,18.6554,174.921,71.0456,105.971,129.456,320.192,-9.26577,164.196,76.6836,-9.26577,164.196,76.6836,0,0,0,-9.26577,164.196,76.6836,-42.4567,163.926,39.9241,0.670151,0.00544237,0.742204,-42.4567,163.926,39.9241,-63.7537,163.05,13.6548,0.629547,0.0259036,0.776531,-63.7537,163.05,13.6548,-81.9515,164.422,-0.703369,0.783691,-0.0590811,0.618335
Thumb,1,46,16407142,164580519556,1,5,5460,51.70903,20.091726,-0.32424,0.167721,-0.930988,18.4691,175.391,71.0519,105.33,130.46,320.454,-9.43102,164.643,76.7515,-9.43102,164.643,76.7515,0,0,0,-9.43102,164.643,76.7515,-42.7656,164.464,40.1217,0.673053,0.00362157,0.739586,-42.7656,164.464,40.1217,-64.1389,163.638,13.9128,0.631802,0.0244125,0.774745,-64.1389,163.638,13.9128,-82.4045,165.055,-0.354696,0.786607,-0.061017,0.614432
Thumb,1,46,16407143,164580540982,1,5,5460,51.70903,20.091726,-0.323014,0.167985,-0.931366,18.3798,175.704,71.0541,104.912,130.703,320.557,-9.5114,164.955,76.7928,-9.5114,164.955,76.7928,0,0,0,-9.5114,164.955,76.7928,-42.9542,164.859,40.2615,0.675238,0.00192616,0.737597,-42.9542,164.859,40.2615,-64.3778,164.078,14.0923,0.633289,0.0230927,0.773571,-64.3778,164.078,14.0923,-82.6819,165.53,-0.122317,0.788264,-0.0625237,0.612153
Thumb,1,46,16407144,164580562376,1,5,5460,51.70903,20.091726,-0.322679,0.167457,-0.931577,18.325,175.913,71.0641,104.767,131.053,320.624,-9.57276,165.19,76.8213,-9.57276,165.19,76.8213,0,0,0,-9.57276,165.19,76.8213,-43.0863,165.192,40.3547,0.676665,-2.64955E-05,0.736291,-43.0863,165.192,40.3547,-64.5303,164.46,14.2008,0.633894,0.0216231,0.773118,-64.5303,164.46,14.2008,-82.8489,165.952,0.00913967,0.788892,-0.0642336,0.611166
Thumb,1,46,16407145,164580583775,1,5,5460,51.70903,20.091726,-0.323018,0.168215,-0.931323,18.3228,176.052,71.0767,104.856,130.989,320.569,-9.5858,165.359,76.8363,-9.5858,165.359,76.8363,0,0,0,-9.5858,165.359,76.8363,-43.153,165.464,40.4192,0.67775,-0.00212519,0.73529,-43.153,165.464,40.4192,-64.6066,164.788,14.2717,0.634174,0.019993,0.772931,-64.6066,164.788,14.2717,-82.9448,166.329,0.110802,0.789739,-0.0664008,0.609839
