name,begin/end,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,1,104,34966149,788821906996,1,5,18270,50.28862,19.53982,-0.274118,0.0108743,-0.961635,-2.41193,147.32,70.3986,69.0044,144.487,320.934,-31.0987,140.076,69.5004,-31.0987,140.076,69.5004,0,0,0,-31.0987,140.076,69.5004,-45.2498,136.152,23.6266,0.293793,0.0814634,0.952392,-45.2498,136.152,23.6266,-50.9857,131.23,-8.39333,0.174342,0.149602,0.973254,-50.9857,131.23,-8.39333,-62.2251,132.302,-27.9512,0.497699,-0.0474382,0.866052
Thumb,1,104,34966150,788821916411,1,5,18270,50.28862,19.53982,-0.271579,0.0139898,-0.962314,-2.16379,147.622,69.8771,68.5909,143.978,320.59,-30.838,140.338,68.9124,-30.838,140.338,68.9124,0,0,0,-30.838,140.338,68.9124,-44.8574,136.335,23.0049,0.291057,0.0830977,0.95309,-44.8574,136.335,23.0049,-50.4711,131.348,-9.02662,0.170631,0.151567,0.973608,-50.4711,131.348,-9.02662,-61.5984,132.339,-28.6527,0.492734,-0.0438774,0.869073
Thumb,1,104,34966151,788821925843,1,5,18270,50.28862,19.53982,-0.270082,0.0146367,-0.962726,-1.95371,147.856,69.4597,68.4109,144.043,320.28,-30.6163,140.534,68.4327,-30.6163,140.534,68.4327,0,0,0,-30.6163,140.534,68.4327,-44.5133,136.492,22.4916,0.288518,0.0839226,0.953789,-44.5133,136.492,22.4916,-50.0042,131.463,-9.55466,0.166898,0.152852,0.974054,-50.0042,131.463,-9.55466,-60.9989,132.375,-29.2592,0.486861,-0.0403943,0.872545
Thumb,1,104,34966152,788821935267,1,5,18270,50.28862,19.53982,-0.268689,0.0143857,-0.96312,-1.70191,148.446,69.0424,68.2998,144.698,319.965,-30.347,141.059,67.9953,-30.347,141.059,67.9953,0,0,0,-30.347,141.059,67.9953,-44.1569,136.826,22.0451,0.286708,0.087892,0.953978,-44.1569,136.826,22.0451,-49.5596,131.659,-9.99428,0.164218,0.157029,0.973845,-49.5596,131.659,-9.99428,-60.4412,132.425,-29.7677,0.481853,-0.0339165,0.875595
Thumb,1,104,34966153,788821944719,1,5,18270,50.28862,19.53982,-0.267963,0.0120524,-0.963354,-1.64472,148.638,68.662,68.168,145.498,319.645,-30.2821,141.23,67.55,-30.2821,141.23,67.55,0,0,0,-30.2821,141.23,67.55,-43.9845,136.993,21.568,0.284476,0.0879756,0.954638,-43.9845,136.993,21.568,-49.292,131.815,-10.4854,0.161325,0.15737,0.974274,-49.292,131.815,-10.4854,-60.0626,132.533,-30.3214,0.476935,-0.0317915,0.878364
Thumb,1,104,34966154,788821954149,1,5,18270,50.28862,19.53982,-0.26757,0.0104899,-0.963481,-1.59021,148.77,68.3933,68.1201,146.037,319.41,-30.2225,141.349,67.2379,-30.2225,141.349,67.2379,0,0,0,-30.2225,141.349,67.2379,-43.859,137.141,21.2336,0.283109,0.0873661,0.9551,-43.859,137.141,21.2336,-49.0895,131.967,-10.8331,0.158983,0.157251,0.974678,-49.0895,131.967,-10.8331,-59.7516,132.644,-30.729,0.472134,-0.0299854,0.881017
Thumb,1,104,34966155,788821963572,1,5,18270,50.28862,19.53982,-0.266723,0.00959364,-0.963726,-1.66811,148.899,68.0934,67.8215,146.4,319.174,-30.2952,141.467,66.8797,-30.2952,141.467,66.8797,0,0,0,-30.2952,141.467,66.8797,-43.8757,137.352,20.8505,0.281947,0.0854407,0.955618,-43.8757,137.352,20.8505,-49.0324,132.222,-11.2352,0.156741,0.155917,0.975255,-49.0324,132.222,-11.2352,-59.6075,132.9,-31.1775,0.468277,-0.0300192,0.883072
Thumb,1,104,34966156,788821973022,1,5,18270,50.28862,19.53982,-0.265204,0.0127109,-0.964109,-1.57472,149.35,67.7802,67.519,146.038,318.96,-30.1874,141.864,66.5633,-30.1874,141.864,66.5633,0,0,0,-30.1874,141.864,66.5633,-43.766,137.715,20.5365,0.281905,0.0861275,0.955569,-43.766,137.715,20.5365,-48.8757,132.544,-11.5501,0.155311,0.15718,0.975281,-48.8757,132.544,-11.5501,-59.3818,133.156,-31.5309,0.465227,-0.0270928,0.884777
Thumb,1,104,34966157,788821982426,1,5,18270,50.28862,19.53982,-0.264352,0.0176874,-0.964264,-1.52499,149.726,67.5438,67.347,145.118,318.764,-30.1237,142.185,66.3323,-30.1237,142.185,66.3323,0,0,0,-30.1237,142.185,66.3323,-43.7356,138.048,20.3143,0.282598,0.0859035,0.955384,-43.7356,138.048,20.3143,-48.8119,132.859,-11.7747,0.154297,0.157724,0.975354,-48.8119,132.859,-11.7747,-59.2538,133.418,-31.7906,0.462382,-0.0247664,0.886335
Thumb,1,104,34966158,788821991865,1,5,18270,50.28862,19.53982,-0.263819,0.0276792,-0.964175,-1.43946,150.232,67.353,67.2935,143.021,318.55,-30.0222,142.625,66.1808,-30.0222,142.625,66.1808,0,0,0,-30.0222,142.625,66.1808,-43.7323,138.483,20.1924,0.284638,0.0859928,0.95477,-43.7323,138.483,20.1924,-48.809,133.26,-11.891,0.154308,0.158761,0.975184,-48.809,133.26,-11.891,-59.1902,133.744,-31.9405,0.459693,-0.021436,0.887819
