name,begin/end,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,1,51,34962371,788735067794,1,5,18220,45.184391,17.556555,-0.191118,0.011644,-0.981498,-11.6438,149.105,47.1357,33.0945,146.38,276.892,-36.9443,140.941,46.3662,-36.9443,140.941,46.3662,0,0,0,-36.9443,140.941,46.3662,-54.1604,143.077,6.71729,0.397801,-0.0493669,0.916143,-54.1604,143.077,6.71729,-60.6667,142.044,-22.0998,0.220102,0.0349583,0.97485,-60.6667,142.044,-22.0998,-68.1791,142.772,-40.9345,0.370241,-0.0358904,0.928242
Thumb,1,51,34962372,788735087054,1,5,18220,45.184391,17.556555,-0.193866,0.012764,-0.980945,-12.0032,149.25,46.8176,33.3784,146.262,276.444,-37.3065,141.092,46.0673,-37.3065,141.092,46.0673,0,0,0,-37.3065,141.092,46.0673,-54.5546,143.24,6.43295,0.39854,-0.0496278,0.915807,-54.5546,143.24,6.43295,-61.041,142.188,-22.388,0.219429,0.0355674,0.97498,-61.041,142.188,-22.388,-68.6166,142.945,-41.1963,0.373353,-0.0372718,0.92694
Thumb,1,51,34962373,788735106346,1,5,18220,45.184391,17.556555,-0.19572,0.0116822,-0.98059,-12.2341,149.344,46.5967,33.5814,146.609,276.141,-37.539,141.19,45.856,-37.539,141.19,45.856,0,0,0,-37.539,141.19,45.856,-54.8155,143.378,6.23622,0.399199,-0.0505466,0.91547,-54.8155,143.378,6.23622,-61.2741,142.327,-22.591,0.218487,0.0355354,0.975193,-61.2741,142.327,-22.591,-68.8861,143.113,-41.3834,0.375148,-0.0387262,0.926156
Thumb,1,51,34962374,788735125569,1,5,18220,45.184391,17.556555,-0.196652,0.0126284,-0.980392,-12.4607,149.452,46.3799,33.573,146.495,275.877,-37.7661,141.3,45.6315,-37.7661,141.3,45.6315,0,0,0,-37.7661,141.3,45.6315,-55.0505,143.537,6.0179,0.39938,-0.0516819,0.915328,-55.0505,143.537,6.0179,-61.4655,142.494,-22.8193,0.217012,0.0352871,0.975531,-61.4655,142.494,-22.8193,-69.1147,143.319,-41.5949,0.376977,-0.0406529,0.92533
Thumb,1,51,34962375,788735144831,1,5,18220,45.184391,17.556555,-0.196896,0.0112408,-0.98036,-12.688,149.602,46.1645,33.4029,146.971,275.654,-37.9909,141.444,45.4062,-37.9909,141.444,45.4062,0,0,0,-37.9909,141.444,45.4062,-55.2856,143.744,5.8007,0.399617,-0.0531377,0.915141,-55.2856,143.744,5.8007,-61.6449,142.713,-23.0493,0.215128,0.0348674,0.975963,-61.6449,142.713,-23.0493,-69.3121,143.574,-41.8159,0.377871,-0.0424261,0.924886
Thumb,1,51,34962376,788735164080,1,5,18220,45.184391,17.556555,-0.197239,0.0133591,-0.980264,-12.8791,149.785,46.0005,33.292,146.658,275.468,-38.1793,141.619,45.2405,-38.1793,141.619,45.2405,0,0,0,-38.1793,141.619,45.2405,-55.4951,143.978,5.64768,0.400104,-0.0545166,0.914847,-55.4951,143.978,5.64768,-61.8135,142.961,-23.2118,0.213745,0.0344101,0.976283,-61.8135,142.961,-23.2118,-69.5031,143.856,-41.9676,0.378974,-0.0441023,0.924356
Thumb,1,51,34962377,788735183353,1,5,18220,45.184391,17.556555,-0.19833,0.0142231,-0.980032,-13.1318,149.999,45.8431,33.2948,146.669,275.256,-38.4271,141.818,45.069,-38.4271,141.818,45.069,0,0,0,-38.4271,141.818,45.069,-55.7594,144.265,5.48878,0.400489,-0.0565274,0.914556,-55.7594,144.265,5.48878,-62.0315,143.279,-23.3819,0.212178,0.033338,0.976662,-62.0315,143.279,-23.3819,-69.749,144.225,-42.1238,0.380345,-0.0465967,0.92367
Thumb,1,51,34962378,788735202604,1,5,18220,45.184391,17.556555,-0.199243,0.0130523,-0.979863,-13.3972,150.253,45.6927,33.2431,147.197,275.066,-38.6884,142.06,44.9178,-38.6884,142.06,44.9178,0,0,0,-38.6884,142.06,44.9178,-56.0359,144.568,5.34803,0.400837,-0.0579609,0.914314,-56.0359,144.568,5.34803,-62.2634,143.598,-23.5328,0.210669,0.0328084,0.977007,-62.2634,143.598,-23.5328,-70.003,144.58,-42.2637,0.381438,-0.0483933,0.923127
Thumb,1,51,34962379,788735221846,1,5,18220,45.184391,17.556555,-0.201065,0.018564,-0.979402,-13.6869,150.524,45.75,33.3798,146.179,275.016,-38.9663,142.295,44.9721,-38.9663,142.295,44.9721,0,0,0,-38.9663,142.295,44.9721,-56.3165,144.831,5.40533,0.400902,-0.0585977,0.914245,-56.3165,144.831,5.40533,-62.4819,143.854,-23.4886,0.208568,0.0330597,0.977449,-62.4819,143.854,-23.4886,-70.2629,144.869,-42.2006,0.383477,-0.0500124,0.922195
Thumb,1,51,34962380,788735241131,1,5,18220,45.184391,17.556555,-0.202302,0.022486,-0.979065,-13.929,150.777,45.8749,33.4275,145.513,275.062,-39.2,142.521,45.1177,-39.2,142.521,45.1177,0,0,0,-39.2,142.521,45.1177,-56.5853,145.088,5.56832,0.401712,-0.0593268,0.913842,-56.5853,145.088,5.56832,-62.717,144.109,-23.3327,0.207429,0.0331356,0.977689,-62.717,144.109,-23.3327,-70.5394,145.151,-42.0259,0.385514,-0.0513532,0.921272
