name,begin/end,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,1,55,705943,19257798742,1,5,3080,50.001293,19.428179,-0.293676,-0.0184022,-0.955728,34.492,128.908,79.7287,110.567,133.675,327.303,6.19759,122.535,84.7319,6.19759,122.535,84.7319,0,0,0,6.19759,122.535,84.7319,-24.6075,121.899,48.0677,0.643223,0.0132785,0.765564,-24.6075,121.899,48.0677,-48.6943,124.208,26.055,0.736332,-0.0705841,0.672929,-48.6943,124.208,26.055,-69.066,131.461,20.0096,0.907275,-0.323054,0.269237
Thumb,1,55,705944,19257816785,1,5,3080,50.001293,19.428179,-0.294894,-0.0170565,-0.955378,34.4723,128.759,79.7395,110.862,133.178,327.223,6.17059,122.394,84.7112,6.17059,122.394,84.7112,0,0,0,6.17059,122.394,84.7112,-24.6003,121.716,48.019,0.642509,0.0141552,0.766148,-24.6003,121.716,48.019,-48.7417,124.069,26.0708,0.738002,-0.0719319,0.670954,-48.7417,124.069,26.0708,-69.1247,131.355,20.103,0.907775,-0.324508,0.265781
Thumb,1,55,705945,19257834851,1,5,3080,50.001293,19.428179,-0.295737,-0.0161722,-0.955133,34.4449,128.645,79.7489,111.053,132.834,327.169,6.13806,122.282,84.6955,6.13806,122.282,84.6955,0,0,0,6.13806,122.282,84.6955,-24.6068,121.572,47.9822,0.641966,0.0148292,0.76659,-24.6068,121.572,47.9822,-48.7791,123.947,26.0704,0.738945,-0.0726101,0.669842,-48.7791,123.947,26.0704,-69.1661,131.238,20.1215,0.907955,-0.324691,0.264941
Thumb,1,55,705946,19257852988,1,5,3080,50.001293,19.428179,-0.296532,-0.0151951,-0.954902,34.4175,128.562,79.756,111.232,132.498,327.116,6.10699,122.201,84.6831,6.10699,122.201,84.6831,0,0,0,6.10699,122.201,84.6831,-24.6237,121.47,47.9583,0.64167,0.0152686,0.766829,-24.6237,121.47,47.9583,-48.8367,123.878,26.0951,0.740188,-0.073621,0.668357,-48.8367,123.878,26.0951,-69.2289,131.179,20.1763,0.908185,-0.32514,0.263599
Thumb,1,55,705947,19257871058,1,5,3080,50.001293,19.428179,-0.297204,-0.0143704,-0.954706,34.3945,128.492,79.7619,111.383,132.215,327.071,6.08075,122.132,84.6725,6.08075,122.132,84.6725,0,0,0,6.08075,122.132,84.6725,-24.6444,121.38,47.9435,0.641554,0.0157,0.766917,-24.6444,121.38,47.9435,-48.9074,123.826,26.1401,0.741719,-0.0747797,0.666529,-48.9074,123.826,26.1401,-69.3066,131.14,20.2619,0.908495,-0.325735,0.261787
Thumb,1,55,705948,19257889142,1,5,3080,50.001293,19.428179,-0.297663,-0.0137054,-0.954573,34.3754,128.447,79.7659,111.483,131.997,327.041,6.05966,122.087,84.6641,6.05966,122.087,84.6641,0,0,0,6.05966,122.087,84.6641,-24.6664,121.311,47.9363,0.641573,0.01619,0.766891,-24.6664,121.311,47.9363,-48.9741,123.784,26.1858,0.743086,-0.0756034,0.664912,-48.9741,123.784,26.1858,-69.3787,131.099,20.328,0.908736,-0.325789,0.260884
Thumb,1,55,705949,19257907191,1,5,3080,50.001293,19.428179,-0.299229,-0.0123622,-0.954101,34.3846,128.435,79.7406,111.898,131.637,326.893,6.06722,122.075,84.6301,6.06722,122.075,84.6301,0,0,0,6.06722,122.075,84.6301,-24.6191,121.259,47.87,0.640742,0.0170515,0.767567,-24.6191,121.259,47.87,-48.967,123.767,26.1685,0.744315,-0.0766625,0.663414,-48.967,123.767,26.1685,-69.3748,131.091,20.3334,0.908882,-0.326193,0.259868
Thumb,1,55,705950,19257925258,1,5,3080,50.001293,19.428179,-0.300682,-0.0111152,-0.95366,34.3931,128.424,79.7171,112.282,131.304,326.755,6.07424,122.065,84.5986,6.07424,122.065,84.5986,0,0,0,6.07424,122.065,84.5986,-24.5726,121.204,47.8066,0.63992,0.0179774,0.768232,-24.5726,121.204,47.8066,-48.9511,123.734,26.142,0.745247,-0.0773526,0.662287,-48.9511,123.734,26.142,-69.3622,131.065,20.3269,0.909029,-0.326488,0.258982
Thumb,1,55,705951,19257943398,1,5,3080,50.001293,19.428179,-0.302027,-0.0102378,-0.953244,34.3698,128.362,79.7352,112.608,131.014,326.666,6.04726,122.007,84.6,6.04726,122.007,84.6,0,0,0,6.04726,122.007,84.6,-24.5611,121.133,47.7763,0.639116,0.0182498,0.768894,-24.5611,121.133,47.7763,-48.9848,123.722,26.1697,0.746631,-0.0791462,0.660514,-48.9848,123.722,26.1697,-69.3966,131.069,20.3775,0.909058,-0.327214,0.257962
Thumb,1,55,705952,19257961407,1,5,3080,50.001293,19.428179,-0.30305,-0.00921227,-0.95293,34.3448,128.319,79.7538,112.848,130.706,326.603,6.01902,121.967,84.6038,6.01902,121.967,84.6038,0,0,0,6.01902,121.967,84.6038,-24.5596,121.079,47.7557,0.638494,0.0185382,0.769404,-24.5596,121.079,47.7557,-49.0432,123.737,26.2253,0.748463,-0.0812364,0.658182,-49.0432,123.737,26.2253,-69.4567,131.1,20.4602,0.909135,-0.327948,0.256756
Thumb,1,55,705953,19257979482,1,5,3080,50.001293,19.428179,-0.303802,-0.00820587,-0.9527,34.3188,128.293,79.7693,113.016,130.419,326.559,5.99013,121.943,84.6058,5.99013,121.943,84.6058,0,0,0,5.99013,121.943,84.6058,-24.5632,121.037,47.7372,0.637967,0.0189167,0.769831,-24.5632,121.037,47.7372,-49.0892,123.74,26.2607,0.749757,-0.0826176,0.656536,-49.0892,123.74,26.2607,-69.5038,131.112,20.51,0.909182,-0.328321,0.25611
