name,begin/end,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,1,101,682486,18737700921,1,5,2950,49.323093,19.164661,-0.290931,-0.00980191,-0.956694,42.0185,155.518,75.506,116.36,158.023,319.969,13.9311,149.178,79.2192,13.9311,149.178,79.2192,0,0,0,13.9311,149.178,79.2192,-16.2946,150.348,42.9306,0.639804,-0.0247656,0.768139,-16.2946,150.348,42.9306,-41.3611,155.591,23.2986,0.776818,-0.162479,0.608403,-41.3611,155.591,23.2986,-61.2529,164.588,19.5631,0.898081,-0.406213,0.168649
Thumb,1,101,682487,18737710540,1,5,2950,49.323093,19.164661,-0.290963,-0.0100116,-0.956682,42.0272,155.513,75.5115,116.377,158.071,319.971,13.9403,149.171,79.224,13.9403,149.171,79.224,0,0,0,13.9403,149.171,79.224,-16.2811,150.34,42.9318,0.639712,-0.0247463,0.768216,-16.2811,150.34,42.9318,-41.3452,155.581,23.2963,0.776745,-0.162433,0.608509,-41.3452,155.581,23.2963,-61.2372,164.578,19.5614,0.898088,-0.406206,0.168625
Thumb,1,101,682488,18737720250,1,5,2950,49.323093,19.164661,-0.291006,-0.0102001,-0.956667,42.0355,155.509,75.5167,116.396,158.116,319.973,13.9493,149.163,79.2289,13.9493,149.163,79.2289,0,0,0,13.9493,149.163,79.2289,-16.2686,150.335,42.9339,0.639638,-0.0247996,0.768276,-16.2686,150.335,42.9339,-41.3308,155.577,23.296,0.776683,-0.162453,0.608583,-41.3308,155.577,23.296,-61.2228,164.576,19.5662,0.89809,-0.406297,0.168396
Thumb,1,101,682489,18737729885,1,5,2950,49.323093,19.164661,-0.291054,-0.0103807,-0.95665,42.0449,155.506,75.5213,116.417,158.159,319.973,13.9594,149.157,79.2335,13.9594,149.157,79.2335,0,0,0,13.9594,149.157,79.2335,-16.2569,150.329,42.9371,0.639603,-0.0248122,0.768305,-16.2569,150.329,42.9371,-41.3179,155.57,23.2976,0.776647,-0.162426,0.608636,-41.3179,155.57,23.2976,-61.2103,164.569,19.57,0.898107,-0.406301,0.168294
Thumb,1,101,682490,18737739441,1,5,2950,49.323093,19.164661,-0.291107,-0.0105535,-0.956632,42.0543,155.504,75.5256,116.441,158.2,319.973,13.9697,149.151,79.2383,13.9697,149.151,79.2383,0,0,0,13.9697,149.151,79.2383,-16.2469,150.322,42.9421,0.63961,-0.0247841,0.7683,-16.2469,150.322,42.9421,-41.3077,155.561,23.3016,0.77664,-0.162351,0.608664,-41.3077,155.561,23.3016,-61.2009,164.559,19.5764,0.898143,-0.406265,0.168188
Thumb,1,101,682491,18737749050,1,5,2950,49.323093,19.164661,-0.291074,-0.0106427,-0.956641,42.055,155.504,75.5262,116.433,158.223,319.976,13.9706,149.15,79.2389,13.9706,149.15,79.2389,0,0,0,13.9706,149.15,79.2389,-16.2466,150.322,42.9433,0.639623,-0.0248025,0.768288,-16.2466,150.322,42.9433,-41.3048,155.558,23.2987,0.776561,-0.162254,0.608791,-41.3048,155.558,23.2987,-61.1981,164.554,19.5707,0.898152,-0.406195,0.168314
Thumb,1,101,682492,18737758691,1,5,2950,49.323093,19.164661,-0.291013,-0.0108745,-0.956657,42.0614,155.501,75.5281,116.424,158.28,319.982,13.9775,149.145,79.2405,13.9775,149.145,79.2405,0,0,0,13.9775,149.145,79.2405,-16.2397,150.318,42.9449,0.639625,-0.0248228,0.768287,-16.2397,150.318,42.9449,-41.2897,155.544,23.2872,0.776305,-0.161949,0.609199,-41.2897,155.544,23.2872,-61.1834,164.532,19.5411,0.898166,-0.405824,0.169128
Thumb,1,102,682493,18737768336,1,5,2950,49.323093,19.164661,-0.290978,-0.0111123,-0.956665,42.0681,155.498,75.5301,116.421,158.337,319.986,13.9848,149.139,79.2421,13.9848,149.139,79.2421,0,0,0,13.9848,149.139,79.2421,-16.2337,150.321,42.9479,0.63965,-0.025026,0.768259,-16.2337,150.321,42.9479,-41.2776,155.545,23.282,0.776117,-0.16189,0.609454,-41.2776,155.545,23.282,-61.1708,164.528,19.5189,0.898147,-0.405545,0.169898
Thumb,1,102,682494,18737777957,1,5,2950,49.323093,19.164661,-0.290962,-0.0113582,-0.956667,42.075,155.493,75.5315,116.424,158.395,319.988,13.9923,149.131,79.2432,13.9923,149.131,79.2432,0,0,0,13.9923,149.131,79.2432,-16.224,150.312,42.9472,0.639605,-0.0250018,0.768297,-16.224,150.312,42.9472,-41.2622,155.529,23.2721,0.775941,-0.161668,0.609738,-41.2622,155.529,23.2721,-61.1559,164.503,19.491,0.898168,-0.405159,0.170707
Thumb,1,102,682495,18737787569,1,5,2950,49.323093,19.164661,-0.290969,-0.0116012,-0.956662,42.0817,155.487,75.5334,116.433,158.452,319.988,13.9997,149.122,79.2447,13.9997,149.122,79.2447,0,0,0,13.9997,149.122,79.2447,-16.2163,150.303,42.9484,0.639599,-0.0249911,0.768303,-16.2163,150.303,42.9484,-41.2543,155.518,23.2725,0.775932,-0.16162,0.60976,-41.2543,155.518,23.2725,-61.1486,164.488,19.4843,0.898196,-0.404959,0.171029
Thumb,1,102,682496,18737797184,1,5,2950,49.323093,19.164661,-0.290996,-0.0118349,-0.956651,42.0877,155.481,75.5354,116.446,158.506,319.987,14.0063,149.114,79.2464,14.0063,149.114,79.2464,0,0,0,14.0063,149.114,79.2464,-16.2116,150.303,42.952,0.639639,-0.02517,0.768263,-16.2116,150.303,42.952,-41.2513,155.524,23.2798,0.775986,-0.161802,0.609645,-41.2513,155.524,23.2798,-61.1455,164.489,19.4795,0.898188,-0.404746,0.171578
Thumb,1,102,682497,18737806809,1,5,2950,49.323093,19.164661,-0.291032,-0.0120295,-0.956638,42.0914,155.477,75.5373,116.458,158.551,319.986,14.0106,149.106,79.248,14.0106,149.106,79.248,0,0,0,14.0106,149.106,79.248,-16.2091,150.301,42.9553,0.639677,-0.0252966,0.768227,-16.2091,150.301,42.9553,-41.2506,155.527,23.2866,0.776041,-0.161935,0.609539,-41.2506,155.527,23.2866,-61.1448,164.489,19.4808,0.898192,-0.404633,0.171826
Thumb,1,102,682498,18737816455,1,5,2950,49.323093,19.164661,-0.291078,-0.0122068,-0.956622,42.0935,155.473,75.5395,116.472,158.592,319.984,14.0134,149.099,79.2501,14.0134,149.099,79.2501,0,0,0,14.0134,149.099,79.2501,-16.207,150.294,42.9579,0.639692,-0.0252954,0.768215,-16.207,150.294,42.9579,-41.2499,155.52,23.2912,0.776088,-0.161942,0.609478,-41.2499,155.52,23.2912,-61.1449,164.479,19.4829,0.898225,-0.404512,0.171939
Thumb,1,102,682499,18737826094,1,5,2950,49.323093,19.164661,-0.291121,-0.0123755,-0.956606,42.0955,155.469,75.5416,116.485,158.632,319.982,14.0162,149.092,79.252,14.0162,149.092,79.252,0,0,0,14.0162,149.092,79.252,-16.2043,150.286,42.9599,0.639692,-0.0252792,0.768215,-16.2043,150.286,42.9599,-41.2486,155.512,23.2948,0.776129,-0.161942,0.609425,-41.2486,155.512,23.2948,-61.1443,164.469,19.485,0.898257,-0.404411,0.172008
Thumb,1,102,682500,18737835736,1,5,2950,49.323093,19.164661,-0.291064,-0.0126113,-0.956621,42.0918,155.467,75.5435,116.467,158.689,319.988,14.0133,149.085,79.254,14.0133,149.085,79.254,0,0,0,14.0133,149.085,79.254,-16.2076,150.282,42.9623,0.639703,-0.0253205,0.768205,-16.2076,150.282,42.9623,-41.2523,155.507,23.2978,0.77614,-0.161945,0.60941,-41.2523,155.507,23.2978,-61.1487,164.463,19.4866,0.898288,-0.404317,0.172068
Thumb,1,102,682501,18737845325,1,5,2950,49.323093,19.164661,-0.291044,-0.0128295,-0.956623,42.0917,155.463,75.5446,116.462,158.741,319.99,14.0139,149.079,79.2548,14.0139,149.079,79.2548,0,0,0,14.0139,149.079,79.2548,-16.2062,150.274,42.9624,0.639685,-0.0252954,0.768221,-16.2062,150.274,42.9624,-41.2509,155.498,23.2975,0.77614,-0.161906,0.60942,-41.2509,155.498,23.2975,-61.1479,164.452,19.4866,0.898318,-0.404256,0.172054
Thumb,1,102,682502,18737855031,1,5,2950,49.323093,19.164661,-0.291049,-0.0130822,-0.956619,42.0917,155.458,75.5464,116.463,158.801,319.99,14.0145,149.07,79.2561,14.0145,149.07,79.2561,0,0,0,14.0145,149.07,79.2561,-16.2053,150.265,42.9635,0.63968,-0.0252831,0.768225,-16.2053,150.265,42.9635,-41.2499,155.488,23.2981,0.776139,-0.161862,0.609434,-41.2499,155.488,23.2981,-61.1477,164.439,19.4844,0.89835,-0.404129,0.172183
Thumb,1,102,682503,18737864608,1,5,2950,49.323093,19.164661,-0.291075,-0.0132969,-0.956608,42.0897,155.454,75.5483,116.468,158.852,319.989,14.0132,149.064,79.2575,14.0132,149.064,79.2575,0,0,0,14.0132,149.064,79.2575,-16.2075,150.272,42.9661,0.639698,-0.0255831,0.768201,-16.2075,150.272,42.9661,-41.2514,155.503,23.3019,0.776119,-0.162095,0.609397,-41.2514,155.503,23.3019,-61.1486,164.456,19.4905,0.898321,-0.404237,0.17208
Thumb,1,102,682504,18737874321,1,5,2950,49.323093,19.164661,-0.291101,-0.0135056,-0.956597,42.0878,155.45,75.5501,116.473,158.901,319.988,14.0119,149.057,79.2589,14.0119,149.057,79.2589,0,0,0,14.0119,149.057,79.2589,-16.2086,150.281,42.9679,0.639695,-0.025909,0.768192,-16.2086,150.281,42.9679,-41.2537,155.522,23.3081,0.776154,-0.162438,0.609262,-41.2537,155.522,23.3081,-61.15,164.479,19.4986,0.898282,-0.404361,0.171993
Thumb,1,102,682505,18737883876,1,5,2950,49.323093,19.164661,-0.291126,-0.0137035,-0.956587,42.0859,155.447,75.5519,116.477,158.949,319.987,14.0107,149.05,79.2603,14.0107,149.05,79.2603,0,0,0,14.0107,149.05,79.2603,-16.2111,150.297,42.971,0.639722,-0.0263971,0.768153,-16.2111,150.297,42.971,-41.2581,155.555,23.3182,0.776213,-0.162952,0.609048,-41.2581,155.555,23.3182,-61.1529,164.521,19.5222,0.898216,-0.404767,0.171382
Thumb,1,102,682506,18737893633,1,5,2950,49.323093,19.164661,-0.29115,-0.0138976,-0.956577,42.0841,155.444,75.5537,116.481,158.995,319.987,14.0095,149.044,79.2616,14.0095,149.044,79.2616,0,0,0,14.0095,149.044,79.2616,-16.2107,150.302,42.9714,0.639688,-0.0266403,0.768173,-16.2107,150.302,42.9714,-41.2587,155.57,23.3222,0.776242,-0.163233,0.608936,-41.2587,155.57,23.3222,-61.1528,164.54,19.534,0.898188,-0.404978,0.171028
Thumb,1,102,682507,18737903112,1,5,2950,49.323093,19.164661,-0.291171,-0.0140364,-0.956568,42.0826,155.443,75.5548,116.485,159.03,319.986,14.0085,149.041,79.2627,14.0085,149.041,79.2627,0,0,0,14.0085,149.041,79.2627,-16.2104,150.313,42.9719,0.63966,-0.026921,0.768186,-16.2104,150.313,42.9719,-41.2628,155.594,23.3322,0.776379,-0.163682,0.608642,-41.2628,155.594,23.3322,-61.1561,164.573,19.5602,0.898149,-0.405373,0.170299
Thumb,1,102,682508,18737912739,1,5,2950,49.323093,19.164661,-0.291196,-0.0141633,-0.956559,42.0818,155.443,75.5563,116.491,159.062,319.985,14.0083,149.039,79.2644,14.0083,149.039,79.2644,0,0,0,14.0083,149.039,79.2644,-16.2108,150.307,42.9737,0.639664,-0.0268512,0.768185,-16.2108,150.307,42.9737,-41.264,155.587,23.3346,0.776407,-0.163617,0.608622,-41.264,155.587,23.3346,-61.1582,164.565,19.5668,0.898187,-0.405369,0.170106
Thumb,1,103,682509,18737922381,1,5,2950,49.323093,19.164661,-0.291126,-0.0145323,-0.956574,42.0703,155.446,75.56,116.461,159.159,319.992,13.9986,149.034,79.268,13.9986,149.034,79.268,0,0,0,13.9986,149.034,79.268,-16.2206,150.295,42.9771,0.639666,-0.026702,0.768189,-16.2206,150.295,42.9771,-41.2748,155.568,23.3374,0.776437,-0.16342,0.608638,-41.2748,155.568,23.3374,-61.1713,164.543,19.5717,0.898291,-0.405178,0.170014
Thumb,1,103,682510,18737932011,1,5,2950,49.323093,19.164661,-0.291097,-0.0147919,-0.956579,42.0643,155.447,75.5626,116.448,159.227,319.996,13.9935,149.03,79.27,13.9935,149.03,79.27,0,0,0,13.9935,149.03,79.27,-16.2259,150.29,42.9792,0.63967,-0.0266739,0.768187,-16.2259,150.29,42.9792,-41.2799,155.561,23.3386,0.776432,-0.163338,0.608666,-41.2799,155.561,23.3386,-61.1774,164.533,19.5733,0.898338,-0.405079,0.169999
Thumb,1,103,682511,18737941651,1,5,2950,49.323093,19.164661,-0.29108,-0.0149564,-0.956582,42.0621,155.449,75.5639,116.441,159.271,319.998,13.992,149.03,79.2713,13.992,149.03,79.2713,0,0,0,13.992,149.03,79.2713,-16.2291,150.294,42.982,0.639705,-0.0267559,0.768155,-16.2291,150.294,42.982,-41.2832,155.565,23.3419,0.776435,-0.163366,0.608655,-41.2832,155.565,23.3419,-61.181,164.536,19.5758,0.898352,-0.405035,0.170032
Thumb,1,103,682512,18737951261,1,5,2950,49.323093,19.164661,-0.291073,-0.0151137,-0.956581,42.0606,155.452,75.5652,116.438,159.314,319.999,13.9911,149.03,79.2729,13.9911,149.03,79.2729,0,0,0,13.9911,149.03,79.2729,-16.2313,150.291,42.9847,0.639735,-0.0267078,0.768131,-16.2313,150.291,42.9847,-41.2868,155.561,23.3457,0.776477,-0.163311,0.608616,-41.2868,155.561,23.3457,-61.1855,164.529,19.5774,0.898392,-0.404902,0.170135
