name,begin/end,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,1,51,36016851,347268455770,1,5,6940,52.116371,20.25,-0.323152,0.0842401,-0.94259,10.5585,178.186,75.1181,97.8097,155.441,329.617,-19.7788,174.988,78.3556,-19.7788,174.988,78.3556,0,0,0,-19.7788,174.988,78.3556,-43.3597,166.995,35.0911,0.472395,0.160135,0.866718,-43.3597,166.995,35.0911,-54.1819,158.212,3.97428,0.317408,0.257581,0.912636,-54.1819,158.212,3.97428,-68.8498,157.193,-14.234,0.626737,0.0435767,0.778012
Thumb,1,51,36016852,347268475012,1,5,6940,52.116371,20.25,-0.324881,0.0810191,-0.942278,10.6462,177.897,75.2275,98.3642,156.022,329.643,-19.7093,174.809,78.4,-19.7093,174.809,78.4,0,0,0,-19.7093,174.809,78.4,-43.2381,166.882,35.0948,0.471351,0.15879,0.867533,-43.2381,166.882,35.0948,-54.0011,158.111,3.95415,0.315674,0.257241,0.913333,-54.0011,158.111,3.95415,-68.6396,157.134,-14.2801,0.625479,0.0417609,0.779122
Thumb,1,51,36016853,347268494284,1,5,6940,52.116371,20.25,-0.327922,0.0786728,-0.941423,10.7882,177.753,75.2783,99.3271,156.511,329.463,-19.5801,174.748,78.4082,-19.5801,174.748,78.4082,0,0,0,-19.5801,174.748,78.4082,-43.0804,166.8,35.0915,0.470782,0.159215,0.867764,-43.0804,166.8,35.0915,-53.7858,157.978,3.94554,0.31398,0.258754,0.913489,-53.7858,157.978,3.94554,-68.3963,156.99,-14.3106,0.624286,0.0421978,0.780055
Thumb,1,51,36016854,347268513548,1,5,6940,52.116371,20.25,-0.32971,0.0782035,-0.940838,10.9836,177.678,75.2862,100.005,156.563,329.312,-19.3967,174.761,78.3831,-19.3967,174.761,78.3831,0,0,0,-19.3967,174.761,78.3831,-42.8916,166.775,35.0705,0.470673,0.159986,0.867682,-42.8916,166.775,35.0705,-53.562,157.891,3.93009,0.312957,0.260565,0.913326,-53.562,157.891,3.93009,-68.1407,156.875,-14.35,0.622923,0.0433954,0.781079
Thumb,1,51,36016855,347268532820,1,5,6940,52.116371,20.25,-0.323714,0.0882006,-0.942035,12.2771,177.6,75.0891,99.6799,153.786,329.438,-18.1015,174.796,78.3049,-18.1015,174.796,78.3049,0,0,0,-18.1015,174.796,78.3049,-41.7474,166.651,35.1043,0.4737,0.163171,0.865438,-41.7474,166.651,35.1043,-52.505,157.632,4.03262,0.315512,0.264505,0.911312,-52.505,157.632,4.03262,-67.1181,156.531,-14.2149,0.624396,0.0470713,0.779688
Thumb,1,51,36016856,347268552065,1,5,6940,52.116371,20.25,-0.318102,0.101941,-0.94256,13.1107,177.754,74.989,98.9981,150.23,329.48,-17.2675,174.999,78.2505,-17.2675,174.999,78.2505,0,0,0,-17.2675,174.999,78.2505,-40.8904,166.553,35.095,0.473239,0.169198,0.864533,-40.8904,166.553,35.095,-51.6747,157.359,4.08408,0.316297,0.269652,0.90953,-51.6747,157.359,4.08408,-66.3247,156.157,-14.1275,0.625972,0.0513347,0.778155
Thumb,1,51,36016857,347268571325,1,5,6940,52.116371,20.25,-0.317943,0.103985,-0.94239,13.1745,177.807,75.0116,99.019,149.732,329.457,-17.2074,175.072,78.2557,-17.2074,175.072,78.2557,0,0,0,-17.2074,175.072,78.2557,-40.805,166.518,35.1077,0.47273,0.171372,0.864383,-40.805,166.518,35.1077,-51.5895,157.262,4.11534,0.316304,0.271474,0.908985,-51.5895,157.262,4.11534,-66.2453,156.025,-14.0892,0.626221,0.0528649,0.777851
Thumb,1,51,36016858,347268590626,1,5,6940,52.116371,20.25,-0.318016,0.104645,-0.942292,13.2062,177.813,75.0238,99.0706,149.559,329.443,-17.1804,175.102,78.2436,-17.1804,175.102,78.2436,0,0,0,-17.1804,175.102,78.2436,-40.7446,166.502,35.0865,0.472061,0.172288,0.864567,-40.7446,166.502,35.0865,-51.5011,157.211,4.09501,0.315481,0.272515,0.90896,-51.5011,157.211,4.09501,-66.1525,155.963,-14.1123,0.626033,0.0533232,0.777971
Thumb,1,51,36016859,347268609824,1,5,6940,52.116371,20.25,-0.319073,0.104849,-0.941913,13.2141,177.799,75.0328,99.3637,149.49,329.349,-17.1785,175.116,78.2182,-17.1785,175.116,78.2182,0,0,0,-17.1785,175.116,78.2182,-40.7017,166.518,35.0381,0.471239,0.172232,0.865026,-40.7017,166.518,35.0381,-51.4241,157.221,4.03652,0.314482,0.272682,0.909256,-51.4241,157.221,4.03652,-66.0648,155.984,-14.1802,0.625575,0.0528505,0.778372
Thumb,1,51,36016860,347268629093,1,5,6940,52.116371,20.25,-0.318314,0.102431,-0.942435,13.2245,177.808,75.0513,99.1694,150.152,329.509,-17.1758,175.167,78.1982,-17.1758,175.167,78.1982,0,0,0,-17.1758,175.167,78.1982,-40.6669,166.598,34.9951,0.470597,0.171659,0.865489,-40.6669,166.598,34.9951,-51.3565,157.305,3.98092,0.313519,0.272563,0.909623,-51.3565,157.305,3.98092,-65.9783,156.085,-14.2521,0.624767,0.0521444,0.779068
