name,begin/end,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,1,109,35939896,345576286189,1,5,6220,49.17947,19.108856,-0.338814,0.0178136,-0.940685,5.43909,170.547,52.1221,91.7638,166.008,291.794,-23.0712,167.178,55.8368,-23.0712,167.178,55.8368,0,0,0,-23.0712,167.178,55.8368,-49.3673,166.624,16.7592,0.558247,0.0117543,0.829591,-49.3673,166.624,16.7592,-56.925,159.606,-13.7169,0.234901,0.218147,0.947224,-56.925,159.606,-13.7169,-69.6248,159.625,-31.7849,0.57505,-0.000880923,0.818118
Thumb,1,109,35939897,345576295274,1,5,6220,49.17947,19.108856,-0.339633,0.019128,-0.940363,5.43525,170.525,52.0786,91.9686,165.651,291.669,-23.1106,167.504,55.82,-23.1106,167.504,55.82,0,0,0,-23.1106,167.504,55.82,-49.4586,167.224,16.7746,0.559351,0.00595942,0.828909,-49.4586,167.224,16.7746,-57.1156,160.242,-13.6854,0.237986,0.21699,0.94672,-57.1156,160.242,-13.6854,-69.814,160.377,-31.7538,0.574984,-0.00612431,0.818141
Thumb,1,109,35939898,345576304280,1,5,6220,49.17947,19.108856,-0.341176,0.021671,-0.939749,5.42523,170.48,52.0004,92.3518,164.958,291.434,-23.1628,167.933,55.7722,-23.1628,167.933,55.7722,0,0,0,-23.1628,167.933,55.7722,-49.5586,168.015,16.7581,0.560366,-0.00174439,0.828243,-49.5586,168.015,16.7581,-57.3524,161.094,-13.6809,0.242236,0.215119,0.946069,-57.3524,161.094,-13.6809,-70.0504,161.391,-31.7477,0.574967,-0.0134488,0.818066
Thumb,1,109,35939899,345576313332,1,5,6220,49.17947,19.108856,-0.344005,0.0231983,-0.938681,5.41968,170.468,51.9057,93.0668,164.558,291.067,-23.2061,168.448,55.7091,-23.2061,168.448,55.7091,0,0,0,-23.2061,168.448,55.7091,-49.6495,168.933,16.7301,0.561375,-0.0103124,0.827498,-49.6495,168.933,16.7301,-57.6007,162.085,-13.6846,0.247131,0.212863,0.945313,-57.6007,162.085,-13.6846,-70.2937,162.559,-31.7511,0.57474,-0.0214627,0.818055
Thumb,1,109,35939900,345576322333,1,5,6220,49.17947,19.108856,-0.346132,0.0288316,-0.937743,5.40468,170.503,51.7532,93.5938,163.158,290.676,-23.2564,169.141,55.584,-23.2564,169.141,55.584,0,0,0,-23.2564,169.141,55.584,-49.7305,170.11,16.635,0.562028,-0.0205756,0.826862,-49.7305,170.11,16.635,-57.8703,163.347,-13.7489,0.252992,0.210205,0.944356,-57.8703,163.347,-13.7489,-70.555,164.04,-31.8142,0.574367,-0.0313913,0.817996
Thumb,1,109,35939901,345576331406,1,5,6220,49.17947,19.108856,-0.347941,0.0350538,-0.936861,5.46688,170.581,51.5973,94.1168,161.65,290.295,-23.2151,169.968,55.4645,-23.2151,169.968,55.4645,0,0,0,-23.2151,169.968,55.4645,-49.7092,171.462,16.5457,0.562454,-0.0317044,0.826221,-49.7092,171.462,16.5457,-58.0624,164.787,-13.7999,0.259623,0.207445,0.943166,-58.0624,164.787,-13.7999,-70.736,165.721,-31.8621,0.573864,-0.0422788,0.817859
Thumb,1,109,35939902,345576340410,1,5,6220,49.17947,19.108856,-0.350097,0.0403271,-0.935845,5.48489,170.663,51.4526,94.6842,160.388,289.892,-23.2016,170.776,55.3328,-23.2016,170.776,55.3328,0,0,0,-23.2016,170.776,55.3328,-49.6813,172.781,16.4272,0.562147,-0.042575,0.825941,-49.6813,172.781,16.4272,-58.2267,166.204,-13.8862,0.265597,0.204419,0.942163,-58.2267,166.204,-13.8862,-70.8706,167.368,-31.9558,0.572516,-0.0527075,0.818198
Thumb,1,109,35939903,345576349449,1,5,6220,49.17947,19.108856,-0.350551,0.0471487,-0.935356,5.56947,170.765,51.2319,94.8846,158.752,289.546,-23.1003,171.675,55.1306,-23.1003,171.675,55.1306,0,0,0,-23.1003,171.675,55.1306,-49.5611,174.234,16.2446,0.561746,-0.0543212,0.825525,-49.5611,174.234,16.2446,-58.3291,167.767,-14.0289,0.272514,0.200988,0.940925,-58.3291,167.767,-14.0289,-70.9391,169.178,-32.1046,0.570986,-0.0638942,0.81847
Thumb,1,109,35939904,345576358527,1,5,6220,49.17947,19.108856,-0.351145,0.0530173,-0.934819,5.63355,170.852,51.0499,95.0999,157.344,289.228,-23.0057,172.457,54.9485,-23.0057,172.457,54.9485,0,0,0,-23.0057,172.457,54.9485,-49.4192,175.499,16.0651,0.560741,-0.0645682,0.82547,-49.4192,175.499,16.0651,-58.3721,169.142,-14.1776,0.278261,0.19757,0.939966,-58.3721,169.142,-14.1776,-70.9365,170.765,-32.2673,0.568918,-0.073478,0.819105
Thumb,1,110,35939905,345576367536,1,5,6220,49.17947,19.108856,-0.351108,0.0590996,-0.934468,5.73886,170.971,50.8574,95.1957,155.913,288.946,-22.8576,173.225,54.7489,-22.8576,173.225,54.7489,0,0,0,-22.8576,173.225,54.7489,-49.2226,176.702,15.869,0.55971,-0.0738184,0.825394,-49.2226,176.702,15.869,-58.3668,170.459,-14.3399,0.28421,0.194059,0.938918,-58.3668,170.459,-14.3399,-70.8899,172.274,-32.44,0.567046,-0.0821967,0.819575
