name,begin/end,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,1,51,35018800,790002434644,1,5,18560,51.845158,20.144619,-0.284222,0.250561,-0.925439,-14.8981,170.411,54.4989,61.4424,103.111,303.067,-44.1273,161.663,55.1448,-44.1273,161.663,55.1448,0,0,0,-44.1273,161.663,55.1448,-62.1327,156.751,9.12761,0.362589,0.0989124,0.926685,-62.1327,156.751,9.12761,-63.7453,147.565,-23.4832,0.0475445,0.270816,0.961456,-63.7453,147.565,-23.4832,-72.6136,145.525,-44.913,0.380912,0.0876211,0.92045
Thumb,1,51,35018801,790002453906,1,5,18560,51.845158,20.144619,-0.281575,0.252501,-0.925721,-14.7598,169.963,54.4789,60.8699,102.143,303.123,-44.0002,161.25,55.0941,-44.0002,161.25,55.0941,0,0,0,-44.0002,161.25,55.0941,-61.9149,156.211,9.05526,0.360763,0.101472,0.927121,-61.9149,156.211,9.05526,-63.5403,146.967,-23.5384,0.0479221,0.272542,0.96095,-63.5403,146.967,-23.5384,-72.4923,144.947,-44.9352,0.384508,0.0867803,0.919034
Thumb,1,51,35018802,790002473155,1,5,18560,51.845158,20.144619,-0.280443,0.252339,-0.926108,-14.5975,169.601,54.4649,60.728,101.825,303.213,-43.8483,160.922,55.0596,-43.8483,160.922,55.0596,0,0,0,-43.8483,160.922,55.0596,-61.702,155.796,9.00667,0.359534,0.103228,0.927405,-61.702,155.796,9.00667,-63.3475,146.515,-23.5753,0.0485147,0.273648,0.960606,-63.3475,146.515,-23.5753,-72.3751,144.519,-44.9427,0.38775,0.0857087,0.917771
Thumb,1,51,35018803,790002492424,1,5,18560,51.845158,20.144619,-0.279584,0.253925,-0.925935,-14.469,169.342,54.4456,60.6259,101.139,303.147,-43.7292,160.693,55.0236,-43.7292,160.693,55.0236,0,0,0,-43.7292,160.693,55.0236,-61.5268,155.481,8.95864,0.358406,0.104959,0.927647,-61.5268,155.481,8.95864,-63.1914,146.162,-23.6117,0.0490776,0.274746,0.960263,-63.1914,146.162,-23.6117,-72.2737,144.178,-44.957,0.3901,0.0852237,0.91682
Thumb,1,51,35018804,790002511662,1,5,18560,51.845158,20.144619,-0.276682,0.258381,-0.925573,-14.4241,169.161,54.3043,59.8912,99.7607,302.909,-43.6825,160.505,54.8769,-43.6825,160.505,54.8769,0,0,0,-43.6825,160.505,54.8769,-61.4004,155.059,8.80832,0.3568,0.109682,0.92772,-61.4004,155.059,8.80832,-63.0308,145.591,-23.7207,0.0480688,0.279146,0.959045,-63.0308,145.591,-23.7207,-72.1138,143.521,-45.0575,0.390135,0.0888867,0.916457
Thumb,1,51,35018805,790002530943,1,5,18560,51.845158,20.144619,-0.274754,0.260227,-0.925631,-14.2339,169.008,54.1684,59.5636,99.1125,302.788,-43.4902,160.346,54.7319,-43.4902,160.346,54.7319,0,0,0,-43.4902,160.346,54.7319,-61.1493,154.763,8.65707,0.355615,0.112429,0.927846,-61.1493,154.763,8.65707,-62.7579,145.214,-23.8494,0.0474283,0.28153,0.95838,-62.7579,145.214,-23.8494,-71.842,143.098,-45.1813,0.390179,0.0908529,0.916246
Thumb,1,47,35018806,790002569449,1,5,18560,51.845158,20.144619,-0.273535,0.261579,-0.925611,-13.976,168.869,54.0249,59.4941,98.6101,302.639,-43.222,160.171,54.5833,-43.222,160.171,54.5833,0,0,0,-43.222,160.171,54.5833,-60.8133,154.404,8.50526,0.35425,0.116143,0.927911,-60.8133,154.404,8.50526,-62.3996,144.759,-23.9739,0.0467698,0.284366,0.957574,-62.3996,144.759,-23.9739,-71.4916,142.581,-45.2961,0.390518,0.0935367,0.915831
Thumb,1,47,35018807,790002588713,1,5,18560,51.845158,20.144619,-0.278407,0.267802,-0.922373,-13.6166,168.568,53.9294,61.1621,96.6381,301.674,-42.8247,159.742,54.4624,-42.8247,159.742,54.4624,0,0,0,-42.8247,159.742,54.4624,-60.3194,153.812,8.3683,0.352306,0.119417,0.928235,-60.3194,153.812,8.3683,-61.8349,144.115,-24.0986,0.0446797,0.285918,0.957212,-61.8349,144.115,-24.0986,-70.9039,141.869,-45.4235,0.389535,0.0964355,0.915949
Thumb,1,48,35018808,790002607971,1,5,18560,51.845158,20.144619,-0.281899,0.277019,-0.918582,-13.1096,168.273,53.843,62.6071,93.8674,300.57,-42.2746,159.305,54.3482,-42.2746,159.305,54.3482,0,0,0,-42.2746,159.305,54.3482,-59.6282,153.121,8.23405,0.349464,0.124528,0.928638,-59.6282,153.121,8.23405,-61.0575,143.327,-24.2078,0.0421405,0.288758,0.956474,-61.0575,143.327,-24.2078,-70.1211,140.994,-45.5257,0.389299,0.100199,0.915645
Thumb,1,48,35018809,790002627233,1,5,18560,51.845158,20.144619,-0.281887,0.28083,-0.917428,-12.9964,168.118,53.6372,62.717,92.6881,300.054,-42.1468,159.099,54.0955,-42.1468,159.099,54.0955,0,0,0,-42.1468,159.099,54.0955,-59.3512,152.721,7.95201,0.346458,0.128449,0.92923,-59.3512,152.721,7.95201,-60.7129,142.839,-24.4662,0.0401466,0.291337,0.955778,-60.7129,142.839,-24.4662,-69.7616,140.446,-45.7838,0.38866,0.102768,0.915632
Thumb,1,48,35018810,790002646475,1,5,18560,51.845158,20.144619,-0.281342,0.281983,-0.917242,-12.9408,167.997,53.4876,62.6262,92.2576,299.854,-42.0844,158.954,53.9097,-42.0844,158.954,53.9097,0,0,0,-42.0844,158.954,53.9097,-59.1848,152.454,7.74455,0.344366,0.130906,0.929664,-59.1848,152.454,7.74455,-60.5119,142.522,-24.6597,0.0391262,0.29282,0.955367,-60.5119,142.522,-24.6597,-69.5611,140.101,-45.9739,0.388679,0.103983,0.915487
