Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ
133	0.88	404.924	62.952	-194.478	442.069	66.673	-283.157	468.08	66.375	-297.364	497.051	62.128	-286.878	539.838	56.615	-259.464	443.136	74.196	-267.591	473.455	72.576	-279.97	498.182	68.653	-269.539	541.187	60.128	-244.024	449.316	83.136	-243.483	477.826	82.827	-249.84	506.363	79.132	-243.571	537.395	67.938	-228.762	413.724	64.063	-184.134	430.76	70.12	-156.695	463.283	96.049	-199.705	487.777	97.875	-200.166	509.958	90.64	-195.735	526.909	85.885	-191.629	456.672	67.861	-129.345	476.573	96.693	-159.379	520.385	90.196	-168.011	483.043	94.196	-110.519	536.573	89.542	-128.966	640.874	60.862	105.556
134	0.88667	404.949	62.979	-194.447	442.071	66.548	-283.122	468.09	66.365	-297.362	497.082	62.141	-286.879	539.869	56.608	-259.463	443.143	74.109	-267.579	473.472	72.556	-279.963	498.216	68.652	-269.543	541.212	60.12	-244.029	449.316	83.075	-243.473	477.841	82.799	-249.837	506.382	79.122	-243.565	537.423	67.926	-228.756	413.738	64.071	-184.115	430.788	70.108	-156.698	463.29	96.03	-199.709	487.795	97.86	-200.167	509.969	90.623	-195.73	526.929	85.858	-191.63	456.699	67.83	-129.346	476.582	96.668	-159.373	520.41	90.174	-168.006	483.059	94.17	-110.515	536.584	89.503	-128.944	640.881	60.862	105.56
135	0.89333	404.948	63.003	-194.418	442.075	66.476	-283.106	468.114	66.357	-297.363	497.124	62.158	-286.887	539.905	56.602	-259.457	443.147	74.055	-267.566	473.487	72.547	-279.968	498.243	68.676	-269.542	541.253	60.111	-244.019	449.334	83.02	-243.476	477.867	82.796	-249.831	506.419	79.123	-243.553	537.454	67.914	-228.758	413.756	64.07	-184.106	430.804	70.09	-156.688	463.321	96.002	-199.692	487.815	97.827	-200.151	510	90.606	-195.722	526.95	85.836	-191.623	456.709	67.809	-129.346	476.598	96.643	-159.372	520.425	90.141	-168.006	483.077	94.144	-110.52	536.593	89.454	-128.926	640.887	60.863	105.559
136	0.9	404.954	63.023	-194.385	442.097	66.422	-283.097	468.131	66.363	-297.365	497.154	62.176	-286.888	539.932	56.603	-259.453	443.156	74.023	-267.56	473.51	72.55	-279.963	498.278	68.681	-269.541	541.277	60.102	-244.018	449.352	82.99	-243.474	477.886	82.785	-249.823	506.45	79.115	-243.547	537.481	67.906	-228.753	413.773	64.085	-184.079	430.819	70.082	-156.685	463.325	95.997	-199.702	487.836	97.822	-200.154	510.014	90.59	-195.713	526.968	85.811	-191.616	456.744	67.78	-129.34	476.615	96.621	-159.362	520.445	90.114	-167.999	483.089	94.112	-110.51	536.606	89.432	-128.925	640.893	60.859	105.576
137	0.90667	404.966	63.048	-194.347	442.116	66.391	-283.087	468.148	66.371	-297.358	497.186	62.186	-286.888	539.961	56.593	-259.443	443.171	73.989	-267.549	473.534	72.552	-279.954	498.303	68.69	-269.54	541.306	60.102	-244.026	449.371	82.965	-243.466	477.908	82.794	-249.818	506.477	79.115	-243.537	537.508	67.894	-228.748	413.789	64.082	-184.071	430.84	70.065	-156.672	463.351	96.003	-199.678	487.854	97.785	-200.117	510.037	90.576	-195.703	526.993	85.793	-191.607	456.756	67.757	-129.338	476.63	96.603	-159.347	520.462	90.097	-167.99	483.095	94.075	-110.489	536.62	89.408	-128.921	640.905	60.859	105.58
138	0.91333	404.969	63.076	-194.328	442.127	66.342	-283.073	468.168	66.379	-297.346	497.201	62.182	-286.882	539.986	56.602	-259.445	443.173	73.951	-267.531	473.544	72.563	-279.955	498.329	68.686	-269.534	541.325	60.092	-244.013	449.378	82.936	-243.459	477.933	82.793	-249.805	506.503	79.118	-243.531	537.53	67.886	-228.737	413.81	64.105	-184.061	430.843	70.052	-156.666	463.378	95.996	-199.674	487.872	97.768	-200.106	510.056	90.567	-195.688	527.015	85.778	-191.601	456.766	67.743	-129.33	476.65	96.596	-159.335	520.485	90.077	-167.989	483.11	94.049	-110.477	536.641	89.371	-128.919	640.907	60.84	105.594
139	0.92	404.98	63.104	-194.303	442.114	66.27	-283.05	468.181	66.39	-297.341	497.214	62.183	-286.875	540.011	56.599	-259.433	443.171	73.875	-267.516	473.555	72.576	-279.939	498.336	68.675	-269.521	541.346	60.088	-244.001	449.377	82.902	-243.448	477.949	82.805	-249.797	506.512	79.109	-243.518	537.555	67.884	-228.728	413.826	64.115	-184.054	430.869	70.056	-156.667	463.381	95.999	-199.664	487.912	97.766	-200.08	510.083	90.556	-195.678	527.033	85.76	-191.593	456.779	67.716	-129.325	476.669	96.581	-159.321	520.498	90.053	-167.974	483.128	94.027	-110.473	536.656	89.349	-128.904	640.926	60.841	105.612
140	0.92667	404.991	63.139	-194.265	442.085	66.185	-283.017	468.193	66.403	-297.33	497.223	62.181	-286.866	540.028	56.598	-259.422	443.145	73.808	-267.486	473.566	72.589	-279.927	498.346	68.681	-269.511	541.363	60.088	-243.999	449.36	82.863	-243.432	477.97	82.812	-249.778	506.532	79.108	-243.513	537.571	67.874	-228.714	413.841	64.153	-184.031	430.882	70.058	-156.657	463.397	96.017	-199.643	487.928	97.772	-200.074	510.099	90.543	-195.664	527.043	85.747	-191.586	456.799	67.72	-129.321	476.692	96.575	-159.315	520.519	90.049	-167.975	483.14	94.011	-110.462	536.68	89.324	-128.893	640.929	60.825	105.629
141	0.93333	404.989	63.191	-194.233	442.027	66.077	-282.949	468.195	66.413	-297.318	497.23	62.18	-286.852	540.044	56.603	-259.416	443.11	73.729	-267.45	473.572	72.595	-279.916	498.359	68.674	-269.489	541.378	60.084	-243.995	449.33	82.823	-243.413	477.984	82.821	-249.769	506.542	79.107	-243.5	537.585	67.862	-228.701	413.852	64.195	-184.027	430.895	70.072	-156.647	463.395	96.023	-199.645	487.938	97.769	-200.063	510.107	90.542	-195.653	527.059	85.738	-191.581	456.803	67.704	-129.306	476.704	96.565	-159.294	520.526	90.024	-167.955	483.155	93.991	-110.447	536.694	89.305	-128.876	640.926	60.823	105.652
142	0.94	404.99	63.235	-194.186	441.971	65.988	-282.9	468.198	66.409	-297.298	497.238	62.182	-286.837	540.054	56.603	-259.407	443.064	73.643	-267.401	473.574	72.593	-279.896	498.365	68.676	-269.478	541.388	60.071	-243.981	449.3	82.78	-243.389	477.995	82.828	-249.755	506.554	79.108	-243.489	537.594	67.852	-228.689	413.867	64.223	-183.996	430.913	70.09	-156.639	463.405	96.025	-199.624	487.949	97.771	-200.047	510.114	90.531	-195.636	527.069	85.716	-191.561	456.817	67.709	-129.297	476.718	96.557	-159.275	520.544	90.018	-167.957	483.166	93.978	-110.432	536.708	89.293	-128.874	640.926	60.818	105.678
