Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
1	0	400.506	122.422	-206.589	449.36	159.417	-293.625	480.114	152.364	-311.689	506.068	149.062	-301.39	541.648	150.862	-275.42	451.839	161.299	-273.486	479.508	156.523	-290.868	505.022	153.768	-281.742	544.031	151.215	-258.094	457.17	164.981	-252.253	483.201	163.047	-262.226	509.502	160.405	-252.909	542.461	152.158	-240.237	414.022	127.183	-190.822	431.861	129.64	-166.331	463.726	162.472	-206.247	490.068	165.617	-211.116	511.711	161.189	-209.379	534.336	153.277	-204.152	461.701	132.423	-138.804	479.412	161.64	-168.304	521.615	158.384	-179.028	481.446	158.535	-119.423	530.742	168.992	-125.961	562.171	140.402	118.683	588.543	199.828	105.875
2	0.00667	400.681	122.321	-206.716	449.594	159.231	-293.819	481.146	152.638	-311.191	506.453	149.109	-301.334	541.992	150.763	-275.619	452.132	161.136	-273.653	479.798	156.531	-291.006	505.298	153.36	-281.972	544.322	151.045	-258.186	457.46	164.806	-252.431	483.492	162.996	-262.338	509.803	160.261	-253.015	542.762	151.945	-240.347	414.197	127.093	-190.949	432.043	129.537	-166.458	464.002	162.349	-206.403	490.336	165.47	-211.234	511.988	161.026	-209.508	534.582	153.068	-204.277	461.882	132.277	-138.928	479.671	161.503	-168.447	521.872	158.167	-179.149	481.644	158.389	-119.565	530.98	168.778	-126.078	562.321	140.175	118.542	588.751	199.645	105.711
3	0.01333	400.842	122.229	-206.841	449.897	159.076	-293.967	481.473	152.699	-311.295	506.755	149	-301.432	542.313	150.548	-275.707	452.439	160.995	-273.814	480.09	156.537	-291.117	505.611	153.261	-282.064	544.639	150.795	-258.273	457.77	164.669	-252.585	483.793	162.919	-262.436	510.082	160.074	-253.116	543.068	151.715	-240.449	414.372	127.013	-191.075	432.219	129.448	-166.578	464.281	162.243	-206.541	490.66	165.292	-211.33	512.291	160.812	-209.61	534.852	152.84	-204.387	462.073	132.141	-139.054	479.939	161.351	-168.575	522.151	157.94	-179.259	481.886	158.193	-119.717	531.228	168.496	-126.194	562.469	139.886	118.436	588.908	199.342	105.61
4	0.02	401.003	122.158	-206.952	450.169	158.773	-294.045	481.756	152.776	-311.395	507.058	148.886	-301.774	542.744	150.78	-276.138	452.549	160.572	-273.949	480.375	156.537	-291.213	506.144	153.101	-281.888	545.019	150.571	-258.622	458.072	164.63	-252.839	484.127	162.855	-262.501	510.504	159.801	-253.1	543.804	151.789	-239.981	414.507	126.909	-191.188	432.4	129.36	-166.675	464.491	162.111	-206.728	490.955	165.107	-211.421	512.558	160.619	-209.519	535.135	152.489	-204.433	462.234	132.014	-139.151	480.221	161.162	-168.69	522.596	158.067	-179.372	482.12	157.991	-119.826	531.48	168.175	-126.284	562.621	139.544	118.328	589.139	198.995	105.494
5	0.02667	401.146	122.055	-207.053	450.499	158.644	-294.133	482.1	152.816	-311.452	507.345	148.613	-301.781	543.075	150.54	-276.2	452.867	160.441	-274.094	480.708	156.563	-291.284	506.421	153.114	-282.079	545.336	150.244	-258.596	458.389	164.507	-252.969	484.399	162.774	-262.633	510.8	159.558	-253.161	544.098	151.508	-240.032	414.653	126.803	-191.275	432.563	129.238	-166.752	464.804	162.013	-206.804	491.287	164.905	-211.503	512.865	160.286	-209.529	535.367	152.081	-204.458	462.405	131.836	-139.226	480.476	160.98	-168.742	522.878	157.774	-179.424	482.33	157.747	-119.931	531.704	167.801	-126.312	562.765	139.103	118.29	589.24	198.473	105.53
6	0.03333	401.266	121.937	-207.123	450.855	158.498	-294.198	482.488	152.863	-311.499	507.713	148.425	-301.807	543.388	150.194	-276.185	453.187	160.32	-274.216	481.002	156.562	-291.381	506.777	152.911	-282.115	545.626	149.873	-258.581	458.742	164.344	-253.061	484.739	162.663	-262.635	511.133	159.258	-253.17	544.382	151.148	-240.008	414.751	126.697	-191.332	432.667	129.112	-166.789	465.103	161.859	-206.87	491.587	164.674	-211.519	513.179	159.992	-209.561	535.662	151.687	-204.46	462.502	131.647	-139.27	480.742	160.723	-168.783	523.145	157.402	-179.438	482.552	157.486	-120.002	531.94	167.383	-126.331	562.866	138.636	118.268	589.451	197.982	105.474
7	0.04	401.339	121.78	-207.174	451.189	158.341	-294.24	482.853	152.905	-311.486	508.057	148.193	-301.779	543.67	149.821	-276.114	453.508	160.126	-274.235	481.365	156.526	-291.371	507.112	152.679	-282.085	545.907	149.439	-258.501	459.061	164.164	-253.085	485.12	162.508	-262.601	511.432	158.91	-253.121	544.63	150.689	-239.949	414.828	126.523	-191.345	432.744	128.944	-166.81	465.376	161.688	-206.872	491.912	164.407	-211.506	513.45	159.607	-209.52	535.889	151.206	-204.408	462.614	131.353	-139.265	480.966	160.438	-168.777	523.399	156.983	-179.407	482.742	157.115	-120.013	532.162	166.876	-126.333	562.989	138.148	118.269	589.679	197.485	105.448
8	0.04667	401.368	121.589	-207.179	451.492	158.124	-294.231	483.267	152.896	-311.444	508.367	147.873	-301.66	543.915	149.352	-275.982	453.795	159.891	-274.216	481.809	156.442	-291.253	507.397	152.299	-281.975	546.131	148.941	-258.407	459.363	163.927	-253.066	485.49	162.323	-262.525	511.742	158.562	-253.037	544.86	150.125	-239.852	414.866	126.333	-191.324	432.799	128.683	-166.782	465.628	161.466	-206.849	492.194	164.057	-211.431	513.699	159.201	-209.46	536.094	150.643	-204.318	462.66	131.037	-139.222	481.186	160.074	-168.725	523.587	156.436	-179.311	482.891	156.704	-119.995	532.343	166.253	-126.277	563.095	137.652	118.305	589.936	196.967	105.462
9	0.05333	401.378	121.298	-207.151	451.735	157.8	-294.157	483.662	152.848	-311.35	508.63	147.567	-301.576	544.097	148.777	-275.889	454.025	159.57	-274.165	482.195	156.33	-291.122	507.687	152.033	-281.901	546.321	148.317	-258.266	459.582	163.613	-253.013	485.823	162.071	-262.374	512.01	158.102	-252.883	545.049	149.511	-239.74	414.85	126.046	-191.269	432.839	128.354	-166.708	465.838	161.143	-206.767	492.406	163.611	-211.282	513.923	158.628	-209.317	536.263	149.976	-204.171	462.724	130.568	-139.138	481.382	159.64	-168.634	523.763	155.846	-179.188	483.027	156.196	-119.908	532.513	165.551	-126.183	563.188	137.138	118.406	590.18	196.387	105.483
10	0.06	401.373	120.893	-207.05	451.908	157.399	-294.056	484.015	152.723	-311.23	508.814	147.138	-301.449	544.2	148.123	-275.717	454.21	159.18	-274.071	482.518	156.107	-291.004	507.832	151.491	-281.725	546.424	147.619	-258.134	459.752	163.187	-252.902	486.112	161.738	-262.212	512.214	157.579	-252.722	545.135	148.693	-239.607	414.827	125.624	-191.148	432.822	127.898	-166.584	465.959	160.736	-206.627	492.619	163.132	-211.127	514.112	158.073	-209.157	536.351	149.234	-204.044	462.754	130.043	-139.036	481.516	159.069	-168.479	523.91	155.16	-179.041	483.133	155.59	-119.809	532.668	164.809	-126.095	563.31	136.675	118.487	590.379	195.88	105.524
