Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ
158	1.04667	412.756	67.32	-189.12	448.747	76.768	-269.884	473.212	73.888	-283.296	499.128	70.673	-273.042	536.436	63.673	-247.774	449.853	85.248	-254.802	478.712	81.115	-266.313	500.904	77.893	-255.941	539.655	67.299	-232.578	455.693	95.105	-230.3	483.306	93.425	-236.234	510.008	88.591	-229.815	537.8	75.167	-216.732	419.427	69.624	-176.332	433.271	76.376	-145.235	468.345	105.322	-184.65	492.744	105.877	-184.974	514.167	97.192	-180.883	530.742	91.381	-177.241	459.013	71.63	-116.78	480.95	101.95	-144.52	524.275	94.099	-153.436	487.219	95.782	-96.312	540.133	89.749	-115.011	644.36	50.388	116.031
159	1.05333	412.751	67.334	-189.106	448.768	76.786	-269.891	473.234	73.9	-283.3	499.153	70.694	-273.049	536.456	63.704	-247.774	449.868	85.262	-254.807	478.729	81.131	-266.33	500.927	77.918	-255.947	539.676	67.316	-232.581	455.705	95.12	-230.304	483.323	93.44	-236.241	510.024	88.616	-229.813	537.819	75.188	-216.734	419.443	69.622	-176.336	433.29	76.385	-145.24	468.359	105.328	-184.658	492.763	105.89	-184.97	514.184	97.203	-180.882	530.756	91.396	-177.24	459.022	71.65	-116.787	480.957	101.964	-144.522	524.289	94.118	-153.444	487.216	95.771	-96.337	540.157	89.838	-115.038	644.367	50.422	116.032
160	1.06	412.762	67.343	-189.118	448.786	76.787	-269.9	473.256	73.904	-283.311	499.183	70.704	-273.056	536.49	63.713	-247.78	449.881	85.267	-254.814	478.755	81.132	-266.336	500.953	77.923	-255.955	539.702	67.332	-232.582	455.724	95.122	-230.315	483.348	93.45	-236.248	510.042	88.619	-229.821	537.844	75.197	-216.735	419.462	69.62	-176.339	433.307	76.39	-145.253	468.379	105.344	-184.672	492.777	105.908	-184.975	514.199	97.214	-180.891	530.767	91.405	-177.245	459.039	71.66	-116.795	480.971	101.974	-144.533	524.304	94.137	-153.459	487.224	95.782	-96.35	540.165	89.849	-115.04	644.363	50.439	116.033
161	1.06667	412.794	67.336	-189.124	448.808	76.78	-269.914	473.27	73.899	-283.321	499.208	70.694	-273.064	536.516	63.701	-247.786	449.901	85.26	-254.824	478.777	81.122	-266.346	500.98	77.921	-255.964	539.725	67.318	-232.589	455.745	95.122	-230.334	483.36	93.442	-236.261	510.066	88.622	-229.835	537.859	75.193	-216.747	419.476	69.623	-176.351	433.318	76.394	-145.263	468.4	105.351	-184.682	492.791	105.908	-184.995	514.218	97.222	-180.902	530.786	91.405	-177.261	459.06	71.669	-116.8	480.991	101.985	-144.548	524.319	94.151	-153.47	487.238	95.809	-96.367	540.181	89.874	-115.055	644.362	50.464	116.033
162	1.07333	412.808	67.332	-189.136	448.834	76.769	-269.927	473.298	73.881	-283.338	499.229	70.68	-273.074	536.538	63.678	-247.789	449.93	85.244	-254.844	478.798	81.113	-266.361	501.003	77.905	-255.977	539.741	67.31	-232.591	455.762	95.116	-230.352	483.394	93.436	-236.274	510.089	88.614	-229.852	537.885	75.175	-216.749	419.491	69.628	-176.371	433.341	76.41	-145.283	468.413	105.345	-184.701	492.815	105.904	-185.01	514.242	97.218	-180.918	530.807	91.401	-177.267	459.07	71.687	-116.819	481.01	101.994	-144.565	524.339	94.152	-153.482	487.254	95.815	-96.375	540.204	89.89	-115.068	644.368	50.498	116.034
163	1.08	412.826	67.343	-189.147	448.856	76.752	-269.946	473.329	73.862	-283.35	499.249	70.664	-273.089	536.566	63.646	-247.797	449.954	85.225	-254.86	478.826	81.093	-266.373	501.029	77.879	-255.988	539.769	67.284	-232.593	455.786	95.099	-230.366	483.414	93.418	-236.292	510.107	88.593	-229.864	537.908	75.147	-216.766	419.525	69.619	-176.374	433.362	76.425	-145.296	468.441	105.347	-184.727	492.837	105.911	-185.042	514.258	97.211	-180.933	530.834	91.387	-177.286	459.092	71.7	-116.834	481.04	101.999	-144.584	524.355	94.153	-153.49	487.273	95.835	-96.395	540.217	89.894	-115.082	644.368	50.522	116.032
164	1.08667	412.837	67.352	-189.155	448.878	76.735	-269.965	473.362	73.83	-283.381	499.285	70.631	-273.102	536.595	63.62	-247.804	449.973	85.213	-254.874	478.855	81.079	-266.4	501.052	77.857	-256.006	539.789	67.264	-232.611	455.816	95.092	-230.391	483.441	93.404	-236.312	510.134	88.577	-229.88	537.936	75.12	-216.779	419.532	69.63	-176.38	433.382	76.438	-145.318	468.48	105.328	-184.75	492.861	105.906	-185.057	514.288	97.197	-180.954	530.856	91.372	-177.3	459.106	71.714	-116.849	481.067	102.002	-144.609	524.381	94.167	-153.529	487.29	95.844	-96.413	540.237	89.895	-115.095	644.375	50.546	116.031
165	1.09333	412.855	67.363	-189.167	448.894	76.704	-269.98	473.392	73.81	-283.404	499.314	70.609	-273.116	536.621	63.584	-247.821	449.994	85.186	-254.899	478.877	81.058	-266.421	501.076	77.835	-256.017	539.829	67.222	-232.612	455.839	95.071	-230.412	483.469	93.382	-236.332	510.16	88.562	-229.888	537.961	75.088	-216.783	419.551	69.642	-176.393	433.402	76.448	-145.324	468.503	105.321	-184.772	492.89	105.887	-185.074	514.319	97.186	-180.978	530.875	91.348	-177.315	459.122	71.718	-116.86	481.081	101.995	-144.626	524.399	94.15	-153.538	487.315	95.87	-96.407	540.24	89.838	-115.091	644.376	50.57	116.019
166	1.1	412.864	67.377	-189.185	448.907	76.672	-269.999	473.42	73.785	-283.421	499.345	70.586	-273.138	536.654	63.548	-247.826	450.018	85.16	-254.92	478.905	81.032	-266.442	501.115	77.817	-256.036	539.861	67.195	-232.622	455.86	95.043	-230.432	483.495	93.364	-236.359	510.197	88.537	-229.918	537.991	75.063	-216.809	419.566	69.652	-176.406	433.42	76.449	-145.348	468.519	105.311	-184.798	492.915	105.886	-185.092	514.344	97.17	-180.996	530.9	91.327	-177.337	459.153	71.732	-116.886	481.102	101.996	-144.653	524.423	94.143	-153.555	487.334	95.867	-96.424	540.26	89.819	-115.107	644.375	50.581	116.019
167	1.10667	412.883	67.381	-189.2	448.929	76.642	-270.015	473.453	73.764	-283.443	499.377	70.573	-273.158	536.694	63.53	-247.846	450.045	85.128	-254.938	478.935	81.008	-266.47	501.142	77.805	-256.061	539.903	67.17	-232.624	455.874	95.018	-230.466	483.522	93.35	-236.377	510.216	88.513	-229.936	538.027	75.026	-216.818	419.584	69.65	-176.425	433.445	76.45	-145.366	468.547	105.298	-184.816	492.944	105.866	-185.116	514.367	97.141	-181.016	530.918	91.303	-177.354	459.173	71.726	-116.905	481.133	101.979	-144.675	524.444	94.124	-153.578	487.352	95.871	-96.452	540.281	89.815	-115.131	644.386	50.607	116.007
168	1.11333	412.899	67.366	-189.22	448.956	76.613	-270.039	473.48	73.755	-283.47	499.415	70.554	-273.182	536.753	63.544	-247.859	450.061	85.094	-254.964	478.964	80.99	-266.488	501.175	77.784	-256.078	539.949	67.164	-232.654	455.912	94.983	-230.482	483.541	93.328	-236.39	510.25	88.493	-229.957	538.068	75.018	-216.825	419.598	69.641	-176.446	433.468	76.431	-145.391	468.559	105.281	-184.839	492.972	105.837	-185.121	514.395	97.117	-181.038	530.939	91.276	-177.373	459.178	71.717	-116.928	481.146	101.964	-144.698	524.466	94.086	-153.575	487.368	95.861	-96.471	540.295	89.796	-115.145	644.387	50.621	116.008
169	1.12	412.923	67.351	-189.236	448.982	76.573	-270.056	473.513	73.727	-283.486	499.459	70.548	-273.203	536.822	63.567	-247.877	450.085	85.065	-254.984	478.999	80.968	-266.509	501.205	77.764	-256.098	540.004	67.169	-232.663	455.932	94.949	-230.514	483.563	93.311	-236.405	510.285	88.471	-229.976	538.119	75.02	-216.839	419.62	69.623	-176.465	433.487	76.408	-145.411	468.577	105.26	-184.864	492.994	105.818	-185.146	514.42	97.09	-181.058	530.965	91.257	-177.393	459.195	71.687	-116.951	481.165	101.942	-144.714	524.491	94.082	-153.614	487.382	95.855	-96.49	540.31	89.779	-115.16	644.391	50.637	115.995
170	1.12667	412.944	67.32	-189.257	449.009	76.539	-270.078	473.555	73.721	-283.513	499.492	70.546	-273.225	536.898	63.603	-247.894	450.103	85.036	-255.003	479.028	80.953	-266.52	501.242	77.755	-256.117	540.068	67.192	-232.67	455.953	94.918	-230.537	483.583	93.298	-236.431	510.309	88.454	-229.995	538.16	75.029	-216.85	419.641	69.593	-176.477	433.506	76.379	-145.433	468.552	105.211	-184.841	493.013	105.791	-185.161	514.442	97.068	-181.078	530.991	91.236	-177.406	459.23	71.671	-116.968	481.211	101.946	-144.758	524.504	94.049	-153.607	487.406	95.833	-96.501	540.335	89.764	-115.178	644.39	50.652	115.993
171	1.13333	412.971	67.282	-189.271	449.036	76.506	-270.099	473.585	73.716	-283.534	499.532	70.549	-273.248	536.992	63.65	-247.92	450.132	85.005	-255.022	479.065	80.959	-266.551	501.274	77.758	-256.135	540.13	67.219	-232.677	455.976	94.882	-230.551	483.603	93.274	-236.453	510.338	88.447	-230.007	538.209	75.037	-216.867	419.66	69.561	-176.497	433.532	76.339	-145.46	468.575	105.188	-184.858	493.038	105.775	-185.18	514.46	97.051	-181.091	531.009	91.221	-177.422	459.25	71.635	-116.988	481.23	101.922	-144.78	524.531	94.029	-153.629	487.412	95.81	-96.527	540.355	89.743	-115.19	644.395	50.664	115.992
172	1.14	412.998	67.246	-189.301	449.073	76.473	-270.126	473.619	73.709	-283.565	499.569	70.557	-273.266	537.067	63.688	-247.938	450.157	84.984	-255.047	479.091	80.953	-266.576	501.311	77.756	-256.152	540.196	67.233	-232.693	456.004	94.859	-230.576	483.636	93.255	-236.462	510.369	88.444	-230.026	538.26	75.042	-216.87	419.684	69.528	-176.523	433.559	76.302	-145.489	468.597	105.151	-184.869	493.072	105.734	-185.195	514.485	97.027	-181.1	531.044	91.203	-177.432	459.278	71.61	-117.013	481.243	101.893	-144.791	524.551	94.005	-153.639	487.436	95.791	-96.545	540.379	89.72	-115.218	644.39	50.663	115.993
173	1.14667	413.027	67.21	-189.315	449.107	76.448	-270.149	473.654	73.697	-283.578	499.61	70.56	-273.281	537.16	63.716	-247.955	450.195	84.964	-255.063	479.128	80.933	-266.591	501.357	77.748	-256.172	540.261	67.251	-232.707	456.035	94.834	-230.59	483.666	93.232	-236.479	510.408	88.435	-230.037	538.312	75.049	-216.885	419.708	69.493	-176.541	433.577	76.258	-145.52	468.623	105.113	-184.887	493.092	105.711	-185.215	514.513	97.011	-181.114	531.075	91.184	-177.442	459.306	71.573	-117.034	481.267	101.869	-144.817	524.571	93.979	-153.651	487.457	95.77	-96.565	540.4	89.684	-115.228	644.396	50.683	115.994
174	1.15333	413.051	67.174	-189.334	449.144	76.42	-270.175	473.69	73.681	-283.6	499.651	70.555	-273.305	537.22	63.74	-247.971	450.228	84.934	-255.082	479.169	80.917	-266.617	501.404	77.739	-256.189	540.326	67.271	-232.711	456.067	94.802	-230.605	483.707	93.204	-236.505	510.443	88.422	-230.054	538.36	75.047	-216.896	419.736	69.455	-176.568	433.604	76.218	-145.545	468.647	105.094	-184.912	493.118	105.68	-185.229	514.542	96.979	-181.125	531.103	91.168	-177.461	459.323	71.537	-117.05	481.296	101.828	-144.836	524.602	93.962	-153.67	487.482	95.733	-96.574	540.414	89.662	-115.246	644.393	50.679	115.99
175	1.16	413.076	67.136	-189.35	449.174	76.386	-270.198	473.734	73.659	-283.622	499.691	70.54	-273.324	537.284	63.743	-247.981	450.262	84.904	-255.104	479.214	80.896	-266.636	501.45	77.721	-256.21	540.382	67.268	-232.731	456.095	94.786	-230.626	483.735	93.175	-236.52	510.479	88.396	-230.06	538.413	75.035	-216.9	419.749	69.42	-176.585	433.624	76.185	-145.564	468.677	105.059	-184.937	493.145	105.647	-185.24	514.565	96.952	-181.134	531.13	91.136	-177.472	459.358	71.514	-117.069	481.318	101.803	-144.855	524.621	93.922	-153.665	487.494	95.699	-96.606	540.44	89.629	-115.255	644.397	50.682	115.993
176	1.16667	413.097	67.108	-189.365	449.21	76.348	-270.223	473.773	73.632	-283.635	499.738	70.514	-273.34	537.338	63.739	-247.995	450.297	84.86	-255.134	479.248	80.865	-266.656	501.49	77.69	-256.225	540.429	67.245	-232.751	456.128	94.75	-230.638	483.782	93.141	-236.548	510.519	88.368	-230.077	538.451	75.013	-216.906	419.779	69.364	-176.608	433.648	76.155	-145.579	468.701	105.029	-184.958	493.175	105.619	-185.258	514.591	96.927	-181.148	531.16	91.092	-177.483	459.381	71.486	-117.086	481.349	101.77	-144.871	524.647	93.874	-153.672	487.52	95.667	-96.627	540.461	89.608	-115.27	644.399	50.69	115.993
177	1.17333	413.117	67.068	-189.378	449.247	76.298	-270.235	473.812	73.595	-283.652	499.785	70.488	-273.353	537.393	63.706	-248.008	450.336	84.809	-255.146	479.29	80.833	-266.677	501.53	77.643	-256.237	540.473	67.214	-232.759	456.143	94.706	-230.667	483.813	93.1	-236.563	510.558	88.328	-230.083	538.489	74.993	-216.914	419.805	69.318	-176.621	433.665	76.118	-145.601	468.722	104.981	-184.98	493.2	105.578	-185.277	514.612	96.887	-181.158	531.18	91.06	-177.488	459.39	71.459	-117.1	481.373	101.737	-144.894	524.67	93.845	-153.681	487.537	95.639	-96.644	540.48	89.582	-115.284	644.399	50.686	115.993
178	1.18	413.125	67.037	-189.382	449.279	76.243	-270.253	473.84	73.558	-283.668	499.829	70.46	-273.363	537.442	63.674	-248.02	450.373	84.743	-255.176	479.323	80.797	-266.699	501.567	77.618	-256.25	540.52	67.19	-232.767	456.177	94.648	-230.681	483.857	93.06	-236.583	510.583	88.292	-230.1	538.523	74.955	-216.918	419.82	69.281	-176.639	433.696	76.08	-145.625	468.742	104.927	-185.007	493.222	105.536	-185.296	514.64	96.846	-181.17	531.2	91.025	-177.501	459.404	71.433	-117.12	481.391	101.705	-144.914	524.695	93.805	-153.7	487.552	95.605	-96.659	540.497	89.557	-115.296	644.419	50.709	115.984
179	1.18667	413.136	67.011	-189.382	449.307	76.184	-270.267	473.873	73.517	-283.691	499.865	70.444	-273.381	537.478	63.631	-248.025	450.396	84.685	-255.2	479.357	80.755	-266.717	501.593	77.603	-256.264	540.555	67.138	-232.775	456.191	94.589	-230.71	483.887	93.001	-236.591	510.608	88.258	-230.102	538.553	74.917	-216.93	419.833	69.251	-176.649	433.711	76.049	-145.636	468.766	104.901	-185.023	493.242	105.488	-185.317	514.656	96.806	-181.179	531.216	90.976	-177.509	459.427	71.396	-117.135	481.414	101.672	-144.929	524.723	93.764	-153.712	487.575	95.581	-96.677	540.509	89.527	-115.304	644.408	50.694	115.995
