Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
1	0	405.228	165.366	-242.659	463.407	179.065	-332.489	496.658	175.522	-342.524	520.339	167.769	-333.408	535.036	157.03	-309.014	464.483	186.05	-315.324	497.968	179.341	-325.668	522.931	174.062	-313.618	538.197	163.833	-293.395	469.534	198.43	-289.357	499.403	191.699	-296.546	527.92	187.609	-285.933	543.435	174.334	-271.906	420.332	167.514	-224.374	439.115	173.511	-196.065	480.164	206.999	-240.39	505.409	202.473	-239.102	518.723	193.857	-236.013	539.764	184.607	-228.978	468.012	183.995	-165.161	497.113	203.038	-190.333	532.408	189.127	-194.151	499.967	197.867	-138.104	542.407	189.948	-150.765	606.88	77.392	98.292	656.652	125.086	84.327
2	0.00667	405.32	165.411	-242.761	463.52	179.15	-332.548	496.761	175.584	-342.589	520.432	167.817	-333.478	535.136	157.1	-309.043	464.601	186.136	-315.385	498.077	179.423	-325.742	523.022	174.107	-313.671	538.293	163.867	-293.471	469.644	198.49	-289.419	499.507	191.757	-296.609	528.01	187.649	-285.983	543.54	174.344	-271.945	420.414	167.542	-224.459	439.207	173.551	-196.144	480.25	207.05	-240.448	505.502	202.526	-239.132	518.819	193.899	-236.072	539.852	184.643	-229.02	468.104	184.008	-165.221	497.206	203.071	-190.394	532.502	189.172	-194.246	500.038	197.896	-138.164	542.488	189.958	-150.822	606.883	77.397	98.249	656.669	125.08	84.294
3	0.01333	405.429	165.444	-242.871	463.638	179.231	-332.621	497.091	175.837	-342.483	520.533	167.85	-333.533	535.245	157.107	-309.092	464.875	186.214	-315.265	498.191	179.476	-325.807	523.126	174.147	-313.735	538.4	163.886	-293.513	469.751	198.543	-289.485	499.616	191.808	-296.667	528.113	187.682	-286.037	543.629	174.37	-272.001	420.508	167.576	-224.552	439.298	173.579	-196.222	480.356	207.091	-240.519	505.616	202.559	-239.196	518.917	193.932	-236.14	539.953	184.659	-229.079	468.182	184.049	-165.294	497.287	203.099	-190.452	532.6	189.189	-194.311	500.114	197.908	-138.224	542.559	189.962	-150.868	606.871	77.406	98.207	656.676	125.078	84.271
4	0.02	405.542	165.458	-242.981	463.771	179.022	-332.592	497.029	175.637	-342.607	520.656	167.856	-333.636	535.346	157.109	-309.196	465.054	186.121	-315.201	498.216	179.096	-326.003	523.256	174.17	-313.78	538.517	163.887	-293.554	469.889	198.534	-289.17	499.846	191.662	-296.544	528.22	187.641	-286.066	543.736	174.391	-272.066	420.672	167.576	-224.584	439.381	173.607	-196.318	480.527	207.068	-240.424	505.657	202.694	-238.338	519.037	193.93	-236.15	540.064	184.659	-229.136	468.265	184.073	-165.374	497.142	203.009	-190.126	532.709	189.153	-194.363	500.235	197.931	-138.273	542.795	189.994	-150.947	607.545	76.771	97.996	656.674	124.862	84.536
5	0.02667	405.641	165.424	-243.097	463.882	179.09	-332.727	497.179	175.689	-342.714	520.793	167.91	-333.708	535.469	157.14	-309.268	465.217	186.171	-315.297	498.379	179.166	-326.112	523.388	174.213	-313.855	538.639	163.905	-293.614	470.041	198.561	-289.256	499.993	191.75	-296.639	528.376	187.706	-286.174	543.85	174.416	-272.143	420.789	167.586	-224.712	439.457	173.591	-196.455	480.639	207.095	-240.498	505.772	202.71	-238.42	519.149	193.955	-236.215	540.19	184.686	-229.218	468.348	184.04	-165.516	497.231	202.986	-190.209	532.813	189.166	-194.439	500.295	197.938	-138.396	542.879	190.103	-150.99	607.646	77.473	97.895	656.684	124.842	84.533
6	0.03333	405.787	165.522	-243.21	464.088	179.098	-332.724	497.309	175.708	-342.746	520.925	167.943	-333.773	535.6	157.162	-309.341	465.363	186.232	-315.398	498.504	179.165	-326.141	523.509	174.239	-313.918	538.762	163.926	-293.69	470.183	198.608	-289.336	500.135	191.716	-296.669	528.501	187.731	-286.244	543.977	174.435	-272.212	420.92	167.619	-224.823	439.654	173.637	-196.491	480.761	207.123	-240.541	505.882	202.733	-238.491	519.277	193.98	-236.28	540.298	184.703	-229.284	468.522	184.096	-165.545	497.349	203.026	-190.284	532.92	189.165	-194.492	500.42	197.953	-138.398	542.879	189.867	-151.017	607.534	76.536	98.011	656.694	124.825	84.513
7	0.04	405.912	165.539	-243.317	464.234	179.136	-332.796	497.443	175.729	-342.806	521.078	167.956	-333.844	535.727	157.167	-309.393	465.494	186.268	-315.476	498.647	179.201	-326.203	523.653	174.263	-313.993	538.889	163.947	-293.748	470.299	198.655	-289.423	500.263	191.741	-296.752	528.642	187.737	-286.312	544.098	174.443	-272.272	421.05	167.63	-224.925	439.779	173.66	-196.605	480.882	207.136	-240.616	506.023	202.744	-238.572	519.398	193.997	-236.355	540.405	184.716	-229.339	468.632	184.137	-165.628	497.467	203.042	-190.346	533.018	189.166	-194.547	500.509	197.954	-138.447	542.962	189.833	-151.067	607.545	76.453	97.974	656.701	124.805	84.483
8	0.04667	406.047	165.564	-243.436	464.386	179.162	-332.868	497.601	175.761	-342.895	521.22	167.977	-333.922	535.844	157.159	-309.457	465.635	186.296	-315.553	498.793	179.223	-326.279	523.784	174.272	-314.069	539.007	163.948	-293.806	470.435	198.663	-289.508	500.412	191.755	-296.837	528.782	187.74	-286.381	544.218	174.446	-272.338	421.177	167.646	-225.039	439.898	173.678	-196.712	481.024	207.159	-240.681	506.157	202.762	-238.65	519.52	194.007	-236.416	540.521	184.717	-229.404	468.724	184.159	-165.706	497.586	203.05	-190.425	533.13	189.166	-194.617	500.612	197.969	-138.526	543.046	189.779	-151.142	607.541	76.407	97.944	656.71	124.79	84.466
9	0.05333	406.177	165.588	-243.552	464.543	179.195	-332.957	497.763	175.768	-342.969	521.36	167.974	-333.983	535.995	157.161	-309.526	465.79	186.33	-315.636	498.961	179.244	-326.365	523.918	174.276	-314.137	539.153	163.945	-293.874	470.579	198.694	-289.594	500.554	191.785	-296.93	528.904	187.731	-286.439	544.342	174.434	-272.381	421.312	167.653	-225.132	440.014	173.689	-196.808	481.166	207.179	-240.764	506.263	202.785	-238.743	519.648	194.018	-236.491	540.652	184.706	-229.471	468.825	184.174	-165.775	497.706	203.08	-190.487	533.243	189.166	-194.679	500.719	197.985	-138.596	543.145	189.762	-151.203	607.499	76.41	97.917	656.721	124.76	84.45
10	0.06	406.326	165.613	-243.652	464.688	179.222	-333.045	497.924	175.782	-343.058	521.512	167.965	-334.057	536.147	157.139	-309.59	465.934	186.348	-315.711	499.095	179.245	-326.438	524.083	174.257	-314.189	539.295	163.941	-293.948	470.724	198.706	-289.656	500.717	191.805	-296.995	529.055	187.712	-286.505	544.466	174.428	-272.433	421.434	167.664	-225.223	440.128	173.708	-196.897	481.315	207.197	-240.847	506.401	202.792	-238.812	519.78	194.021	-236.553	540.784	184.691	-229.528	468.921	184.203	-165.85	497.826	203.095	-190.553	533.363	189.164	-194.744	500.829	197.997	-138.678	543.249	189.757	-151.257	607.492	76.394	97.88	656.725	124.735	84.429
