Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
153	1.01333	413.438	147.082	-237.163	449.692	174.736	-293.481	477.07	182.63	-301.629	495.937	179.672	-292.491	535.331	177.024	-266.876	452.205	173.43	-279.03	478.956	178.71	-286.492	501.309	176.024	-277.274	533.644	172.756	-250.933	456.461	174.281	-255.591	479.779	175.768	-257.997	503.919	171.242	-249.872	531.504	169.182	-232.835	424.371	144.939	-221.575	435.461	142.438	-193.389	466.969	176.17	-215.298	488.747	174.523	-214.082	503.655	167.674	-209.568	519.879	161.588	-201.848	458.955	145.435	-149.269	474.309	170.899	-183.352	511.306	164.026	-185.716	474.978	159.343	-124.643	521.537	159.547	-137.938	588.166	73.821	87.508	618.433	126.292	72.949
154	1.02	413.473	147.078	-237.204	449.815	174.71	-293.5	477.097	181.593	-301.846	496.017	179.536	-292.546	535.623	177.167	-266.712	452.318	173.405	-279.064	479.124	177.843	-286.719	501.382	175.953	-277.314	533.886	172.86	-250.791	456.588	174.294	-255.586	479.846	175.316	-258.195	503.968	171.196	-249.905	531.654	169.233	-232.71	424.407	144.947	-221.613	435.475	142.435	-193.418	467.023	176.17	-215.331	488.788	174.528	-214.142	503.705	167.662	-209.6	519.89	161.591	-201.816	458.964	145.436	-149.299	474.338	170.907	-183.383	511.315	164.012	-185.708	474.956	159.281	-124.651	521.537	159.579	-137.932	588.177	73.801	87.495	618.438	126.267	72.928
155	1.02667	413.51	147.083	-237.254	449.908	174.695	-293.55	477.269	180.565	-302.097	496.074	179.374	-292.709	535.951	177.299	-266.541	452.407	173.369	-279.099	479.182	177.038	-286.974	501.483	175.835	-277.368	534.133	172.945	-250.647	456.653	174.302	-255.618	479.971	174.9	-258.397	504.034	171.131	-249.936	531.804	169.261	-232.583	424.433	144.953	-221.656	435.482	142.436	-193.452	467.083	176.168	-215.375	488.847	174.522	-214.206	503.73	167.644	-209.627	519.907	161.588	-201.789	458.963	145.413	-149.321	474.363	170.908	-183.414	511.325	163.991	-185.712	474.951	159.269	-124.665	521.543	159.572	-137.949	588.174	73.784	87.461	618.443	126.249	72.897
156	1.03333	413.551	147.101	-237.306	449.988	174.662	-293.584	477.367	179.675	-302.316	496.185	179.171	-292.778	536.267	177.35	-266.391	452.488	173.352	-279.144	479.306	176.272	-287.168	501.614	175.692	-277.429	534.357	172.984	-250.529	456.73	174.286	-255.62	480.082	174.52	-258.521	504.103	171.038	-249.975	531.95	169.267	-232.47	424.459	144.957	-221.697	435.505	142.429	-193.485	467.149	176.142	-215.421	488.908	174.5	-214.266	503.791	167.613	-209.663	519.917	161.56	-201.759	458.965	145.407	-149.348	474.388	170.898	-183.449	511.35	163.961	-185.72	474.943	159.254	-124.683	521.54	159.569	-137.959	588.182	73.774	87.436	618.445	126.231	72.877
157	1.04	413.599	147.097	-237.353	450.045	174.638	-293.625	477.437	178.818	-302.522	496.331	178.974	-292.844	536.595	177.395	-266.268	452.546	173.327	-279.179	479.395	175.607	-287.348	501.672	175.541	-277.459	534.6	173.001	-250.411	456.769	174.275	-255.651	480.161	174.161	-258.658	504.174	170.927	-250.02	532.092	169.241	-232.376	424.487	144.952	-221.748	435.515	142.421	-193.521	467.186	176.144	-215.462	488.959	174.499	-214.322	503.842	167.577	-209.691	519.964	161.517	-201.736	458.97	145.393	-149.385	474.412	170.892	-183.472	511.371	163.929	-185.728	474.949	159.274	-124.716	521.538	159.524	-138.006	588.198	73.765	87.398	618.449	126.229	72.856
158	1.04667	413.651	147.094	-237.426	450.118	174.606	-293.664	477.435	177.902	-302.724	496.452	178.789	-292.91	536.919	177.45	-266.134	452.605	173.307	-279.216	479.398	174.906	-287.507	501.809	175.367	-277.509	534.854	173.006	-250.288	456.823	174.273	-255.682	480.223	173.807	-258.791	504.26	170.817	-250.046	532.257	169.189	-232.252	424.527	144.935	-221.808	435.545	142.415	-193.569	467.242	176.151	-215.503	489.035	174.499	-214.384	503.906	167.535	-209.719	519.995	161.465	-201.723	458.973	145.387	-149.421	474.431	170.898	-183.508	511.4	163.894	-185.749	474.948	159.26	-124.735	521.535	159.507	-138.025	588.214	73.763	87.373	618.453	126.22	72.829
159	1.05333	413.702	147.094	-237.491	450.187	174.61	-293.703	477.381	176.95	-302.903	496.612	178.64	-292.963	537.259	177.518	-265.964	452.691	173.318	-279.254	479.353	174.148	-287.678	501.934	175.23	-277.552	535.121	173.028	-250.15	456.885	174.293	-255.712	480.269	173.459	-258.949	504.362	170.721	-250.081	532.417	169.178	-232.144	424.58	144.936	-221.878	435.568	142.417	-193.633	467.296	176.15	-215.537	489.083	174.493	-214.442	503.969	167.501	-209.751	520.022	161.415	-201.695	458.967	145.39	-149.456	474.464	170.893	-183.539	511.428	163.84	-185.753	474.942	159.242	-124.758	521.541	159.493	-138.048	588.212	73.755	87.354	618.458	126.22	72.798
160	1.06	413.772	147.119	-237.572	450.303	174.639	-293.747	477.333	175.998	-303.087	496.782	178.507	-293.027	537.609	177.624	-265.79	452.782	173.355	-279.298	479.333	173.37	-287.85	502.073	175.116	-277.594	535.382	173.082	-249.987	456.951	174.32	-255.741	480.266	173.049	-259.086	504.464	170.644	-250.101	532.58	169.167	-232.015	424.634	144.941	-221.946	435.601	142.426	-193.696	467.358	176.15	-215.575	489.138	174.489	-214.505	504.011	167.472	-209.773	520.048	161.381	-201.676	458.962	145.384	-149.495	474.497	170.9	-183.573	511.452	163.799	-185.763	474.934	159.228	-124.777	521.536	159.48	-138.068	588.235	73.755	87.324	618.463	126.217	72.773
161	1.06667	413.821	147.119	-237.645	450.391	174.679	-293.796	477.298	175.091	-303.267	496.949	178.376	-293.091	537.994	177.725	-265.579	452.863	173.366	-279.297	479.357	172.577	-287.985	502.215	174.985	-277.639	535.657	173.145	-249.806	457.013	174.35	-255.764	480.313	172.669	-259.218	504.563	170.579	-250.141	532.766	169.162	-231.861	424.677	144.945	-222.009	435.63	142.427	-193.754	467.411	176.147	-215.609	489.178	174.484	-214.563	504.056	167.444	-209.802	520.064	161.352	-201.65	458.947	145.378	-149.534	474.515	170.901	-183.607	511.457	163.768	-185.769	474.923	159.215	-124.802	521.542	159.462	-138.097	588.265	73.747	87.29	618.472	126.21	72.737
162	1.07333	413.861	147.125	-237.707	450.457	174.706	-293.84	477.462	174.203	-303.422	497.093	178.245	-293.161	538.379	177.835	-265.369	452.927	173.403	-279.332	479.508	171.875	-288.14	502.351	174.87	-277.692	535.958	173.188	-249.611	457.073	174.385	-255.806	480.364	172.306	-259.36	504.641	170.51	-250.182	532.939	169.175	-231.716	424.72	144.946	-222.072	435.652	142.43	-193.81	467.469	176.148	-215.652	489.221	174.483	-214.616	504.108	167.434	-209.829	520.085	161.318	-201.624	458.955	145.366	-149.563	474.541	170.909	-183.637	511.479	163.739	-185.781	474.918	159.186	-124.826	521.526	159.455	-138.119	588.265	73.745	87.262	618.482	126.203	72.703
