Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
90	0.59333	406.78	146.977	-237.084	451.619	169.832	-295.043	477.665	179.334	-302.315	493.769	177.527	-292.794	524.666	167.709	-271.125	453.497	170.319	-280.389	479.115	176.289	-286.951	499.072	174.538	-277.249	524.905	166.062	-254.632	456.679	173.794	-256.726	478.949	175.034	-258.456	501.451	170.733	-249.639	524.927	165.252	-236.277	416.642	146.335	-219.592	430.084	144.405	-190.977	464.949	178.256	-215.513	486.696	176.141	-213.824	500.823	168.752	-209.026	516.92	162.135	-202.167	455.019	147.611	-148.345	471.359	172.527	-183.058	508.401	165.049	-185.214	471.324	160.741	-123.385	518.2	159.562	-136.47	574.37	64.451	88.12	612.594	114.329	71.018
91	0.6	406.628	147.729	-236.697	451.777	169.991	-295.071	477.835	179.434	-302.35	493.896	177.574	-292.823	524.795	167.763	-271.159	453.673	170.471	-280.427	479.271	176.356	-286.987	499.203	174.603	-277.273	525.021	166.103	-254.652	456.831	173.915	-256.741	479.115	175.099	-258.468	501.614	170.819	-249.685	525.059	165.288	-236.299	416.699	146.882	-219.422	430.141	144.699	-190.937	465.112	178.326	-215.545	486.829	176.198	-213.861	500.951	168.821	-209.063	517.051	162.179	-202.198	455.143	147.677	-148.376	471.492	172.591	-183.086	508.534	165.08	-185.237	471.423	160.76	-123.414	518.297	159.58	-136.487	574.397	64.478	88.105	612.624	114.358	71.034
92	0.60667	406.393	148.54	-236.299	451.956	170.182	-295.111	478.004	179.528	-302.375	494.015	177.645	-292.847	524.918	167.812	-271.187	453.853	170.675	-280.463	479.415	176.452	-287.008	499.326	174.675	-277.292	525.166	166.149	-254.677	456.969	174.036	-256.748	479.254	175.183	-258.496	501.742	170.892	-249.702	525.177	165.336	-236.316	416.711	147.4	-219.203	430.194	145.022	-190.889	465.266	178.397	-215.563	486.947	176.242	-213.892	501.071	168.871	-209.072	517.163	162.223	-202.219	455.243	147.76	-148.403	471.635	172.679	-183.117	508.669	165.109	-185.263	471.519	160.789	-123.433	518.377	159.6	-136.503	574.414	64.506	88.094	612.677	114.391	71.024
93	0.61333	406.195	149.318	-235.859	452.122	170.368	-295.138	478.201	179.622	-302.457	494.228	177.766	-292.931	525.061	167.879	-271.204	454.026	170.831	-280.482	479.574	176.564	-287.032	499.471	174.778	-277.329	525.297	166.198	-254.686	457.103	174.169	-256.769	479.388	175.277	-258.502	501.854	170.973	-249.712	525.319	165.392	-236.343	416.742	147.942	-219.001	430.233	145.319	-190.827	465.401	178.466	-215.573	487.06	176.307	-213.908	501.191	168.914	-209.075	517.28	162.272	-202.228	455.363	147.847	-148.42	471.768	172.748	-183.131	508.797	165.163	-185.279	471.63	160.832	-123.473	518.472	159.629	-136.516	574.443	64.53	88.087	612.725	114.423	71.016
94	0.62	406.004	150.073	-235.429	452.273	170.55	-295.152	478.243	179.695	-302.41	494.275	177.878	-292.86	525.205	167.958	-271.232	454.157	171.006	-280.495	479.696	176.677	-287.043	499.572	174.836	-277.327	525.41	166.245	-254.696	457.263	174.331	-256.781	479.524	175.363	-258.521	501.975	171.067	-249.718	525.448	165.445	-236.369	416.767	148.47	-218.823	430.254	145.622	-190.76	465.532	178.549	-215.583	487.184	176.375	-213.934	501.311	168.969	-209.084	517.394	162.327	-202.234	455.452	147.958	-148.456	471.883	172.835	-183.145	508.906	165.227	-185.283	471.721	160.877	-123.495	518.586	159.661	-136.535	574.473	64.55	88.08	612.774	114.443	70.996
95	0.62667	405.812	150.806	-235.004	452.405	170.746	-295.156	478.34	179.778	-302.418	494.382	177.949	-292.862	525.317	168.003	-271.237	454.285	171.155	-280.49	479.805	176.753	-287.06	499.692	174.938	-277.335	525.532	166.304	-254.722	457.404	174.488	-256.778	479.632	175.487	-258.558	502.09	171.155	-249.727	525.552	165.504	-236.37	416.783	148.99	-218.607	430.311	145.943	-190.727	465.645	178.643	-215.583	487.326	176.472	-213.934	501.427	169.041	-209.088	517.497	162.388	-202.24	455.557	148.039	-148.476	471.992	172.916	-183.143	509.005	165.278	-185.283	471.816	160.924	-123.513	518.685	159.697	-136.546	574.515	64.568	88.064	612.814	114.48	71.003
96	0.63333	405.653	151.543	-234.573	452.542	170.964	-295.153	478.437	179.865	-302.427	494.486	178.054	-292.864	525.42	168.062	-271.237	454.404	171.34	-280.485	479.908	176.846	-287.068	499.779	175.048	-277.324	525.641	166.382	-254.732	457.514	174.642	-256.756	479.725	175.579	-258.549	502.173	171.255	-249.733	525.646	165.564	-236.371	416.794	149.467	-218.4	430.346	146.245	-190.658	465.759	178.738	-215.58	487.421	176.546	-213.924	501.525	169.113	-209.082	517.598	162.45	-202.237	455.651	148.113	-148.486	472.089	172.991	-183.14	509.097	165.335	-185.292	471.908	160.968	-123.533	518.792	159.747	-136.563	574.549	64.595	88.057	612.849	114.486	71.019
97	0.64	405.497	152.26	-234.155	452.641	171.191	-295.177	478.515	179.944	-302.469	494.577	178.177	-292.867	525.523	168.135	-271.242	454.514	171.579	-280.482	480.003	176.931	-287.072	499.856	175.166	-277.323	525.757	166.469	-254.744	457.614	174.795	-256.744	479.822	175.692	-258.561	502.268	171.348	-249.741	525.736	165.637	-236.368	416.842	149.966	-218.222	430.387	146.517	-190.605	465.854	178.832	-215.567	487.532	176.626	-213.905	501.638	169.191	-209.076	517.698	162.535	-202.248	455.754	148.214	-148.496	472.194	173.066	-183.141	509.202	165.415	-185.303	472.001	161.02	-123.544	518.899	159.808	-136.581	574.595	64.616	88.058	612.896	114.506	71.008
98	0.64667	405.391	152.912	-233.735	452.74	171.408	-295.164	478.681	180.051	-302.525	494.754	178.29	-292.947	525.616	168.218	-271.229	454.603	171.765	-280.481	480.107	177.027	-287.08	499.943	175.293	-277.32	525.857	166.563	-254.742	457.707	174.954	-256.733	479.92	175.804	-258.567	502.358	171.454	-249.751	525.85	165.735	-236.373	416.877	150.429	-218.044	430.419	146.799	-190.551	465.95	178.913	-215.556	487.629	176.704	-213.879	501.729	169.257	-209.066	517.811	162.643	-202.257	455.842	148.308	-148.498	472.279	173.144	-183.129	509.291	165.491	-185.292	472.09	161.077	-123.553	518.98	159.854	-136.575	574.651	64.637	88.054	612.954	114.534	71.007
99	0.65333	405.261	153.561	-233.333	452.802	171.615	-295.144	478.725	180.171	-302.485	494.76	178.372	-292.871	525.724	168.336	-271.235	454.67	171.968	-280.472	480.207	177.128	-287.07	500.037	175.399	-277.317	525.949	166.659	-254.739	457.795	175.161	-256.722	480.019	175.922	-258.574	502.454	171.545	-249.739	525.951	165.829	-236.362	416.919	150.868	-217.857	430.459	147.063	-190.51	466.055	179.002	-215.538	487.721	176.808	-213.878	501.806	169.331	-209.062	517.911	162.725	-202.252	455.934	148.373	-148.495	472.365	173.213	-183.124	509.373	165.566	-185.286	472.166	161.13	-123.553	519.062	159.904	-136.58	574.689	64.656	88.054	612.986	114.544	71.029
