Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ
148	0.98	424.665	61.289	-209.711	470.576	75.892	-290.927	495.782	79.092	-303.257	521.789	71.71	-290.073	555.523	65.779	-262.255	470.447	83.791	-275.687	500.104	85.047	-285.552	522.235	78.01	-272.646	557.526	68.602	-246.685	474.382	93.026	-250.868	502.177	94.366	-254.397	528.882	87.228	-245.806	554.335	75.446	-230.666	432.025	63.713	-197.807	446.835	71.986	-168.991	483.319	104.25	-204.861	507.692	104.359	-203.334	528.679	95.716	-197.471	544.439	89.421	-192.462	468.084	71.945	-137.691	492.638	102.356	-164.406	536.67	94.273	-169.605	494.391	99.095	-116.053	549.257	93.732	-129.991	639.229	86.514	112.207
149	0.98667	424.695	61.275	-209.728	470.602	75.888	-290.936	495.813	79.109	-303.27	521.821	71.724	-290.088	555.56	65.805	-262.267	470.479	83.781	-275.695	500.13	85.058	-285.564	522.269	78.018	-272.662	557.563	68.621	-246.693	474.401	93.021	-250.883	502.214	94.363	-254.392	528.908	87.237	-245.818	554.371	75.466	-230.681	432.06	63.705	-197.823	446.864	71.977	-169.003	483.336	104.252	-204.879	507.709	104.368	-203.343	528.697	95.725	-197.479	544.468	89.444	-192.484	468.112	71.936	-137.699	492.656	102.359	-164.415	536.685	94.282	-169.62	494.428	99.152	-116.072	549.275	93.752	-129.998	639.225	86.54	112.204
150	0.99333	424.72	61.257	-209.738	470.629	75.89	-290.948	495.838	79.121	-303.284	521.858	71.728	-290.091	555.598	65.825	-262.282	470.503	83.79	-275.712	500.16	85.061	-285.564	522.302	78.035	-272.676	557.598	68.642	-246.701	474.418	93.026	-250.9	502.235	94.375	-254.404	528.937	87.252	-245.838	554.392	75.477	-230.685	432.077	63.691	-197.835	446.891	71.97	-169.019	483.357	104.252	-204.888	507.729	104.379	-203.358	528.718	95.737	-197.495	544.493	89.461	-192.491	468.129	71.939	-137.715	492.672	102.365	-164.422	536.71	94.294	-169.624	494.425	99.106	-116.077	549.289	93.771	-130.005	639.234	86.572	112.192
151	1	424.745	61.252	-209.756	470.651	75.9	-290.957	495.868	79.127	-303.289	521.879	71.736	-290.102	555.632	65.846	-262.284	470.534	83.8	-275.726	500.189	85.059	-285.581	522.32	78.045	-272.691	557.625	68.664	-246.708	474.447	93.025	-250.906	502.261	94.379	-254.406	528.957	87.26	-245.839	554.429	75.497	-230.693	432.115	63.683	-197.84	446.917	71.966	-169.034	483.374	104.253	-204.903	507.748	104.374	-203.364	528.742	95.757	-197.505	544.511	89.479	-192.501	468.145	71.95	-137.73	492.691	102.366	-164.428	536.729	94.308	-169.63	494.443	99.116	-116.092	549.305	93.789	-130.012	639.279	86.595	112.23
152	1.00667	424.769	61.249	-209.774	470.678	75.917	-290.971	495.897	79.148	-303.309	521.91	71.747	-290.11	555.66	65.869	-262.288	470.554	83.811	-275.733	500.207	85.073	-285.583	522.349	78.051	-272.693	557.654	68.681	-246.709	474.465	93.031	-250.917	502.263	94.403	-254.433	528.982	87.281	-245.857	554.447	75.519	-230.694	432.138	63.678	-197.852	446.938	71.963	-169.045	483.389	104.263	-204.91	507.761	104.398	-203.373	528.766	95.774	-197.513	544.531	89.494	-192.508	468.168	71.955	-137.737	492.707	102.378	-164.437	536.745	94.328	-169.634	494.448	99.131	-116.099	549.32	93.805	-130.014	639.23	86.624	112.191
153	1.01333	424.797	61.242	-209.787	470.692	75.933	-290.982	495.922	79.156	-303.316	521.935	71.762	-290.123	555.682	65.894	-262.295	470.587	83.836	-275.749	500.235	85.081	-285.597	522.368	78.066	-272.695	557.681	68.705	-246.719	474.479	93.043	-250.921	502.286	94.412	-254.427	528.994	87.291	-245.855	554.466	75.538	-230.7	432.157	63.678	-197.872	446.954	71.971	-169.055	483.405	104.27	-204.916	507.777	104.41	-203.385	528.779	95.789	-197.526	544.552	89.518	-192.518	468.182	71.964	-137.752	492.722	102.384	-164.445	536.761	94.341	-169.645	494.485	99.204	-116.12	549.334	93.826	-130.02	639.259	86.671	112.221
154	1.02	424.82	61.25	-209.799	470.712	75.945	-290.988	495.942	79.167	-303.325	521.966	71.781	-290.134	555.711	65.921	-262.298	470.614	83.843	-275.761	500.253	85.099	-285.601	522.397	78.084	-272.711	557.697	68.722	-246.717	474.515	93.079	-250.952	502.301	94.429	-254.439	529.021	87.313	-245.876	554.495	75.56	-230.709	432.177	63.689	-197.891	446.968	71.983	-169.075	483.415	104.284	-204.929	507.799	104.43	-203.391	528.801	95.82	-197.534	544.573	89.54	-192.521	468.199	71.981	-137.764	492.731	102.402	-164.453	536.769	94.362	-169.639	494.483	99.167	-116.116	549.34	93.848	-130.036	639.25	86.692	112.22
155	1.02667	424.845	61.25	-209.82	470.735	75.963	-290.995	495.962	79.191	-303.335	521.989	71.8	-290.136	555.737	65.945	-262.301	470.629	83.874	-275.778	500.266	85.113	-285.611	522.416	78.104	-272.718	557.738	68.764	-246.733	474.533	93.104	-250.966	502.314	94.443	-254.445	529.04	87.342	-245.878	554.512	75.586	-230.715	432.198	63.695	-197.909	446.986	71.994	-169.084	483.432	104.302	-204.944	507.805	104.45	-203.397	528.812	95.84	-197.536	544.592	89.571	-192.531	468.215	71.991	-137.772	492.746	102.42	-164.465	536.784	94.391	-169.647	494.493	99.194	-116.129	549.376	93.903	-130.051	639.257	86.715	112.218
156	1.03333	424.865	61.257	-209.831	470.764	75.994	-291.009	495.982	79.215	-303.345	522.019	71.819	-290.144	555.764	65.968	-262.302	470.664	83.907	-275.795	500.269	85.131	-285.607	522.443	78.126	-272.722	557.755	68.792	-246.738	474.556	93.141	-250.988	502.327	94.461	-254.442	529.058	87.37	-245.884	554.53	75.612	-230.72	432.228	63.701	-197.911	446.996	72.005	-169.098	483.444	104.314	-204.95	507.812	104.476	-203.41	528.824	95.871	-197.546	544.606	89.599	-192.532	468.223	72.021	-137.784	492.753	102.451	-164.47	536.8	94.421	-169.649	494.5	99.206	-116.123	549.358	94.045	-130.229	639.238	86.709	112.2
157	1.04	424.89	61.265	-209.843	470.79	76.025	-291.022	495.98	79.237	-303.352	522.048	71.861	-290.169	555.791	65.996	-262.305	470.68	83.929	-275.806	500.269	85.157	-285.619	522.459	78.147	-272.726	557.776	68.832	-246.745	474.578	93.169	-251.004	502.331	94.478	-254.45	529.083	87.393	-245.887	554.545	75.627	-230.724	432.238	63.723	-197.932	447.002	72.023	-169.11	483.451	104.339	-204.96	507.827	104.521	-203.418	528.842	95.91	-197.564	544.621	89.628	-192.534	468.236	72.043	-137.787	492.761	102.472	-164.476	536.81	94.444	-169.651	494.514	99.234	-116.132	549.376	94.073	-130.239	639.24	86.726	112.197
