Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
1	0	416.185	109.019	-225.626	452.717	126.368	-297.076	469.365	127.069	-303.609	506.727	129.619	-291.473	535.707	128.699	-262.166	456.103	129.256	-279.466	473.554	126.747	-287.738	507.488	130.03	-275.447	534.742	129.804	-245.359	458.832	133.715	-252.762	478.905	132.676	-255.913	507.331	136.599	-244.116	535.095	132.114	-224.58	424.956	111.685	-206.571	437.697	115.992	-176.039	467.22	137.954	-210.009	490.346	141.455	-207.179	510.368	133.365	-201.798	525.974	126.717	-191.398	451.506	122.33	-147.159	481.384	143.542	-163.255	518.66	132.876	-164.782	477	143.848	-105.65	527.534	136.156	-115.068	553.476	39.079	136.309	612.447	84.446	110.274
2	0.00667	416.051	108.655	-225.916	452.578	125.955	-297.36	469.216	126.637	-303.906	506.576	129.196	-291.767	535.564	128.291	-262.478	455.955	128.87	-279.769	473.41	126.326	-288.027	507.313	129.604	-275.732	534.606	129.406	-245.657	458.696	133.342	-253.074	478.744	132.281	-256.223	507.16	136.202	-244.412	534.949	131.774	-224.895	424.817	111.325	-206.887	437.545	115.653	-176.335	467.065	137.611	-210.317	490.193	141.135	-207.471	510.267	133.373	-201.927	525.826	126.404	-191.737	451.344	121.982	-147.459	481.214	143.212	-163.565	518.511	132.547	-165.045	476.847	143.547	-105.955	527.394	135.833	-115.349	553.311	38.925	136.025	612.336	84.243	109.975
3	0.01333	415.921	108.261	-226.238	452.435	125.526	-297.67	469.03	126.219	-304.195	506.382	128.711	-292.085	535.426	127.876	-262.801	455.782	128.479	-280.082	473.222	125.911	-288.336	507.139	129.153	-276.047	534.46	129.015	-245.995	458.53	132.947	-253.377	478.579	131.894	-256.533	506.996	135.793	-244.733	534.808	131.372	-225.208	424.668	110.94	-207.199	437.396	115.267	-176.636	466.914	137.256	-210.632	490.018	140.766	-207.804	510.051	132.683	-202.394	525.686	126.053	-192.051	451.2	121.639	-147.78	481.056	142.87	-163.87	518.36	132.201	-165.368	476.681	143.219	-106.254	527.241	135.514	-115.683	553.179	38.748	135.76	612.211	84.043	109.675
4	0.02	415.886	107.237	-226.796	452.263	125.094	-297.997	468.905	126.005	-304.663	506.19	128.249	-292.423	535.272	127.431	-263.128	455.627	128.045	-280.394	473.061	125.664	-288.903	506.959	128.725	-276.397	534.316	128.586	-246.336	458.264	132.535	-253.759	478.45	131.67	-256.854	506.721	135.46	-245.019	534.661	130.977	-225.545	424.537	110.534	-207.522	437.271	114.903	-176.986	466.728	136.891	-210.971	489.618	140.471	-208	509.767	132.844	-202.322	524.903	124.812	-192.249	451.031	121.281	-148.087	480.906	142.57	-164.208	518.202	131.888	-165.688	476.609	142.968	-106.507	527.077	135.2	-116.022	553.052	38.593	135.495	612.097	83.928	109.58
5	0.02667	415.717	106.747	-227.191	452.079	124.683	-298.33	468.719	125.625	-305.014	506.011	127.724	-292.788	535.14	126.962	-263.525	455.438	127.634	-280.75	472.926	125.243	-289.284	506.765	128.235	-276.774	534.143	128.146	-246.709	458.142	132.106	-254.112	478.278	131.274	-257.193	506.543	135.023	-245.38	534.535	130.565	-225.935	424.339	110.091	-207.887	437.066	114.48	-177.367	466.557	136.494	-211.311	489.441	140.096	-208.37	509.702	132.522	-202.716	524.79	124.465	-192.617	450.832	120.881	-148.49	480.725	142.191	-164.566	518.064	131.535	-166.042	476.449	142.643	-106.912	526.971	134.856	-116.404	552.462	38.771	135.123	611.435	83.321	109.37
6	0.03333	415.631	106.31	-227.517	451.946	124.344	-298.634	468.543	125.172	-305.348	505.812	127.284	-293.12	534.965	126.52	-263.865	455.302	127.277	-281.066	472.701	124.87	-289.613	506.578	127.802	-277.099	533.959	127.722	-247.006	457.991	131.757	-254.451	478.103	130.906	-257.515	506.359	134.605	-245.724	534.357	130.186	-226.246	424.243	109.71	-208.234	436.96	114.132	-177.699	466.435	136.126	-211.619	489.304	139.722	-208.689	509.436	132.076	-202.95	524.615	124.117	-192.951	450.705	120.516	-148.827	480.545	141.85	-164.931	517.843	131.169	-166.421	476.259	142.319	-107.283	526.77	134.554	-116.798	553.101	38.044	135.452	611.52	83.451	109.248
7	0.04	415.537	105.904	-227.896	451.767	123.983	-299.017	468.366	124.829	-305.697	505.62	126.81	-293.486	534.837	126.085	-264.212	455.186	126.949	-281.426	472.555	124.506	-289.973	506.376	127.333	-277.445	533.873	127.303	-247.39	457.851	131.438	-254.809	477.953	130.579	-257.883	506.154	134.161	-246.114	534.226	129.777	-226.611	424.136	109.267	-208.616	436.814	113.754	-178.085	466.287	135.766	-211.971	489.152	139.368	-209.033	509.28	131.731	-203.319	524.457	123.767	-193.319	450.564	120.196	-149.169	480.394	141.495	-165.302	517.726	130.801	-166.721	476.086	141.987	-107.651	526.614	134.243	-117.155	552.954	37.847	135.224	611.338	83.231	108.933
8	0.04667	415.405	105.489	-228.283	451.659	123.673	-299.378	468.186	124.454	-306.035	505.458	126.414	-293.844	534.696	125.64	-264.589	455.047	126.627	-281.79	472.391	124.156	-290.322	506.222	126.935	-277.816	533.708	126.892	-247.75	457.692	131.118	-255.166	477.796	130.224	-258.234	506.03	133.826	-246.489	534.076	129.4	-226.989	424.043	108.898	-208.975	436.685	113.387	-178.453	466.133	135.411	-212.34	489.007	139.048	-209.415	509.154	131.372	-203.691	524.315	123.418	-193.68	450.423	119.844	-149.558	480.232	141.19	-165.675	517.569	130.459	-167.105	475.936	141.686	-108.035	526.435	133.886	-117.523	552.807	37.7	134.961	611.173	83.083	108.614
9	0.05333	415.322	105.14	-228.683	451.508	123.344	-299.724	468.058	124.153	-306.413	505.297	126.029	-294.221	534.583	125.207	-264.97	454.903	126.296	-282.136	472.246	123.833	-290.679	506.057	126.549	-278.186	533.576	126.455	-248.124	457.562	130.79	-255.55	477.653	129.875	-258.604	505.88	133.467	-246.859	533.956	128.984	-227.365	423.942	108.551	-209.384	436.577	113.053	-178.86	465.999	135.092	-212.689	488.877	138.716	-209.782	508.988	131.041	-204.028	524.17	123.087	-194.044	450.251	119.497	-149.949	480.097	140.875	-166.039	517.409	130.122	-167.475	475.805	141.412	-108.428	526.299	133.579	-117.922	552.61	37.556	134.661	610.968	82.906	108.284
10	0.06	415.222	104.831	-229.104	451.392	123.027	-300.127	467.939	123.838	-306.801	505.167	125.689	-294.603	534.457	124.758	-265.357	454.821	125.996	-282.535	472.111	123.527	-291.08	505.939	126.233	-278.562	533.468	126.042	-248.525	457.444	130.493	-255.926	477.516	129.595	-258.976	505.741	133.113	-247.217	533.832	128.604	-227.738	423.823	108.22	-209.793	436.416	112.771	-179.251	465.877	134.799	-213.068	488.767	138.425	-210.159	508.879	130.719	-204.424	523.947	122.722	-194.495	450.13	119.248	-150.343	479.971	140.586	-166.424	517.255	129.843	-167.873	475.622	141.117	-108.813	526.144	133.272	-118.309	552.414	37.414	134.362	610.757	82.702	107.944
11	0.06667	415.095	104.557	-229.512	451.318	122.783	-300.54	467.793	123.553	-307.166	505.038	125.33	-294.965	534.334	124.371	-265.766	454.686	125.7	-282.932	472.018	123.235	-291.456	505.829	125.876	-278.95	533.35	125.656	-248.922	457.319	130.181	-256.31	477.406	129.277	-259.357	505.644	132.838	-247.629	533.719	128.253	-228.179	423.707	107.997	-210.188	436.3	112.496	-179.665	465.747	134.523	-213.483	488.638	138.135	-210.559	508.745	130.426	-204.797	523.798	122.428	-194.84	449.986	118.97	-150.721	479.828	140.301	-166.827	517.141	129.543	-168.282	475.468	140.844	-109.226	525.98	132.993	-118.672	552.201	37.244	134.072	610.541	82.54	107.605
12	0.07333	415.005	104.342	-229.936	451.204	122.461	-300.893	467.72	123.274	-307.565	504.938	125.016	-295.358	534.264	123.967	-266.161	454.606	125.427	-283.316	471.917	122.935	-291.824	505.724	125.56	-279.316	533.25	125.317	-249.31	457.249	129.935	-256.731	477.294	129.018	-259.746	505.518	132.5	-247.996	533.608	127.922	-228.554	423.608	107.743	-210.615	436.213	112.244	-180.055	465.639	134.256	-213.855	488.525	137.881	-210.946	508.626	130.166	-205.176	523.722	122.137	-195.206	449.832	118.702	-151.155	479.712	140.037	-167.207	517.01	129.259	-168.648	475.343	140.633	-109.637	525.84	132.725	-119.085	551.965	37.121	133.787	610.32	82.373	107.286
13	0.08	414.929	104.147	-230.358	451.158	122.202	-301.334	467.637	122.958	-307.944	504.865	124.678	-295.739	534.184	123.644	-266.513	454.546	125.191	-283.726	471.819	122.656	-292.232	505.636	125.255	-279.715	533.167	124.999	-249.706	457.163	129.716	-257.116	477.203	128.758	-260.125	505.424	132.22	-248.385	533.528	127.633	-228.94	423.52	107.533	-211.044	436.084	112.045	-180.488	465.564	134.028	-214.258	488.445	137.625	-211.335	508.552	129.909	-205.565	523.619	121.899	-195.6	449.718	118.501	-151.54	479.595	139.82	-167.603	516.872	129.045	-168.99	475.163	140.382	-110.027	525.706	132.501	-119.474	551.724	36.993	133.479	610.077	82.152	106.966
14	0.08667	414.852	103.944	-230.767	451.132	121.984	-301.709	467.558	122.689	-308.321	504.771	124.358	-296.087	534.139	123.33	-266.904	454.485	124.941	-284.128	471.78	122.38	-292.594	505.539	124.949	-280.083	533.087	124.721	-250.077	457.114	129.473	-257.512	477.145	128.484	-260.513	505.358	131.973	-248.786	533.468	127.383	-229.334	423.438	107.342	-211.43	435.957	111.871	-180.892	465.456	133.82	-214.666	488.348	137.424	-211.733	508.442	129.697	-205.937	523.514	121.697	-195.931	449.605	118.318	-151.938	479.475	139.61	-168.005	516.77	128.825	-169.395	475.023	140.21	-110.434	525.546	132.267	-119.813	551.437	36.9	133.164	609.846	81.991	106.62
15	0.09333	414.807	103.784	-231.2	451.136	121.773	-302.12	467.557	122.427	-308.705	504.734	124.103	-296.459	534.078	123.033	-267.256	454.527	124.736	-284.472	471.761	122.112	-292.923	505.476	124.684	-280.457	533.051	124.434	-250.413	457.054	129.248	-257.913	477.058	128.235	-260.885	505.264	131.714	-249.132	533.392	127.128	-229.676	423.371	107.172	-211.871	435.863	111.687	-181.294	465.39	133.656	-215.051	488.256	137.212	-212.106	508.341	129.5	-206.287	523.442	121.473	-196.301	449.465	118.143	-152.353	479.376	139.419	-168.374	516.676	128.633	-169.745	474.887	140.031	-110.799	525.415	132.086	-120.193	551.172	36.763	132.869	609.605	81.831	106.308
16	0.1	414.757	103.614	-231.61	451.14	121.525	-302.504	467.514	122.187	-309.079	504.683	123.817	-296.816	534.052	122.784	-267.599	454.449	124.539	-284.913	471.704	121.869	-293.351	505.427	124.478	-280.814	532.992	124.218	-250.727	457.022	129.088	-258.294	477.038	128.055	-261.272	505.177	131.464	-249.521	533.336	126.903	-230.029	423.278	107.023	-212.261	435.771	111.535	-181.699	465.311	133.469	-215.438	488.2	137.045	-212.463	508.287	129.309	-206.644	523.348	121.285	-196.629	449.358	117.968	-152.711	479.276	139.264	-168.75	516.564	128.477	-170.083	474.724	139.899	-111.197	525.299	131.945	-120.531	550.968	36.599	132.586	609.346	81.627	106.008
17	0.10667	414.713	103.455	-232.007	451.114	121.32	-302.867	467.526	121.924	-309.432	504.642	123.574	-297.17	534.027	122.56	-267.939	454.449	124.343	-285.278	471.708	121.677	-293.711	505.369	124.227	-281.154	532.964	123.992	-251.116	456.981	128.909	-258.665	477.005	127.848	-261.629	505.173	131.294	-249.87	533.286	126.742	-230.376	423.22	106.829	-212.666	435.672	111.368	-182.081	465.241	133.318	-215.814	488.125	136.891	-212.824	508.209	129.154	-206.996	523.266	121.151	-196.957	449.269	117.851	-153.118	479.166	139.114	-169.138	516.44	128.336	-170.426	474.599	139.772	-111.565	525.157	131.793	-120.892	550.737	36.48	132.299	609.12	81.477	105.695
18	0.11333	414.655	103.289	-232.4	451.144	121.128	-303.25	467.555	121.719	-309.801	504.646	123.359	-297.503	534.007	122.34	-268.261	454.411	124.173	-285.661	471.691	121.458	-294.054	505.34	124.017	-281.51	532.939	123.815	-251.429	456.963	128.731	-259.054	476.981	127.666	-261.988	505.096	131.141	-250.202	533.254	126.57	-230.698	423.177	106.714	-213.066	435.605	111.246	-182.476	465.165	133.146	-216.176	488.041	136.756	-213.197	508.122	129.035	-207.34	523.198	121.027	-197.28	449.159	117.734	-153.476	479.072	139.004	-169.484	516.376	128.242	-170.769	474.479	139.662	-111.904	525.002	131.669	-121.201	550.535	36.367	132.032	608.891	81.333	105.385
19	0.12	414.601	103.163	-232.785	451.138	121.009	-303.61	467.537	121.566	-310.133	504.639	123.191	-297.849	533.987	122.169	-268.566	454.396	124.012	-286.017	471.7	121.293	-294.402	505.352	123.843	-281.818	532.94	123.641	-251.752	456.912	128.563	-259.393	476.935	127.475	-262.329	505.042	130.956	-250.528	533.199	126.423	-231.01	423.117	106.585	-213.442	435.534	111.122	-182.84	465.122	133.051	-216.557	487.987	136.624	-213.539	508.048	128.927	-207.665	523.124	120.913	-197.579	449.063	117.638	-153.842	478.98	138.902	-169.838	516.27	128.143	-171.095	474.364	139.602	-112.27	524.886	131.59	-121.527	550.317	36.252	131.769	608.668	81.196	105.103
20	0.12667	414.584	103.049	-233.175	451.133	120.879	-303.953	467.521	121.413	-310.468	504.646	123.018	-298.155	533.994	122.019	-268.864	454.387	123.905	-286.365	471.654	121.13	-294.738	505.333	123.709	-282.145	532.925	123.519	-252.048	456.891	128.465	-259.754	476.912	127.328	-262.664	505.011	130.806	-250.892	533.181	126.299	-231.309	423.066	106.501	-213.826	435.447	111.059	-183.209	465.068	132.941	-216.905	487.928	136.529	-213.874	507.982	128.835	-207.988	523.064	120.827	-197.905	448.954	117.576	-154.205	478.91	138.836	-170.186	516.147	128.058	-171.377	474.245	139.541	-112.597	524.759	131.534	-121.86	550.098	36.141	131.506	608.428	81.038	104.821
21	0.13333	414.561	102.98	-233.537	451.176	120.794	-304.306	467.529	121.283	-310.785	504.635	122.907	-298.46	534.003	121.889	-269.149	454.402	123.806	-286.691	471.652	121.013	-295.037	505.332	123.593	-282.452	532.888	123.375	-252.327	456.853	128.375	-260.104	476.892	127.254	-262.977	504.968	130.705	-251.184	533.144	126.202	-231.613	423.007	106.422	-214.205	435.354	110.979	-183.572	465.02	132.864	-217.232	487.867	136.451	-214.192	507.92	128.769	-208.298	523.011	120.747	-198.188	448.849	117.519	-154.545	478.801	138.785	-170.518	516.048	128.012	-171.685	474.101	139.5	-112.908	524.625	131.497	-122.145	549.938	36.019	131.279	608.215	80.941	104.523
22	0.14	414.519	102.91	-233.911	451.176	120.701	-304.641	467.523	121.204	-311.079	504.625	122.78	-298.767	534.025	121.763	-269.419	454.403	123.737	-287.039	471.655	120.942	-295.37	505.274	123.46	-282.732	532.887	123.247	-252.597	456.848	128.309	-260.404	476.848	127.148	-263.285	504.933	130.626	-251.479	533.097	126.116	-231.885	422.951	106.382	-214.54	435.273	110.936	-183.916	464.941	132.807	-217.552	487.789	136.412	-214.513	507.834	128.723	-208.566	522.919	120.715	-198.451	448.685	117.502	-154.91	478.688	138.745	-170.831	515.967	127.975	-171.959	473.934	139.478	-113.215	524.489	131.491	-122.42	549.785	35.919	131.045	608.012	80.854	104.248
23	0.14667	414.486	102.852	-234.221	451.175	120.64	-304.927	467.531	121.159	-311.375	504.592	122.711	-299.035	534.03	121.673	-269.655	454.407	123.678	-287.334	471.642	120.901	-295.641	505.243	123.383	-282.995	532.906	123.182	-252.846	456.808	128.276	-260.739	476.813	127.101	-263.558	504.891	130.584	-251.766	533.054	126.083	-232.126	422.862	106.301	-214.876	435.179	110.901	-184.239	464.844	132.763	-217.856	487.719	136.374	-214.802	507.766	128.708	-208.847	522.833	120.715	-198.713	448.566	117.476	-155.192	478.556	138.737	-171.116	515.863	127.955	-172.219	473.769	139.492	-113.53	524.334	131.488	-122.675	549.649	35.846	130.838	607.809	80.78	104
24	0.15333	414.406	102.824	-234.542	451.17	120.603	-305.224	467.519	121.156	-311.667	504.571	122.708	-299.258	534.016	121.64	-269.872	454.378	123.651	-287.614	471.604	120.888	-295.895	505.208	123.363	-283.251	532.858	123.181	-253.078	456.78	128.245	-261.013	476.746	127.103	-263.829	504.835	130.57	-252.032	533.002	126.075	-232.355	422.789	106.301	-215.2	435.099	110.881	-184.533	464.74	132.76	-218.115	487.629	136.36	-215.058	507.672	128.703	-209.094	522.729	120.727	-198.938	448.456	117.467	-155.48	478.422	138.735	-171.387	515.727	127.994	-172.461	473.641	139.495	-113.784	524.193	131.506	-122.933	549.561	35.769	130.645	607.627	80.728	103.739
25	0.16	414.323	102.866	-234.821	451.158	120.607	-305.537	467.457	121.188	-311.914	504.537	122.721	-299.505	533.995	121.685	-270.076	454.338	123.652	-287.875	471.556	120.902	-296.149	505.167	123.405	-283.482	532.798	123.233	-253.288	456.692	128.249	-261.269	476.687	127.107	-264.083	504.757	130.589	-252.256	532.946	126.116	-232.573	422.696	106.332	-215.46	434.944	110.913	-184.808	464.641	132.763	-218.372	487.516	136.395	-215.3	507.575	128.738	-209.336	522.609	120.774	-199.175	448.322	117.471	-155.756	478.3	138.772	-171.63	515.583	128.04	-172.677	473.461	139.475	-114.027	524.037	131.528	-123.172	549.45	35.717	130.435	607.459	80.689	103.484
26	0.16667	414.2	102.94	-235.057	451.07	120.652	-305.764	467.373	121.228	-312.13	504.45	122.794	-299.734	533.949	121.782	-270.294	454.273	123.696	-288.128	471.484	120.957	-296.39	505.09	123.456	-283.707	532.747	123.327	-253.483	456.602	128.31	-261.514	476.591	127.139	-264.321	504.651	130.635	-252.467	532.867	126.179	-232.776	422.589	106.373	-215.685	434.824	110.962	-185.061	464.544	132.822	-218.625	487.384	136.452	-215.517	507.446	128.798	-209.544	522.495	120.86	-199.4	448.179	117.522	-155.982	478.156	138.789	-171.865	515.432	128.11	-172.915	473.306	139.505	-114.245	523.895	131.568	-123.38	549.336	35.665	130.234	607.293	80.657	103.231
