Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
153	1.01333	411.33	103.851	-180.084	455.173	113.01	-279.182	484.069	111.009	-296.25	515.206	117.29	-287.287	559.612	111.489	-254.608	458.378	113.622	-266.407	488.865	110.965	-279.328	516.276	114.923	-270.368	556.001	108.186	-240.364	466.66	118.12	-241.849	492.518	115.369	-251.528	518.15	115.689	-242.973	549.729	107.453	-223.42	428.919	99.465	-169.05	452.828	101.905	-150.374	480.79	119.473	-200.398	505.605	122.317	-200.752	524.227	117.677	-196.744	544.919	112.739	-193.624	476.997	105.598	-131.404	490.722	122.251	-162.396	536.506	119.295	-159.1	495.007	123.717	-108.695	545.052	125.288	-125.796	602.844	68.787	132.759	631.987	132.578	120.563
154	1.02	411.33	103.917	-180.044	455.144	113.071	-279.15	483.886	111.08	-296.197	515.179	117.354	-287.273	559.698	111.593	-254.59	458.349	113.695	-266.381	488.722	111.014	-279.279	516.245	114.978	-270.356	556.041	108.254	-240.34	466.651	118.18	-241.827	492.422	115.404	-251.49	518.14	115.728	-242.961	549.76	107.522	-223.406	428.922	99.516	-169.015	452.85	101.942	-150.351	480.796	119.52	-200.383	505.626	122.348	-200.772	524.271	117.72	-196.772	544.917	112.759	-193.629	477.022	105.624	-131.389	490.747	122.282	-162.384	536.524	119.312	-159.09	495.036	123.741	-108.683	545.081	125.301	-125.789	602.886	68.773	132.759	632.023	132.567	120.564
155	1.02667	411.327	103.967	-179.996	455.11	113.148	-279.127	483.699	111.134	-296.144	515.132	117.431	-287.265	559.753	111.658	-254.573	458.307	113.767	-266.349	488.555	111.067	-279.232	516.206	115.038	-270.35	556.09	108.32	-240.323	466.631	118.254	-241.812	492.326	115.445	-251.455	518.12	115.772	-242.954	549.798	107.586	-223.402	428.925	99.586	-168.996	452.865	101.983	-150.323	480.801	119.553	-200.355	505.591	122.38	-200.732	524.225	117.735	-196.736	544.92	112.783	-193.625	477.038	105.656	-131.37	490.763	122.323	-162.365	536.536	119.324	-159.083	495.067	123.757	-108.669	545.105	125.302	-125.797	602.928	68.781	132.772	632.066	132.565	120.563
156	1.03333	411.32	104.043	-179.951	455.072	113.22	-279.088	483.525	111.205	-296.107	515.09	117.505	-287.246	559.8	111.72	-254.548	458.283	113.841	-266.317	488.336	111.13	-279.147	516.165	115.098	-270.337	556.131	108.382	-240.322	466.623	118.314	-241.789	492.22	115.488	-251.418	518.097	115.817	-242.942	549.82	107.64	-223.391	428.916	99.638	-168.949	452.877	102.028	-150.291	480.807	119.608	-200.35	505.59	122.41	-200.724	524.229	117.763	-196.735	544.91	112.808	-193.62	477.062	105.676	-131.354	490.767	122.351	-162.351	536.544	119.342	-159.086	495.089	123.777	-108.661	545.127	125.309	-125.787	602.985	68.752	132.754	632.092	132.553	120.572
157	1.04	411.32	104.098	-179.925	455.049	113.293	-279.059	483.327	111.277	-296.057	515.049	117.614	-287.24	559.858	111.755	-254.536	458.258	113.91	-266.289	488.171	111.198	-279.098	516.124	115.17	-270.329	556.159	108.43	-240.319	466.61	118.376	-241.767	492.106	115.538	-251.365	518.087	115.882	-242.921	549.848	107.692	-223.383	428.911	99.704	-168.905	452.885	102.06	-150.263	480.812	119.655	-200.328	505.581	122.442	-200.711	524.223	117.794	-196.736	544.901	112.838	-193.621	477.073	105.703	-131.338	490.781	122.381	-162.335	536.556	119.359	-159.078	495.11	123.789	-108.65	545.149	125.319	-125.79	603.036	68.762	132.748	632.125	132.534	120.557
158	1.04667	411.311	104.136	-179.889	455.013	113.376	-279.038	483.109	111.369	-295.997	515.02	117.692	-287.223	559.895	111.772	-254.548	458.237	113.977	-266.263	487.986	111.275	-279.043	516.108	115.25	-270.317	556.192	108.456	-240.317	466.603	118.44	-241.741	491.993	115.596	-251.317	518.064	115.948	-242.909	549.864	107.734	-223.375	428.9	99.751	-168.876	452.897	102.087	-150.239	480.817	119.708	-200.305	505.573	122.467	-200.692	524.218	117.826	-196.734	544.895	112.865	-193.627	477.099	105.729	-131.319	490.796	122.409	-162.319	536.567	119.378	-159.069	495.124	123.802	-108.637	545.175	125.321	-125.781	603.08	68.74	132.749	632.163	132.533	120.559
159	1.05333	411.301	104.186	-179.855	454.981	113.456	-279.019	482.896	111.506	-295.939	515	117.776	-287.207	559.924	111.764	-254.563	458.219	114.04	-266.244	487.793	111.368	-279.001	516.088	115.329	-270.304	556.215	108.475	-240.331	466.59	118.497	-241.723	491.871	115.678	-251.268	518.04	116.011	-242.894	549.875	107.754	-223.383	428.904	99.785	-168.841	452.901	102.121	-150.224	480.818	119.754	-200.281	505.562	122.502	-200.671	524.211	117.873	-196.747	544.892	112.895	-193.62	477.111	105.748	-131.306	490.8	122.45	-162.324	536.578	119.398	-159.071	495.14	123.824	-108.629	545.19	125.345	-125.782	603.1	68.733	132.754	632.189	132.527	120.557
160	1.06	411.303	104.216	-179.833	454.954	113.524	-279.001	482.64	111.651	-295.863	514.988	117.872	-287.196	559.984	111.743	-254.571	458.2	114.103	-266.226	487.605	111.473	-278.941	516.082	115.427	-270.299	556.268	108.468	-240.331	466.586	118.554	-241.708	491.723	115.766	-251.22	518.035	116.078	-242.878	549.92	107.766	-223.38	428.907	99.815	-168.825	452.912	102.144	-150.206	480.816	119.795	-200.269	505.564	122.55	-200.666	524.213	117.909	-196.744	544.9	112.917	-193.614	477.124	105.758	-131.296	490.824	122.481	-162.299	536.585	119.418	-159.064	495.157	123.837	-108.615	545.199	125.335	-125.775	603.127	68.711	132.749	632.225	132.519	120.558
161	1.06667	411.296	104.248	-179.817	454.924	113.609	-278.982	482.401	111.761	-295.8	514.981	117.975	-287.182	560.104	111.652	-254.585	458.179	114.185	-266.217	487.381	111.581	-278.889	516.079	115.513	-270.288	556.339	108.447	-240.349	466.572	118.61	-241.692	491.573	115.839	-251.174	518.036	116.154	-242.868	549.987	107.769	-223.381	428.912	99.848	-168.799	452.915	102.155	-150.192	480.812	119.839	-200.252	505.556	122.593	-200.643	524.219	117.956	-196.738	544.906	112.94	-193.616	477.145	105.777	-131.294	490.831	122.502	-162.296	536.599	119.44	-159.057	495.172	123.853	-108.613	545.213	125.366	-125.776	603.153	68.692	132.751	632.241	132.497	120.562
162	1.07333	411.305	104.274	-179.808	454.901	113.693	-278.96	482.113	111.888	-295.723	514.974	118.088	-287.187	560.276	111.536	-254.612	458.17	114.264	-266.206	487.17	111.683	-278.821	516.089	115.606	-270.291	556.469	108.386	-240.36	466.569	118.663	-241.681	491.438	115.913	-251.123	518.047	116.249	-242.875	550.094	107.755	-223.382	428.923	99.879	-168.794	452.937	102.18	-150.183	480.82	119.879	-200.244	505.547	122.655	-200.635	524.223	118.007	-196.738	544.929	112.98	-193.625	477.159	105.809	-131.286	490.842	122.537	-162.284	536.617	119.462	-159.058	495.186	123.859	-108.612	545.237	125.378	-125.774	603.173	68.679	132.721	632.268	132.483	120.558
