Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
1	0	381.801	176.68	-247.307	423.879	169.812	-360.077	455.596	173.028	-374.888	481.805	168.449	-370.052	510.671	159.988	-348.289	427.389	176.72	-342.742	459.605	175.205	-358.324	486.566	174.092	-350.635	513.913	166.687	-332.747	435.143	188.642	-317.63	463.628	185.587	-328.953	492.713	186.89	-322.857	518.869	177.166	-310.992	398.963	171.537	-239.516	420.808	172.9	-217.951	452.844	196.569	-271.666	477.55	196.177	-273.491	492.681	191.132	-273.144	515.944	185.615	-268.655	455.825	181.984	-194.057	477.652	200.391	-224.659	513.74	191.26	-234.049	490.897	197.353	-171.944	531.001	192.903	-192.475	649.587	58.126	23.64	693.248	113.723	9.093
2	0.00667	381.93	176.631	-247.415	424.044	169.772	-360.168	455.749	173.016	-374.981	481.94	168.434	-370.128	510.807	159.986	-348.369	427.536	176.689	-342.833	459.754	175.177	-358.407	486.703	174.09	-350.719	514.044	166.676	-332.813	435.284	188.625	-317.723	463.769	185.564	-329.035	492.869	186.89	-322.941	518.991	177.167	-311.08	399.095	171.495	-239.623	420.942	172.876	-218.055	452.966	196.575	-271.749	477.686	196.177	-273.569	492.814	191.143	-273.226	516.076	185.627	-268.73	455.94	181.992	-194.146	477.785	200.399	-224.747	513.854	191.274	-234.123	491.015	197.376	-172.026	531.121	192.915	-192.539	649.632	58.129	23.627	693.29	113.722	9.093
3	0.01333	382.059	176.583	-247.514	424.189	169.736	-360.259	455.889	172.968	-375.065	482.064	168.403	-370.216	510.923	159.949	-348.442	427.68	176.669	-342.925	459.878	175.152	-358.488	486.839	174.058	-350.805	514.169	166.644	-332.889	435.416	188.6	-317.812	463.902	185.527	-329.122	492.988	186.863	-323.026	519.117	177.153	-311.158	399.217	171.459	-239.724	421.075	172.861	-218.165	453.108	196.57	-271.843	477.809	196.165	-273.657	492.928	191.139	-273.306	516.191	185.617	-268.812	456.056	182.005	-194.225	477.911	200.403	-224.839	513.971	191.271	-234.203	491.141	197.39	-172.11	531.238	192.918	-192.606	649.685	58.137	23.602	693.339	113.727	9.075
4	0.02	382.13	176.467	-247.56	424.309	169.701	-360.345	456.086	172.933	-375.4	481.902	168.288	-370.273	511.051	159.923	-348.534	427.809	176.637	-343.036	459.475	175.29	-358.947	486.509	173.821	-350.47	514.291	166.608	-332.967	435.51	188.389	-317.651	464.118	185.403	-329.069	493.09	186.766	-323.061	519.245	177.127	-311.243	399.405	171.293	-239.926	421.205	172.841	-218.263	453.281	196.524	-271.871	477.926	196.221	-273.958	493.051	191.113	-273.407	516.3	185.623	-268.902	456.196	181.99	-194.303	478.192	200.417	-224.821	514.102	191.255	-234.281	491.267	197.399	-172.198	531.37	192.931	-192.678	649.736	58.151	23.578	693.382	113.724	9.071
5	0.02667	382.244	176.343	-247.746	424.426	169.677	-360.476	456.206	172.926	-375.54	482.038	168.291	-370.442	511.171	159.902	-348.652	427.902	176.589	-343.151	459.612	175.284	-359.056	486.61	173.78	-350.56	514.393	166.586	-333.078	435.642	188.378	-317.796	464.235	185.411	-329.21	493.264	186.751	-323.199	519.373	177.107	-311.327	399.527	171.224	-240.053	421.336	172.805	-218.407	453.412	196.543	-272.027	478.076	196.226	-274.135	493.219	191.22	-273.567	516.461	185.669	-269.065	456.337	181.956	-194.463	478.308	200.444	-224.939	514.222	191.25	-234.425	491.372	197.407	-172.328	531.558	193.027	-192.853	649.879	58.469	23.493	693.447	113.725	9.039
6	0.03333	382.403	176.343	-247.794	424.567	169.615	-360.539	456.335	172.882	-375.601	482.157	168.063	-370.338	511.281	159.857	-348.74	428.021	176.516	-343.217	459.718	175.204	-359.137	486.747	173.715	-350.661	514.517	166.535	-333.172	435.792	188.347	-317.848	464.355	185.365	-329.3	493.385	186.684	-323.274	519.484	177.052	-311.416	399.688	171.217	-240.141	421.49	172.795	-218.458	453.527	196.526	-272.131	478.217	196.166	-274.157	493.287	190.986	-273.562	516.567	185.61	-269.152	456.49	181.981	-194.504	478.443	200.439	-225.031	514.347	191.239	-234.508	491.514	197.431	-172.384	531.665	192.943	-192.885	649.769	58.216	23.674	693.498	113.717	9.015
7	0.04	382.538	176.291	-247.917	424.687	169.571	-360.629	456.474	172.845	-375.696	482.28	167.99	-370.404	511.375	159.784	-348.818	428.144	176.49	-343.319	459.836	175.151	-359.229	486.88	173.662	-350.755	514.63	166.478	-333.264	435.924	188.335	-317.963	464.485	185.323	-329.407	493.5	186.637	-323.366	519.611	176.998	-311.52	399.791	171.197	-240.228	421.626	172.789	-218.567	453.662	196.514	-272.242	478.338	196.136	-274.249	493.406	190.944	-273.661	516.705	185.577	-269.266	456.623	181.982	-194.606	478.581	200.452	-225.128	514.48	191.223	-234.62	491.641	197.45	-172.483	531.789	192.936	-192.971	649.799	58.219	23.669	693.546	113.717	8.995
8	0.04667	382.659	176.259	-248.035	424.814	169.539	-360.719	456.611	172.802	-375.8	482.414	167.925	-370.489	511.479	159.712	-348.898	428.264	176.47	-343.418	459.972	175.119	-359.333	487.009	173.607	-350.847	514.742	166.426	-333.371	436.078	188.307	-318.074	464.609	185.288	-329.503	493.648	186.583	-323.466	519.724	176.955	-311.619	399.929	171.146	-240.352	421.754	172.776	-218.69	453.787	196.505	-272.348	478.468	196.11	-274.355	493.534	190.911	-273.747	516.836	185.533	-269.352	456.755	181.984	-194.723	478.719	200.442	-225.237	514.62	191.21	-234.731	491.764	197.461	-172.588	531.918	192.919	-193.047	649.85	58.197	23.634	693.584	113.714	8.973
9	0.05333	382.772	176.218	-248.142	424.962	169.525	-360.838	456.744	172.752	-375.899	482.554	167.881	-370.604	511.584	159.66	-348.987	428.419	176.458	-343.543	460.109	175.081	-359.44	487.138	173.568	-350.948	514.849	166.375	-333.465	436.223	188.29	-318.188	464.758	185.284	-329.628	493.795	186.549	-323.576	519.837	176.916	-311.723	400.087	171.099	-240.475	421.879	172.767	-218.818	453.908	196.473	-272.451	478.61	196.103	-274.483	493.661	190.88	-273.836	516.96	185.51	-269.447	456.868	181.991	-194.844	478.861	200.461	-225.363	514.752	191.219	-234.863	491.875	197.47	-172.691	532.05	192.929	-193.149	649.853	58.221	23.611	693.624	113.702	8.947
10	0.06	382.904	176.165	-248.268	425.121	169.484	-360.953	456.891	172.723	-376.022	482.688	167.844	-370.713	511.702	159.629	-349.096	428.579	176.421	-343.648	460.25	175.052	-359.547	487.284	173.538	-351.063	514.959	166.34	-333.561	436.37	188.266	-318.295	464.907	185.28	-329.76	493.939	186.524	-323.695	519.96	176.883	-311.827	400.239	171.059	-240.604	422.008	172.749	-218.947	454.048	196.465	-272.565	478.757	196.107	-274.611	493.796	190.866	-273.943	517.097	185.5	-269.559	456.964	182.001	-194.965	479.026	200.497	-225.512	514.894	191.22	-234.985	492.001	197.493	-172.81	532.175	192.936	-193.245	649.897	58.205	23.572	693.663	113.696	8.929
