Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
1	0	419.638	116.825	-228.803	452.782	128.973	-293.642	469.492	134.316	-299.708	502.625	133.4	-286.982	530.754	136.541	-257.595	454.933	134.338	-276.436	472.821	134.45	-283.551	503.36	134.852	-270.969	529.515	137.044	-241	456.086	142.104	-250.171	476.834	141.978	-251.958	503.357	143.468	-240.318	529.835	139.394	-220.537	425.156	119.902	-208.5	433.921	124.294	-175.968	462.532	149.664	-206.492	486.084	152.814	-202.635	505.621	143.626	-196.73	520.308	134.833	-186.363	445.086	130.429	-145.391	475.315	152.753	-158.807	512.437	141.303	-159.247	469.577	150.718	-101.418	519.998	142.29	-110.203	546.602	43.33	142.518	603.877	89.68	115.303
2	0.00667	419.483	117.285	-228.801	452.625	129.517	-293.641	469.337	134.835	-299.706	502.482	133.803	-286.987	530.618	136.93	-257.608	454.782	134.849	-276.418	472.672	134.92	-283.526	503.202	135.249	-270.965	529.397	137.404	-241.02	456.057	142.613	-250.091	476.692	142.409	-251.938	503.222	143.848	-240.306	529.706	139.749	-220.536	424.996	120.361	-208.506	433.731	124.734	-175.968	462.434	150.08	-206.467	485.986	153.203	-202.623	505.493	144.014	-196.76	520.216	135.184	-186.394	444.979	130.801	-145.384	475.223	153.114	-158.777	512.362	141.594	-159.239	469.495	151.031	-101.399	519.925	142.573	-110.187	546.496	43.409	142.433	603.777	89.75	115.265
3	0.01333	419.338	117.762	-228.805	452.481	130.02	-293.643	469.183	135.314	-299.705	502.321	134.252	-286.998	530.454	137.307	-257.618	454.643	135.346	-276.414	472.548	135.397	-283.533	503.047	135.671	-270.97	529.257	137.79	-241.05	455.923	143.093	-250.075	476.568	142.874	-251.933	503.103	144.236	-240.322	529.592	140.106	-220.582	424.855	120.793	-208.505	433.682	125.094	-175.953	462.324	150.51	-206.443	485.881	153.606	-202.595	505.394	144.35	-196.737	520.1	135.508	-186.399	444.867	131.192	-145.375	475.143	153.467	-158.771	512.256	141.938	-159.246	469.429	151.334	-101.381	519.839	142.844	-110.193	546.398	43.495	142.362	603.684	89.821	115.206
4	0.02	419.212	117.742	-229.058	452.176	130.753	-293.703	469.046	135.821	-299.716	502.197	134.682	-287.011	530.344	137.668	-257.631	454.525	135.854	-276.423	472.411	136.123	-283.797	502.92	136.107	-270.995	529.12	138.162	-241.078	455.807	143.564	-250.077	476.561	143.495	-251.776	502.883	144.67	-240.304	529.453	140.478	-220.601	424.735	121.233	-208.519	433.484	125.572	-175.984	462.226	150.921	-206.437	485.618	154.052	-202.534	505.218	144.977	-196.53	519.982	135.839	-186.383	444.764	131.548	-145.386	475.125	153.921	-158.712	512.147	142.284	-159.279	469.406	151.729	-101.313	519.733	143.095	-110.21	546.28	43.582	142.28	603.635	90.048	115.391
5	0.02667	419.02	118.141	-229.112	452.025	131.225	-293.744	468.948	136.283	-299.749	502.067	135.115	-287.065	530.229	138.042	-257.699	454.358	136.307	-276.454	472.316	136.573	-283.836	502.806	136.487	-271.046	529.007	138.495	-241.118	455.709	144.003	-250.104	476.445	143.962	-251.815	502.75	145.066	-240.333	529.361	140.828	-220.643	424.564	121.69	-208.556	433.279	125.985	-176.014	462.13	151.337	-206.468	485.469	154.461	-202.561	505.221	145.409	-196.633	519.899	136.171	-186.409	444.634	131.895	-145.453	475.012	154.251	-158.713	512.051	142.616	-159.331	469.32	152.032	-101.336	519.724	143.397	-110.287	546.355	43.77	142.276	603.058	89.701	115.397
6	0.03333	418.922	118.642	-229.125	451.89	131.724	-293.753	468.791	136.742	-299.779	501.948	135.579	-287.068	530.067	138.41	-257.76	454.287	136.833	-276.46	472.191	137.034	-283.863	502.661	136.936	-271.093	528.855	138.887	-241.138	455.575	144.494	-250.136	476.335	144.368	-251.812	502.634	145.448	-240.371	529.224	141.164	-220.653	424.468	122.133	-208.569	433.278	126.34	-176.026	462.04	151.755	-206.457	485.403	154.804	-202.533	504.973	145.615	-196.504	519.774	136.57	-186.528	444.541	132.248	-145.46	474.872	154.56	-158.675	511.909	142.923	-159.395	469.21	152.316	-101.366	519.586	143.709	-110.33	546.277	43.861	142.207	603.223	90.121	115.519
7	0.04	418.806	119.078	-229.173	451.786	132.198	-293.791	468.687	137.221	-299.818	501.79	136.031	-287.144	529.947	138.755	-257.834	454.166	137.264	-276.5	472.091	137.537	-283.917	502.521	137.382	-271.15	528.753	139.233	-241.202	455.475	144.921	-250.161	476.218	144.812	-251.859	502.533	145.9	-240.401	529.097	141.52	-220.717	424.317	122.591	-208.631	433.026	126.803	-176.085	461.929	152.141	-206.477	485.305	155.182	-202.566	504.875	146.022	-196.56	519.66	136.907	-186.557	444.451	132.598	-145.502	474.807	154.961	-158.766	511.821	143.303	-159.441	469.094	152.629	-101.397	519.504	143.992	-110.379	546.148	43.981	142.076	603.146	90.269	115.462
8	0.04667	418.662	119.518	-229.25	451.643	132.664	-293.865	468.542	137.693	-299.878	501.696	136.512	-287.205	529.809	139.139	-257.918	454.061	137.74	-276.569	471.971	137.959	-283.966	502.397	137.83	-271.211	528.621	139.575	-241.268	455.361	145.355	-250.215	476.111	145.252	-251.919	502.402	146.278	-240.459	529.034	141.858	-220.786	424.225	122.991	-208.686	433.042	127.133	-176.136	461.835	152.55	-206.531	485.213	155.55	-202.599	504.766	146.394	-196.622	519.559	137.209	-186.608	444.339	132.981	-145.559	474.711	155.333	-158.777	511.733	143.603	-159.512	469.021	152.948	-101.451	519.409	144.283	-110.443	546.052	44.086	141.955	603.053	90.378	115.378
9	0.05333	418.576	119.956	-229.319	451.539	133.118	-293.926	468.439	138.158	-299.949	501.556	136.989	-287.287	529.707	139.466	-258.022	453.927	138.174	-276.641	471.816	138.417	-284.048	502.285	138.293	-271.286	528.517	139.922	-241.364	455.241	145.766	-250.279	476.007	145.634	-251.964	502.306	146.696	-240.52	528.913	142.209	-220.885	424.064	123.412	-208.778	432.797	127.581	-176.245	461.752	152.931	-206.597	485.12	155.931	-202.667	504.697	146.741	-196.728	519.444	137.577	-186.707	444.253	133.294	-145.624	474.61	155.621	-158.88	511.616	143.921	-159.599	468.955	153.242	-101.505	519.33	144.551	-110.517	545.925	44.202	141.804	602.971	90.487	115.276
10	0.06	418.445	120.371	-229.44	451.395	133.576	-294.033	468.312	138.638	-300.043	501.425	137.452	-287.39	529.584	139.807	-258.134	453.802	138.601	-276.725	471.732	138.893	-284.159	502.159	138.717	-271.37	528.409	140.259	-241.472	455.169	146.2	-250.371	475.898	146.086	-252.058	502.208	147.113	-240.608	528.794	142.5	-220.979	423.981	123.797	-208.862	432.702	127.945	-176.323	461.651	153.293	-206.651	485.034	156.296	-202.737	504.536	147.052	-196.755	519.356	137.878	-186.788	444.174	133.639	-145.71	474.549	155.948	-158.964	511.54	144.212	-159.681	468.861	153.51	-101.609	519.251	144.819	-110.618	545.826	44.294	141.668	602.878	90.6	115.163
