Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
152	1.00667	427.809	93.481	-181.686	476.046	99.25	-278.482	507.646	97.097	-294.693	537.597	102.144	-284.696	579.877	94.305	-250.292	478.702	100.747	-265.635	511.366	98.355	-277.477	537.653	100.936	-267.595	575.47	92.279	-236.091	485.892	106.888	-240.995	513.605	104.924	-249.479	538.363	103.401	-239.904	568.561	93.148	-219.241	445.203	89.488	-169.378	468.765	91.579	-149.763	498.535	109.793	-198.332	523.898	111.622	-197.53	542.228	105.789	-192.761	562.624	99.827	-188.897	492.281	95.021	-129.63	507.539	111.596	-159.832	552.966	106.512	-154.859	510.397	112.667	-106.14	560.789	111.774	-121.432	608.895	57.637	139.331	641.143	120.028	126.589
153	1.01333	427.868	93.459	-181.7	476.11	99.28	-278.486	507.724	97.094	-294.69	537.661	102.15	-284.692	579.942	94.318	-250.269	478.772	100.766	-265.638	511.43	98.368	-277.473	537.716	100.939	-267.593	575.532	92.286	-236.07	485.953	106.902	-240.997	513.662	104.928	-249.482	538.426	103.403	-239.892	568.634	93.143	-219.22	445.261	89.478	-169.392	468.81	91.573	-149.766	498.598	109.799	-198.332	523.954	111.629	-197.522	542.278	105.79	-192.75	562.681	99.831	-188.884	492.332	95.008	-129.631	507.589	111.587	-159.829	553.01	106.509	-154.847	510.44	112.67	-106.143	560.836	111.775	-121.429	608.906	57.658	139.359	641.159	120.044	126.617
154	1.02	427.923	93.44	-181.717	476.189	99.287	-278.491	507.812	97.086	-294.695	537.73	102.14	-284.687	580.013	94.327	-250.251	478.854	100.765	-265.636	511.516	98.356	-277.469	537.786	100.93	-267.592	575.603	92.292	-236.047	486.015	106.904	-241.001	513.729	104.928	-249.478	538.49	103.405	-239.879	568.698	93.147	-219.208	445.314	89.457	-169.402	468.863	91.564	-149.772	498.668	109.798	-198.326	524.011	111.625	-197.519	542.342	105.783	-192.747	562.736	99.834	-188.874	492.372	95.004	-129.635	507.629	111.594	-159.827	553.066	106.504	-154.838	510.48	112.667	-106.141	560.883	111.801	-121.437	608.924	57.659	139.37	641.188	120.066	126.634
155	1.02667	427.982	93.422	-181.739	476.263	99.282	-278.495	507.906	97.065	-294.703	537.809	102.12	-284.684	580.069	94.334	-250.237	478.932	100.764	-265.641	511.592	98.344	-277.481	537.856	100.915	-267.588	575.663	92.295	-236.038	486.106	106.921	-241.025	513.8	104.917	-249.482	538.553	103.403	-239.877	568.765	93.164	-219.205	445.376	89.44	-169.427	468.909	91.554	-149.783	498.73	109.787	-198.329	524.063	111.625	-197.524	542.402	105.792	-192.745	562.791	99.834	-188.865	492.431	95.014	-129.644	507.671	111.587	-159.825	553.112	106.513	-154.83	510.52	112.674	-106.143	560.934	111.8	-121.431	608.935	57.669	139.375	641.209	120.07	126.66
156	1.03333	428.037	93.388	-181.76	476.358	99.26	-278.5	507.99	97.028	-294.702	537.9	102.103	-284.698	580.141	94.319	-250.222	479.008	100.745	-265.653	511.673	98.321	-277.478	537.94	100.899	-267.591	575.729	92.288	-236.028	486.178	106.907	-241.028	513.868	104.897	-249.493	538.619	103.372	-239.882	568.834	93.164	-219.197	445.433	89.426	-169.451	468.967	91.554	-149.799	498.795	109.787	-198.335	524.118	111.619	-197.534	542.457	105.782	-192.739	562.851	99.828	-188.857	492.467	95.012	-129.649	507.717	111.579	-159.839	553.157	106.504	-154.825	510.557	112.678	-106.145	560.974	111.802	-121.421	608.933	57.674	139.392	641.224	120.089	126.683
157	1.04	428.093	93.362	-181.782	476.463	99.228	-278.511	508.077	96.987	-294.699	537.991	102.059	-284.69	580.217	94.291	-250.214	479.076	100.72	-265.664	511.75	98.298	-277.483	538.018	100.869	-267.592	575.787	92.274	-236.023	486.235	106.882	-241.032	513.945	104.874	-249.504	538.691	103.362	-239.887	568.91	93.142	-219.186	445.507	89.408	-169.468	469.018	91.535	-149.811	498.859	109.775	-198.347	524.176	111.609	-197.534	542.511	105.778	-192.736	562.919	99.822	-188.856	492.524	95.006	-129.654	507.767	111.581	-159.845	553.216	106.504	-154.819	510.601	112.675	-106.152	561.021	111.806	-121.421	608.946	57.697	139.401	641.248	120.11	126.705
158	1.04667	428.15	93.329	-181.813	476.534	99.193	-278.522	508.152	96.949	-294.7	538.079	102.023	-284.686	580.293	94.265	-250.208	479.155	100.697	-265.676	511.826	98.256	-277.48	538.106	100.833	-267.595	575.845	92.248	-236.014	486.314	106.862	-241.044	514.019	104.849	-249.522	538.759	103.345	-239.89	568.97	93.131	-219.184	445.561	89.383	-169.483	469.096	91.51	-149.814	498.92	109.763	-198.351	524.23	111.595	-197.545	542.573	105.762	-192.74	562.978	99.814	-188.854	492.564	95.002	-129.669	507.812	111.567	-159.855	553.264	106.512	-154.823	510.644	112.682	-106.16	561.064	111.808	-121.413	608.963	57.7	139.413	641.267	120.133	126.718
159	1.05333	428.196	93.303	-181.826	476.609	99.166	-278.531	508.21	96.91	-294.706	538.17	101.98	-284.686	580.363	94.244	-250.201	479.227	100.669	-265.697	511.894	98.213	-277.478	538.182	100.797	-267.595	575.914	92.234	-236.011	486.378	106.836	-241.047	514.077	104.827	-249.527	538.837	103.319	-239.891	569.031	93.114	-219.176	445.608	89.363	-169.492	469.139	91.496	-149.819	498.971	109.759	-198.365	524.289	111.587	-197.545	542.627	105.756	-192.739	563.034	99.804	-188.853	492.614	94.996	-129.675	507.869	111.562	-159.859	553.321	106.507	-154.826	510.697	112.692	-106.164	561.119	111.803	-121.398	608.98	57.716	139.419	641.282	120.139	126.739
160	1.06	428.241	93.292	-181.82	476.672	99.144	-278.543	508.268	96.897	-294.71	538.236	101.949	-284.697	580.415	94.223	-250.197	479.29	100.652	-265.706	511.944	98.18	-277.477	538.238	100.772	-267.601	575.958	92.213	-236.015	486.441	106.815	-241.051	514.134	104.809	-249.532	538.902	103.292	-239.894	569.087	93.093	-219.181	445.664	89.352	-169.494	469.188	91.488	-149.826	499.019	109.743	-198.37	524.348	111.576	-197.555	542.68	105.721	-192.725	563.097	99.793	-188.848	492.682	94.993	-129.673	507.924	111.552	-159.861	553.381	106.498	-154.83	510.746	112.697	-106.167	561.165	111.808	-121.412	608.987	57.721	139.428	641.309	120.155	126.744
161	1.06667	428.289	93.293	-181.826	476.715	99.132	-278.543	508.316	96.864	-294.705	538.288	101.927	-284.702	580.469	94.2	-250.2	479.343	100.632	-265.71	512.004	98.176	-277.491	538.291	100.75	-267.606	576.007	92.196	-236.019	486.485	106.804	-241.053	514.188	104.791	-249.532	538.949	103.26	-239.9	569.129	93.085	-219.191	445.698	89.351	-169.491	469.241	91.489	-149.831	499.066	109.744	-198.397	524.4	111.572	-197.55	542.732	105.714	-192.725	563.146	99.788	-188.849	492.729	94.988	-129.674	507.972	111.554	-159.868	553.434	106.502	-154.832	510.808	112.688	-106.173	561.21	111.797	-121.41	609.011	57.741	139.428	641.34	120.167	126.75
