Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
152	1.00667	411.052	70.199	-227.293	445.548	89.744	-307.219	468.549	93.857	-320.075	497.129	96.183	-309.252	539.938	100.667	-282.824	448.856	90.87	-290.442	473.314	92.024	-302.362	496.67	92.971	-292.545	539.401	94.724	-266.204	454.612	94.679	-267.371	477.058	92.32	-274.303	499.255	92.267	-266.968	532.995	91.811	-249.543	426.975	73.862	-214.719	444.964	81.766	-191.518	464.795	98.038	-227.316	488.137	100.095	-225.663	507.268	93.993	-221.629	517.837	88.138	-218.87	458.669	83.049	-167.255	482.643	103.155	-185.799	518.133	97.167	-188.714	489.26	105.716	-137.32	530.518	105.762	-147.395	601.555	53.336	61.683	636.033	107.988	44.803
153	1.01333	411.092	70.221	-227.291	445.607	89.789	-307.21	468.615	93.876	-320.07	497.183	96.181	-309.244	539.991	100.662	-282.815	448.925	90.909	-290.429	473.374	92.049	-302.353	496.737	92.977	-292.537	539.453	94.716	-266.188	454.674	94.703	-267.357	477.123	92.353	-274.308	499.306	92.276	-266.965	533.046	91.807	-249.532	427.01	73.872	-214.712	445.01	81.772	-191.514	464.847	98.046	-227.313	488.191	100.101	-225.655	507.322	93.995	-221.626	517.871	88.139	-218.856	458.709	83.058	-167.25	482.684	103.152	-185.791	518.183	97.164	-188.706	489.299	105.717	-137.313	530.564	105.752	-147.379	601.562	53.34	61.708	636.04	107.979	44.833
154	1.02	411.133	70.257	-227.288	445.661	89.837	-307.202	468.658	93.891	-320.066	497.236	96.193	-309.237	540.038	100.645	-282.805	448.969	90.951	-290.415	473.422	92.067	-302.35	496.776	92.981	-292.523	539.5	94.711	-266.177	454.719	94.742	-267.349	477.167	92.364	-274.294	499.347	92.279	-266.951	533.091	91.802	-249.522	427.049	73.883	-214.705	445.049	81.78	-191.508	464.897	98.054	-227.295	488.27	100.125	-225.667	507.367	93.991	-221.611	517.911	88.146	-218.847	458.734	83.07	-167.241	482.723	103.158	-185.78	518.219	97.163	-188.692	489.329	105.719	-137.299	530.601	105.748	-147.362	601.578	53.33	61.734	636.065	107.99	44.855
155	1.02667	411.165	70.258	-227.272	445.703	89.874	-307.19	468.696	93.9	-320.055	497.288	96.191	-309.224	540.076	100.642	-282.79	449.016	90.986	-290.399	473.464	92.081	-302.337	496.816	92.982	-292.507	539.539	94.705	-266.164	454.768	94.761	-267.332	477.213	92.381	-274.279	499.377	92.287	-266.94	533.125	91.808	-249.51	427.083	73.894	-214.691	445.078	81.79	-191.497	464.947	98.07	-227.277	488.31	100.145	-225.661	507.393	94.011	-221.595	517.942	88.152	-218.83	458.762	83.081	-167.227	482.764	103.165	-185.763	518.257	97.17	-188.671	489.365	105.722	-137.285	530.639	105.751	-147.35	601.595	53.327	61.757	636.075	107.985	44.885
156	1.03333	411.189	70.281	-227.268	445.74	89.907	-307.185	468.72	93.904	-320.05	497.315	96.193	-309.213	540.106	100.646	-282.779	449.058	91.015	-290.392	473.492	92.09	-302.328	496.849	92.991	-292.495	539.574	94.702	-266.153	454.808	94.789	-267.322	477.244	92.398	-274.266	499.407	92.293	-266.926	533.161	91.81	-249.49	427.109	73.909	-214.679	445.103	81.806	-191.488	464.984	98.092	-227.261	488.345	100.147	-225.649	507.432	94.013	-221.593	517.973	88.156	-218.809	458.789	83.108	-167.212	482.79	103.174	-185.75	518.293	97.176	-188.664	489.398	105.733	-137.273	530.678	105.756	-147.332	601.619	53.342	61.766	636.101	107.992	44.911
157	1.04	411.21	70.297	-227.254	445.782	89.944	-307.172	468.734	93.922	-320.038	497.345	96.199	-309.197	540.13	100.656	-282.768	449.088	91.049	-290.376	473.52	92.114	-302.32	496.871	93.001	-292.487	539.594	94.721	-266.134	454.845	94.814	-267.308	477.265	92.419	-274.255	499.43	92.303	-266.915	533.19	91.826	-249.48	427.131	73.925	-214.674	445.127	81.821	-191.474	465.01	98.121	-227.244	488.34	100.138	-225.606	507.46	94.025	-221.572	517.995	88.171	-218.797	458.805	83.141	-167.219	482.817	103.19	-185.74	518.313	97.198	-188.65	489.421	105.75	-137.268	530.696	105.776	-147.321	601.633	53.334	61.791	636.122	108.008	44.93
158	1.04667	411.23	70.318	-227.242	445.812	89.982	-307.16	468.75	93.959	-320.021	497.361	96.213	-309.191	540.14	100.691	-282.758	449.114	91.083	-290.363	473.534	92.144	-302.304	496.888	93.018	-292.474	539.611	94.745	-266.125	454.873	94.838	-267.288	477.28	92.451	-274.234	499.446	92.322	-266.899	533.219	91.858	-249.472	427.153	73.947	-214.656	445.143	81.851	-191.46	465.035	98.145	-227.225	488.395	100.189	-225.627	507.479	94.056	-221.559	518.013	88.197	-218.781	458.826	83.166	-167.204	482.84	103.208	-185.721	518.337	97.219	-188.629	489.449	105.763	-137.254	530.72	105.792	-147.307	601.66	53.348	61.794	636.134	108.024	44.961
159	1.05333	411.246	70.341	-227.226	445.836	90.028	-307.147	468.756	94.014	-320.004	497.374	96.247	-309.175	540.152	100.723	-282.74	449.137	91.124	-290.352	473.54	92.187	-302.288	496.908	93.064	-292.464	539.633	94.774	-266.112	454.889	94.871	-267.28	477.29	92.481	-274.218	499.459	92.358	-266.885	533.232	91.898	-249.453	427.167	73.972	-214.643	445.171	81.877	-191.448	465.054	98.169	-227.202	488.384	100.186	-225.581	507.497	94.078	-221.538	518.028	88.221	-218.761	458.858	83.18	-167.168	482.861	103.237	-185.709	518.354	97.248	-188.615	489.467	105.787	-137.235	530.754	105.827	-147.289	601.686	53.354	61.804	636.167	108.061	44.969
160	1.06	411.26	70.362	-227.211	445.848	90.077	-307.128	468.765	94.079	-319.983	497.387	96.294	-309.16	540.164	100.769	-282.725	449.147	91.171	-290.346	473.555	92.246	-302.277	496.921	93.114	-292.446	539.646	94.822	-266.108	454.903	94.92	-267.266	477.303	92.526	-274.212	499.465	92.403	-266.868	533.249	91.948	-249.449	427.191	73.994	-214.632	445.181	81.896	-191.432	465.065	98.21	-227.19	488.401	100.23	-225.57	507.511	94.121	-221.525	518.051	88.257	-218.749	458.854	83.213	-167.176	482.874	103.27	-185.703	518.371	97.279	-188.602	489.479	105.801	-137.215	530.763	105.852	-147.28	601.698	53.367	61.819	636.182	108.077	44.981
161	1.06667	411.274	70.417	-227.193	445.858	90.133	-307.117	468.772	94.133	-319.972	497.39	96.361	-309.155	540.169	100.811	-282.715	449.162	91.222	-290.335	473.568	92.31	-302.266	496.936	93.178	-292.437	539.662	94.866	-266.096	454.908	94.97	-267.254	477.312	92.585	-274.199	499.471	92.45	-266.852	533.274	92.013	-249.439	427.205	74.023	-214.612	445.191	81.932	-191.421	465.074	98.254	-227.173	488.419	100.291	-225.563	507.527	94.155	-221.512	518.065	88.306	-218.737	458.867	83.26	-167.159	482.893	103.305	-185.677	518.395	97.338	-188.579	489.494	105.843	-137.198	530.782	105.895	-147.271	601.711	53.376	61.83	636.185	108.084	44.994
