Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
1	0	422.949	95.461	-222.847	458.083	105.666	-282.083	487.362	110.901	-294.477	503.03	109.573	-288.671	528.639	102.178	-262.029	461.136	110.759	-267.288	487.162	113.774	-279.072	504.806	110.155	-271.793	531.532	101.526	-245.129	460.778	121.315	-249.012	488.14	123.254	-251.402	507.305	116.47	-244.703	530.566	103.707	-228.537	429.09	95.708	-204.869	436.37	95.398	-175.662	467.056	129.268	-204.682	490.893	129.639	-205.573	505.792	117.606	-202.307	520.843	109.524	-198.059	456.555	95.624	-139.684	482.068	125.377	-172.226	519.347	111.096	-174.807	487.468	122.254	-113.317	530.94	110.611	-126.205	581.024	61.01	122.901	614.512	106.571	96.062
2	0.00667	423.011	95.57	-222.876	458.116	105.824	-282.094	487.384	111.034	-294.505	503.039	109.679	-288.687	528.676	102.308	-262.052	461.166	110.895	-267.286	487.197	113.92	-279.088	504.823	110.294	-271.81	531.564	101.631	-245.148	460.812	121.478	-249.016	488.195	123.392	-251.412	507.334	116.608	-244.724	530.599	103.841	-228.576	429.139	95.814	-204.894	436.429	95.518	-175.694	467.109	129.419	-204.685	490.951	129.761	-205.572	505.833	117.715	-202.329	520.89	109.632	-198.08	456.606	95.718	-139.719	482.121	125.478	-172.231	519.388	111.181	-174.807	487.523	122.324	-113.33	530.991	110.677	-126.233	581.025	61.022	122.903	614.549	106.591	96.043
3	0.01333	423.072	95.695	-222.912	458.152	105.982	-282.105	487.401	111.166	-294.517	503.057	109.798	-288.694	528.689	102.431	-262.08	461.197	111.023	-267.289	487.229	114.055	-279.098	504.94	110.586	-271.971	531.578	101.735	-245.158	460.853	121.618	-249.021	488.211	123.518	-251.42	507.36	116.732	-244.733	530.638	103.949	-228.624	429.191	95.933	-204.917	436.47	95.617	-175.719	467.156	129.551	-204.688	491	129.864	-205.574	505.877	117.832	-202.328	520.926	109.732	-198.085	456.661	95.803	-139.737	482.168	125.571	-172.226	519.446	111.289	-174.843	487.573	122.394	-113.34	531.036	110.741	-126.241	581.077	61.03	122.89	614.59	106.595	96.046
4	0.02	423.111	95.806	-222.92	458.182	106.146	-282.104	487.337	110.939	-294.879	503.009	109.804	-288.627	528.809	103.235	-261.859	461.188	111.196	-267.304	487.287	113.991	-278.43	505.151	110.639	-271.776	531.588	101.852	-245.131	460.997	121.729	-248.853	488.181	123.64	-251.455	506.771	117.19	-243.842	530.642	104.096	-228.553	429.234	96.051	-204.937	436.533	95.71	-175.755	467.281	129.688	-204.517	491.251	129.957	-205.54	505.826	117.961	-202.417	520.955	109.847	-198.121	456.701	95.88	-139.751	482.262	125.741	-172.146	519.494	111.395	-174.845	487.691	122.457	-113.184	531.078	110.792	-126.262	581.718	60.528	122.658	614.633	106.612	96.029
5	0.02667	423.151	95.867	-222.955	458.193	106.281	-282.142	487.326	111.073	-294.92	502.983	109.87	-288.624	528.808	103.377	-261.877	461.219	111.36	-267.356	487.347	114.121	-278.497	505.151	110.756	-271.821	531.588	101.958	-245.128	461.027	121.845	-248.874	488.223	123.756	-251.48	506.827	117.352	-243.888	530.669	104.202	-228.592	429.268	96.163	-204.977	436.562	95.769	-175.803	467.341	129.824	-204.576	491.268	130.068	-205.551	505.877	118.059	-202.451	520.999	109.949	-198.171	456.752	95.925	-139.79	482.294	125.823	-172.178	519.508	111.477	-174.873	487.736	122.528	-113.238	531.124	110.871	-126.326	581.285	60.809	122.741	614.647	106.657	96.024
6	0.03333	423.27	96.054	-222.957	458.286	106.452	-282.098	487.401	111.212	-294.89	503.03	110.043	-288.666	528.824	103.491	-261.883	461.322	111.432	-267.298	487.373	114.238	-278.503	505.187	110.857	-271.816	531.631	102.1	-245.176	461.075	121.998	-248.897	488.308	123.847	-251.449	506.84	117.41	-243.914	530.687	104.31	-228.593	429.383	96.272	-204.97	436.688	95.908	-175.763	467.386	129.937	-204.577	491.317	130.227	-205.584	505.899	118.171	-202.462	521.022	110.046	-198.165	456.817	96.07	-139.749	482.364	125.968	-172.2	519.532	111.564	-174.865	487.798	122.64	-113.279	531.167	110.954	-126.335	581.83	60.489	122.652	614.671	106.686	96.029
7	0.04	423.325	96.157	-222.949	458.31	106.569	-282.108	487.439	111.33	-294.897	503.037	110.17	-288.675	528.837	103.584	-261.883	461.373	111.565	-267.278	487.403	114.362	-278.502	505.21	110.953	-271.814	531.662	102.195	-245.178	461.119	122.124	-248.895	488.353	123.971	-251.461	506.858	117.495	-243.914	530.716	104.413	-228.595	429.422	96.374	-204.966	436.738	96.015	-175.765	467.431	130.06	-204.561	491.347	130.324	-205.561	505.938	118.268	-202.458	521.05	110.134	-198.153	456.846	96.17	-139.743	482.409	126.056	-172.193	519.564	111.643	-174.872	487.834	122.721	-113.283	531.192	111.028	-126.338	581.896	60.49	122.639	614.7	106.708	96.023
8	0.04667	423.359	96.264	-222.955	458.342	106.706	-282.104	487.469	111.432	-294.881	503.062	110.29	-288.671	528.857	103.677	-261.874	461.41	111.67	-267.264	487.431	114.476	-278.492	505.233	111.058	-271.797	531.699	102.315	-245.187	461.164	122.251	-248.891	488.375	124.09	-251.431	506.894	117.656	-243.904	530.741	104.505	-228.589	429.452	96.464	-204.966	436.765	96.101	-175.767	467.449	130.178	-204.557	491.381	130.424	-205.54	505.974	118.386	-202.473	521.074	110.218	-198.147	456.878	96.262	-139.743	482.509	126.186	-172.245	519.588	111.715	-174.872	487.863	122.803	-113.294	531.279	111.126	-126.399	581.95	60.489	122.616	614.724	106.732	96.026
9	0.05333	423.393	96.362	-222.956	458.388	106.836	-282.094	487.504	111.542	-294.874	503.096	110.396	-288.673	528.865	103.779	-261.874	461.453	111.791	-267.254	487.467	114.586	-278.485	505.256	111.157	-271.785	531.724	102.406	-245.202	461.208	122.366	-248.886	488.402	124.189	-251.418	506.903	117.761	-243.915	530.759	104.593	-228.597	429.478	96.557	-204.967	436.8	96.193	-175.771	467.482	130.272	-204.55	491.416	130.53	-205.534	506.006	118.455	-202.455	521.112	110.322	-198.162	456.902	96.34	-139.739	482.543	126.277	-172.226	519.611	111.795	-174.856	487.891	122.885	-113.293	531.306	111.202	-126.384	581.963	60.5	122.609	614.743	106.758	96.041
10	0.06	423.432	96.468	-222.961	458.431	106.953	-282.085	487.54	111.647	-294.866	503.125	110.494	-288.656	528.893	103.885	-261.877	461.486	111.889	-267.234	487.498	114.685	-278.47	505.316	111.298	-271.807	531.744	102.495	-245.201	461.246	122.482	-248.87	488.463	124.322	-251.427	506.929	117.829	-243.909	530.779	104.663	-228.588	429.507	96.638	-204.968	436.824	96.285	-175.765	467.509	130.368	-204.547	491.447	130.616	-205.528	506.039	118.563	-202.46	521.142	110.404	-198.167	456.917	96.42	-139.734	482.58	126.365	-172.211	519.629	111.869	-174.85	487.919	122.958	-113.288	531.333	111.251	-126.375	582.003	60.537	122.601	614.76	106.778	96.046
11	0.06667	423.467	96.577	-222.958	458.466	107.068	-282.077	487.581	111.748	-294.864	503.151	110.573	-288.645	528.908	103.977	-261.876	461.541	112.015	-267.242	487.528	114.773	-278.455	505.338	111.371	-271.799	531.762	102.558	-245.19	461.283	122.608	-248.872	488.505	124.413	-251.418	506.953	117.901	-243.897	530.8	104.741	-228.574	429.53	96.749	-204.958	436.841	96.393	-175.763	467.535	130.465	-204.535	491.482	130.703	-205.517	506.061	118.64	-202.449	521.161	110.479	-198.164	456.939	96.498	-139.728	482.602	126.444	-172.19	519.647	111.95	-174.848	487.953	123.041	-113.292	531.34	111.323	-126.359	582.016	60.557	122.61	614.775	106.809	96.05
