Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
1	0	410.218	67.475	-204.744	457.357	76.544	-292.678	480.883	78.658	-303.973	513.511	74.159	-290.926	556.875	68.441	-257.441	456.834	81.688	-276.379	485.03	82.055	-285.534	512.404	77.171	-272.798	555.127	69.681	-242.126	460.23	87.534	-251.474	487.342	87.426	-255.037	516.61	82.801	-245.457	548.216	74.796	-227.231	418.342	67.804	-194.94	433.159	74.393	-167.301	469.513	98.522	-207.522	493.479	100.503	-205.465	515.369	93.93	-199.081	531.933	89.371	-193.2	455.59	73.845	-136.927	478.536	101.09	-166.685	523.221	95.257	-170.898	480.806	101.503	-117.694	535.734	97.653	-131.729	627.869	99.812	108.26			
2	0.00667	410.261	67.489	-204.728	457.41	76.584	-292.651	480.937	78.696	-303.942	513.563	74.211	-290.901	556.931	68.478	-257.415	456.878	81.72	-276.356	485.084	82.098	-285.509	512.453	77.226	-272.766	555.176	69.739	-242.107	460.271	87.563	-251.446	487.384	87.458	-255.007	516.658	82.847	-245.423	548.253	74.827	-227.188	418.381	67.822	-194.919	433.2	74.41	-167.281	469.565	98.542	-207.499	493.524	100.528	-205.435	515.424	93.961	-199.051	531.979	89.402	-193.174	455.618	73.861	-136.903	478.575	101.113	-166.661	523.265	95.281	-170.866	480.835	101.531	-117.67	535.775	97.671	-131.705	628.009	99.843	108.342			
3	0.01333	410.316	67.514	-204.708	457.473	76.646	-292.631	481.002	78.757	-303.916	513.625	74.284	-290.878	556.986	68.533	-257.379	456.939	81.776	-276.335	485.146	82.153	-285.478	512.515	77.281	-272.74	555.231	69.794	-242.074	460.306	87.627	-251.424	487.435	87.503	-254.978	516.705	82.902	-245.392	548.302	74.894	-227.159	418.429	67.858	-194.91	433.246	74.43	-167.259	469.613	98.591	-207.475	493.577	100.562	-205.414	515.47	94.01	-199.023	532.033	89.461	-193.149	455.658	73.882	-136.885	478.619	101.147	-166.631	523.301	95.315	-170.834	480.869	101.549	-117.644	535.812	97.703	-131.665	627.979	99.843	108.343			
4	0.02	410.373	67.541	-204.702	457.587	76.681	-292.556	481.09	78.807	-303.856	513.758	74.381	-290.693	556.912	68.509	-257.621	456.982	81.785	-276.31	485.219	82.21	-285.409	512.588	77.12	-272.535	555.299	69.846	-242.024	460.446	87.53	-251.381	487.517	87.542	-254.909	516.817	82.996	-245.327	548.271	75.209	-226.795	418.492	68.326	-194.759	433.294	74.461	-167.245	469.672	98.527	-207.321	493.7	100.676	-205.752	515.768	94.115	-198.994	532.082	89.506	-193.113	455.696	73.911	-136.865	478.706	101.213	-166.614	523.347	95.36	-170.802	480.984	101.631	-117.485	535.885	97.713	-131.604	628.017	99.858	108.41			
5	0.02667	410.428	67.571	-204.736	457.674	76.84	-292.608	481.197	78.958	-303.884	513.818	74.545	-290.687	557.025	68.7	-257.614	457.008	81.905	-276.384	485.317	82.365	-285.404	512.687	77.296	-272.485	555.415	69.992	-241.99	460.506	87.649	-251.403	487.637	87.738	-254.9	516.899	83.127	-245.365	548.345	75.376	-226.762	418.568	68.405	-194.808	433.332	74.495	-167.306	469.751	98.623	-207.316	493.773	100.765	-205.767	515.864	94.237	-198.999	532.211	89.635	-193.169	455.767	73.948	-136.871	478.792	101.306	-166.649	523.515	95.518	-170.882	481.074	101.805	-117.464	536.067	97.854	-131.601	627.93	99.777	108.495			
6	0.03333	410.556	67.654	-204.678	457.807	76.918	-292.536	481.257	79.013	-303.827	513.942	74.569	-290.594	557.056	68.769	-257.631	457.187	81.981	-276.247	485.389	82.413	-285.353	512.742	77.32	-272.51	555.437	70.058	-241.991	460.64	87.723	-251.304	487.674	87.761	-254.919	516.993	83.152	-245.241	548.378	75.405	-226.774	418.706	68.479	-194.743	433.479	74.536	-167.215	469.794	98.7	-207.316	493.83	100.836	-205.744	515.891	94.28	-199.029	532.204	89.661	-193.025	455.881	74.026	-136.823	478.861	101.331	-166.569	523.463	95.509	-170.761	481.078	101.735	-117.501	536.033	97.885	-131.623	627.982	99.907	108.479			
7	0.04	410.626	67.719	-204.659	457.862	77.031	-292.509	481.325	79.141	-303.806	514.022	74.677	-290.561	557.146	68.899	-257.611	457.252	82.096	-276.226	485.454	82.51	-285.327	512.808	77.432	-272.498	555.529	70.178	-241.983	460.686	87.815	-251.277	487.735	87.845	-254.894	517.064	83.26	-245.226	548.427	75.507	-226.817	418.768	68.54	-194.72	433.531	74.581	-167.191	469.849	98.784	-207.308	493.873	100.928	-205.72	515.947	94.368	-199.01	532.297	89.71	-192.947	455.935	74.075	-136.818	478.898	101.411	-166.542	523.516	95.566	-170.738	481.119	101.778	-117.477	536.084	97.96	-131.6	628.048	99.905	108.594			
8	0.04667	410.686	67.777	-204.641	457.91	77.158	-292.491	481.392	79.283	-303.8	514.101	74.802	-290.539	557.231	68.997	-257.574	457.292	82.201	-276.202	485.509	82.612	-285.309	512.877	77.538	-272.478	555.604	70.283	-241.958	460.742	87.928	-251.254	487.793	87.956	-254.891	517.13	83.373	-245.224	548.496	75.605	-226.772	418.82	68.604	-194.707	433.582	74.641	-167.171	469.89	98.867	-207.297	493.933	100.997	-205.686	515.993	94.461	-198.978	532.338	89.791	-192.923	456.009	74.13	-136.791	478.945	101.48	-166.51	523.566	95.642	-170.701	481.158	101.818	-117.454	536.13	98.042	-131.578	628.07	99.93	108.608			
9	0.05333	410.738	67.849	-204.622	457.968	77.266	-292.482	481.445	79.398	-303.774	514.18	74.938	-290.534	557.325	69.12	-257.574	457.335	82.302	-276.178	485.562	82.74	-285.296	512.958	77.682	-272.476	555.677	70.38	-241.929	460.794	88.011	-251.231	487.841	88.064	-254.87	517.193	83.483	-245.191	548.572	75.694	-226.746	418.867	68.675	-194.688	433.636	74.691	-167.148	469.938	98.954	-207.264	493.99	101.084	-205.665	516.051	94.553	-198.95	532.398	89.884	-192.917	456.077	74.175	-136.781	478.993	101.553	-166.496	523.616	95.736	-170.667	481.198	101.876	-117.43	536.168	98.122	-131.556	628.136	99.977	108.651			
10	0.06	410.788	67.927	-204.616	458.015	77.396	-292.48	481.499	79.5	-303.755	514.254	75.059	-290.518	557.405	69.219	-257.54	457.381	82.402	-276.159	485.618	82.867	-285.282	513.024	77.799	-272.47	555.745	70.496	-241.898	460.836	88.119	-251.225	487.895	88.179	-254.857	517.252	83.584	-245.171	548.64	75.791	-226.706	418.927	68.736	-194.67	433.692	74.767	-167.14	470	99.059	-207.241	494.047	101.168	-205.641	516.101	94.649	-198.929	532.441	89.979	-192.896	456.128	74.242	-136.767	479.049	101.634	-166.489	523.663	95.83	-170.642	481.236	101.943	-117.406	536.218	98.228	-131.548	628.2	99.995	108.7			
