Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
1	0	406.913	172.666	-209.642	454.26	174.183	-324.118	480.918	169.129	-337.958	508.59	160.706	-333.848	538.969	145.253	-311.166	457.977	179.697	-306.847	485.228	172.101	-322.286	513.61	165.114	-314.783	542.05	151.674	-295.618	466.227	189.987	-280.956	491.476	182.249	-292.287	520.956	177.041	-287.289	547.16	162.042	-274.848	425.142	168.05	-201.25	448.612	169.827	-180.078	483.286	195.153	-234.607	507.55	192.285	-237.102	522.699	184.664	-238.416	545.319	176.234	-233.505	484.669	177.621	-157.147	508.268	195.066	-188.024	543.507	182.326	-198.192	521.255	190.609	-136.119	560.302	182.187	-157.031	675.696	48.274	58.924	722.159	102.224	43.852
2	0.00667	407.116	172.798	-209.727	454.42	174.251	-324.12	481.048	169.211	-337.955	508.774	160.795	-333.844	539.14	145.354	-311.147	458.123	179.752	-306.86	485.084	171.917	-321.893	513.77	165.179	-314.551	542.224	151.773	-295.619	466.371	190.041	-280.966	491.637	182.343	-292.293	521.124	177.124	-287.271	547.321	162.129	-274.82	425.339	168.25	-201.287	448.735	169.923	-180.101	483.423	195.22	-234.606	507.7	192.356	-237.098	522.822	184.73	-238.4	545.465	176.301	-233.481	484.777	177.686	-157.153	508.401	195.136	-188.013	543.635	182.4	-198.188	521.366	190.68	-136.104	560.415	182.23	-157.013	675.681	48.249	58.958	722.184	102.172	43.913
3	0.01333	407.246	172.873	-209.757	454.586	174.317	-324.105	481.214	169.29	-337.947	508.973	160.894	-333.841	539.31	145.429	-311.146	458.275	179.817	-306.871	485.242	171.983	-321.884	513.955	165.274	-314.551	542.378	151.854	-295.632	466.525	190.123	-280.979	491.783	182.416	-292.305	521.304	177.214	-287.252	547.465	162.205	-274.812	425.454	168.341	-201.314	448.865	169.996	-180.123	483.553	195.29	-234.618	507.844	192.448	-237.096	522.757	184.727	-237.387	545.583	176.325	-233.467	484.895	177.756	-157.156	508.538	195.208	-188.011	543.756	182.458	-198.194	521.468	190.737	-136.103	560.522	182.268	-156.993	675.665	48.213	59.004	722.204	102.111	43.962
4	0.02	407.405	172.84	-209.662	454.781	173.803	-324.502	481.438	169.374	-337.961	509.067	161.319	-333.473	539.483	145.485	-311.173	458.474	179.87	-306.942	485.48	171.855	-321.692	513.908	165.659	-313.814	542.521	151.939	-295.627	466.678	190.19	-280.995	491.775	182.174	-292.087	521.488	177.298	-287.058	547.614	162.256	-274.819	425.647	168.283	-201.441	448.99	170.066	-180.139	483.777	195.304	-234.495	508.409	192.23	-237.134	522.915	184.76	-237.33	545.721	176.357	-233.465	485.012	177.86	-157.154	508.838	195.284	-187.886	543.917	182.471	-198.177	521.494	190.453	-136.027	560.722	182.502	-157.018	676.505	47.294	58.485	722.255	101.95	44.037
5	0.02667	407.528	172.89	-209.79	454.963	173.885	-324.612	481.629	169.462	-338.043	509.242	161.453	-333.49	539.596	145.567	-311.189	458.645	179.981	-307.002	485.642	171.894	-321.673	514.084	165.788	-313.845	542.659	152	-295.646	466.861	190.3	-281.091	491.926	182.233	-292.127	521.751	177.512	-287.164	547.764	162.358	-274.835	425.784	168.346	-201.524	449.119	170.124	-180.228	483.928	195.403	-234.582	508.561	192.294	-237.176	523.086	184.873	-237.361	545.892	176.444	-233.516	485.152	177.883	-157.261	508.96	195.357	-187.912	544.049	182.513	-198.187	521.609	190.505	-136.081	560.915	182.669	-157.053	676.517	47.682	58.509	722.231	101.752	44.426
6	0.03333	407.694	173.05	-209.867	455.149	173.919	-324.563	481.808	169.533	-338.016	509.389	161.574	-333.508	539.721	145.663	-311.197	458.814	179.985	-306.961	485.817	171.969	-321.692	514.21	165.853	-313.824	542.778	152.061	-295.655	467.099	190.31	-280.996	492.067	182.303	-292.141	521.823	177.338	-286.988	547.883	162.421	-274.855	425.957	168.479	-201.516	449.322	170.21	-180.193	484.075	195.514	-234.639	508.717	192.358	-237.181	523.23	184.932	-237.372	546.029	176.47	-233.513	485.332	177.993	-157.205	509.097	195.408	-187.927	544.168	182.55	-198.18	521.756	190.564	-136.037	560.951	182.486	-157.014	676.34	47.31	58.715	722.324	101.813	44.109
7	0.04	407.852	173.22	-209.876	455.334	173.984	-324.591	481.968	169.627	-338.03	509.507	161.691	-333.516	539.833	145.749	-311.227	458.997	180.069	-307.002	485.975	172.08	-321.721	514.339	165.964	-313.847	542.881	152.141	-295.664	467.257	190.386	-281.006	492.225	182.387	-292.167	521.951	177.394	-286.994	547.986	162.483	-274.858	426.074	168.591	-201.559	449.454	170.336	-180.212	484.216	195.596	-234.66	508.845	192.413	-237.186	523.355	184.991	-237.381	546.155	176.505	-233.504	485.461	178.086	-157.19	509.253	195.466	-187.936	544.305	182.582	-198.185	521.869	190.6	-136.036	561.066	182.495	-157.004	676.225	47.063	58.724	722.347	101.74	44.152
8	0.04667	407.973	173.323	-209.926	455.496	174.067	-324.62	482.121	169.737	-338.061	509.628	161.793	-333.53	539.92	145.866	-311.258	459.153	180.147	-307.019	486.127	172.184	-321.734	514.448	166.081	-313.859	542.987	152.228	-295.671	467.418	190.462	-281.031	492.374	182.486	-292.192	522.06	177.467	-287.003	548.088	162.565	-274.873	426.191	168.695	-201.591	449.559	170.439	-180.26	484.349	195.684	-234.679	508.976	192.474	-237.187	523.487	185.052	-237.382	546.279	176.545	-233.495	485.576	178.146	-157.213	509.386	195.515	-187.932	544.42	182.616	-198.184	521.967	190.638	-136.044	561.183	182.508	-156.998	676.199	47.015	58.76	722.37	101.685	44.192
9	0.05333	408.101	173.417	-209.978	455.652	174.177	-324.647	482.273	169.843	-338.077	509.736	161.918	-333.552	539.984	146.006	-311.275	459.302	180.229	-307.052	486.273	172.28	-321.759	514.562	166.197	-313.873	543.067	152.349	-295.689	467.569	190.58	-281.075	492.521	182.568	-292.198	522.164	177.548	-287.003	548.183	162.65	-274.882	426.294	168.781	-201.642	449.661	170.513	-180.297	484.498	195.772	-234.683	509.111	192.533	-237.201	523.621	185.118	-237.387	546.393	176.597	-233.515	485.671	178.199	-157.239	509.497	195.551	-187.943	544.532	182.651	-198.18	522.065	190.673	-136.044	561.293	182.533	-156.997	676.198	46.978	58.792	722.394	101.629	44.229
10	0.06	408.226	173.493	-210.044	455.807	174.304	-324.698	482.402	169.937	-338.091	509.837	162.052	-333.565	540.041	146.156	-311.313	459.432	180.326	-307.084	486.437	172.389	-321.777	514.647	166.288	-313.866	543.136	152.489	-295.717	467.696	190.665	-281.093	492.688	182.694	-292.266	522.28	177.643	-287.007	548.263	162.753	-274.898	426.413	168.847	-201.689	449.775	170.56	-180.336	484.628	195.83	-234.673	509.24	192.61	-237.207	523.742	185.174	-237.38	546.501	176.654	-233.524	485.76	178.243	-157.258	509.616	195.626	-187.982	544.649	182.692	-198.186	522.187	190.723	-136.064	561.396	182.553	-157	676.194	46.939	58.82	722.419	101.574	44.263
