Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
1	0	392.555	133.46	-204.421	432.355	158.275	-289.472	459.551	164.858	-308.03	487.191	160.262	-300.892	527.608	162.708	-277.764	435.646	163.275	-270.275	459.93	168.356	-287.694	488.02	164.299	-281.559	530.537	161.513	-260.789	441.942	170.672	-250.133	465.869	174.936	-259.498	494.83	170.54	-253.056	530.315	162.099	-242.365	406.314	137.077	-188.925	424.408	138.522	-164.777	451.617	174.158	-202.496	478.735	177.234	-209.564	500.177	172.08	-209.325	523.493	163.25	-206.391	455.932	139.642	-136.5	472.053	170.883	-164.988	513.239	167.822	-179.954	481.05	162.367	-114.205	529.465	170.499	-126.944	611.327	88.742	96.198	635.53	149.392	90.317
2	0.00667	392.16	133.751	-204.384	431.902	158.531	-289.425	459.056	165.132	-308.002	486.683	160.55	-300.891	527.117	162.978	-277.801	435.195	163.537	-270.214	459.462	168.644	-287.668	487.517	164.586	-281.559	530.06	161.784	-260.81	441.492	170.917	-250.075	465.414	175.207	-259.467	494.391	170.813	-253.06	529.858	162.423	-242.431	405.907	137.382	-188.887	424.02	138.785	-164.754	451.215	174.411	-202.465	478.397	177.556	-209.491	499.756	172.343	-209.326	523.086	163.519	-206.423	455.567	139.889	-136.499	471.653	171.144	-164.961	512.838	168.072	-179.965	480.719	162.592	-114.187	529.111	170.724	-126.963	611.193	88.831	96.058	635.345	149.491	90.203
3	0.01333	391.802	134.06	-204.335	431.468	158.771	-289.382	458.622	165.418	-307.988	486.255	160.838	-300.893	526.649	163.254	-277.805	434.778	163.766	-270.163	459.043	168.93	-287.643	487.102	164.85	-281.544	529.621	162.037	-260.836	441.09	171.166	-250.041	465.003	175.498	-259.445	493.971	171.087	-253.049	529.435	162.636	-242.425	405.575	137.671	-188.85	423.686	139.039	-164.72	450.818	174.669	-202.421	477.961	177.742	-209.515	499.367	172.595	-209.328	522.72	163.785	-206.459	455.244	140.143	-136.486	471.328	171.382	-164.943	512.473	168.294	-179.966	480.393	162.804	-114.165	528.794	170.947	-126.983	611.064	88.936	95.921	635.189	149.585	90.095
4	0.02	391.508	134.363	-204.313	431.106	159.024	-289.346	458.292	165.705	-308.222	485.816	161.175	-300.896	526.159	163.708	-278.061	434.424	164.014	-270.124	458.656	169.22	-287.577	486.688	165.216	-281.322	529.25	162.355	-260.873	440.787	171.385	-249.981	465.238	175.011	-259.555	493.595	171.329	-253.1	529.061	162.918	-242.443	405.254	137.944	-188.833	423.392	139.284	-164.714	450.457	174.905	-202.39	477.137	177.877	-209.103	499.041	172.866	-209.313	522.384	164.022	-206.442	454.974	140.385	-136.476	471.013	171.617	-164.924	512.145	168.558	-179.988	480.143	163.022	-114.14	528.525	171.14	-126.994	610.96	89.017	95.814	635.059	149.664	89.997
5	0.02667	391.281	134.644	-204.301	430.804	159.266	-289.301	457.968	166.01	-308.186	485.476	161.386	-300.82	525.817	164.044	-278.085	434.111	164.258	-270.082	458.351	169.524	-287.528	486.34	165.442	-281.232	528.941	162.658	-260.842	440.494	171.626	-249.943	464.926	175.291	-259.498	493.246	171.611	-253.107	528.732	163.224	-242.472	405.034	138.208	-188.838	423.157	139.509	-164.721	450.191	175.169	-202.342	476.815	178.117	-209.11	498.736	173.128	-209.282	522.082	164.237	-206.419	454.793	140.592	-136.468	470.765	171.827	-164.873	511.864	168.806	-179.964	479.904	163.189	-114.11	528.279	171.332	-126.955	611.016	89.05	95.711	634.883	149.735	89.972
6	0.03333	391.077	134.932	-204.35	430.552	159.513	-289.266	457.707	166.318	-308.161	485.197	161.713	-300.786	525.531	164.407	-278.09	433.86	164.524	-270.047	458.1	169.837	-287.539	486.055	165.772	-281.211	528.66	163.01	-260.859	440.261	171.863	-249.915	464.676	175.587	-259.459	492.987	171.932	-253.075	528.471	163.549	-242.48	404.831	138.436	-188.848	422.953	139.735	-164.738	449.959	175.407	-202.314	476.562	178.357	-209.101	498.5	173.39	-209.244	521.825	164.487	-206.395	454.62	140.765	-136.468	470.547	172.032	-164.851	511.633	169.06	-179.923	479.69	163.365	-114.095	528.075	171.522	-126.942	610.933	89.162	95.638	634.762	149.832	89.923
7	0.04	390.916	135.186	-204.411	430.35	159.784	-289.245	457.476	166.659	-308.128	484.959	162.062	-300.779	525.286	164.77	-278.094	433.662	164.799	-270.042	457.884	170.151	-287.481	485.853	166.127	-281.201	528.434	163.355	-260.865	440.037	172.142	-249.887	464.478	175.898	-259.43	492.773	172.247	-253.042	528.262	163.881	-242.469	404.647	138.663	-188.906	422.796	139.952	-164.767	449.743	175.638	-202.276	476.389	178.612	-209.081	498.284	173.655	-209.23	521.61	164.79	-206.388	454.443	140.933	-136.478	470.343	172.231	-164.824	511.446	169.325	-179.9	479.541	163.532	-114.106	527.899	171.691	-126.935	610.84	89.274	95.577	634.658	149.931	89.874
8	0.04667	390.812	135.404	-204.494	430.23	160.081	-289.241	457.337	166.963	-308.129	484.776	162.416	-300.775	525.09	165.132	-278.115	433.525	165.072	-270.04	457.741	170.444	-287.47	485.654	166.468	-281.191	528.241	163.698	-260.867	439.898	172.422	-249.883	464.317	176.222	-259.412	492.607	172.55	-253.024	528.085	164.226	-242.483	404.539	138.871	-188.967	422.656	140.113	-164.824	449.599	175.879	-202.261	476.208	178.883	-209.062	498.129	173.927	-209.216	521.454	165.059	-206.388	454.298	141.072	-136.503	470.19	172.429	-164.797	511.258	169.531	-179.882	479.397	163.66	-114.098	527.734	171.867	-126.929	610.753	89.395	95.53	634.592	150.055	89.804
9	0.05333	390.758	135.568	-204.594	430.15	160.366	-289.267	457.263	167.24	-308.133	484.665	162.734	-300.797	524.946	165.513	-278.122	433.441	165.349	-270.052	457.665	170.758	-287.482	485.532	166.752	-281.185	528.094	164.032	-260.876	439.78	172.677	-249.875	464.222	176.474	-259.42	492.477	172.873	-253.046	527.945	164.55	-242.497	404.478	139.019	-189.042	422.568	140.26	-164.881	449.458	176.13	-202.253	476.084	179.126	-209.04	498.009	174.19	-209.191	521.324	165.329	-206.367	454.179	141.189	-136.543	470.069	172.609	-164.796	511.135	169.729	-179.875	479.27	163.794	-114.112	527.624	172.041	-126.938	610.648	89.513	95.515	634.483	150.177	89.792
10	0.06	390.729	135.674	-204.681	430.126	160.629	-289.307	457.219	167.501	-308.159	484.597	163.036	-300.789	524.808	165.813	-278.117	433.392	165.598	-270.076	457.609	171.023	-287.501	485.461	167.037	-281.188	528.003	164.35	-260.898	439.72	172.901	-249.894	464.146	176.731	-259.436	492.391	173.158	-253.058	527.843	164.817	-242.485	404.443	139.155	-189.12	422.513	140.362	-164.951	449.396	176.32	-202.254	476.002	179.346	-209.026	497.906	174.418	-209.175	521.247	165.553	-206.374	454.105	141.287	-136.583	469.999	172.788	-164.811	511.027	169.953	-179.86	479.182	163.922	-114.128	527.522	172.223	-126.946	610.569	89.652	95.494	634.386	150.339	89.796
11	0.06667	390.725	135.763	-204.769	430.104	160.876	-289.334	457.197	167.739	-308.181	484.541	163.276	-300.801	524.721	166.101	-278.142	433.37	165.827	-270.106	457.588	171.216	-287.523	485.419	167.287	-281.201	527.938	164.618	-260.915	439.686	173.114	-249.913	464.126	176.943	-259.454	492.35	173.425	-253.043	527.765	165.079	-242.504	404.422	139.245	-189.194	422.484	140.446	-165.009	449.346	176.475	-202.274	475.93	179.528	-209.016	497.844	174.611	-209.182	521.188	165.789	-206.393	454.034	141.405	-136.632	469.919	172.954	-164.829	510.979	170.135	-179.876	479.121	164.034	-114.156	527.46	172.39	-126.96	610.494	89.802	95.48	634.332	150.501	89.772
