Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
124	0.82	436.572	126.011	-181.918	489.485	120.731	-282.727	511.369	118.02	-296.482	539.768	129.502	-285.446	579.933	126.596	-252.776	491.082	121.562	-269.668	515.595	118.7	-279.477	540.817	126.103	-268.65	577.147	122.171	-238.704	496.348	126.961	-245.301	518.587	124.605	-252.188	542.401	124.614	-242.052	572.004	120.65	-221.868	453.18	119.345	-171.356	475.766	119.059	-153.137	505.954	132.482	-202.919	530.55	135.518	-201.961	548.758	130.154	-196.99	568.944	125.113	-193.052	498.928	121.473	-133.214	514.285	136.726	-164.117	559.899	132.674	-158.499	516.942	139.268	-109.367	567.645	138.006	-124.055	612.179	72.912	136.436	643.306	133.684	126.097
125	0.82667	436.579	125.966	-181.916	489.498	120.675	-282.726	511.372	117.954	-296.479	539.772	129.429	-285.436	579.939	126.545	-252.773	491.095	121.504	-269.67	515.607	118.636	-279.474	540.83	126.054	-268.646	577.162	122.127	-238.703	496.355	126.912	-245.298	518.596	124.563	-252.193	542.403	124.565	-242.051	572.008	120.583	-221.843	453.19	119.306	-171.356	475.773	119.038	-153.133	505.961	132.449	-202.918	530.551	135.456	-201.943	548.76	130.105	-196.982	568.945	125.071	-193.047	498.943	121.439	-133.212	514.286	136.704	-164.115	559.912	132.649	-158.491	516.938	139.241	-109.427	567.68	138.139	-124.14	612.18	72.914	136.455	643.308	133.684	126.106
126	0.83333	436.585	125.921	-181.908	489.508	120.599	-282.724	511.377	117.866	-296.463	539.775	129.36	-285.439	579.959	126.495	-252.778	491.105	121.434	-269.669	515.61	118.58	-279.485	540.845	125.996	-268.644	577.173	122.051	-238.695	496.367	126.855	-245.294	518.595	124.496	-252.193	542.404	124.514	-242.049	572.026	120.533	-221.838	453.202	119.264	-171.344	475.804	118.991	-153.12	505.969	132.411	-202.917	530.558	135.413	-201.947	548.771	130.055	-196.971	568.961	125.032	-193.042	498.959	121.408	-133.204	514.295	136.672	-164.119	559.917	132.626	-158.496	516.931	139.195	-109.409	567.692	138.117	-124.14	612.19	72.904	136.449	643.31	133.692	126.113
127	0.84	436.578	125.851	-181.883	489.53	120.516	-282.716	511.391	117.805	-296.459	539.791	129.289	-285.429	579.98	126.436	-252.773	491.112	121.356	-269.666	515.633	118.519	-279.476	540.853	125.924	-268.637	577.186	122.006	-238.689	496.381	126.794	-245.293	518.607	124.422	-252.193	542.413	124.461	-242.053	572.044	120.48	-221.83	453.211	119.224	-171.348	475.815	118.963	-153.121	505.982	132.369	-202.925	530.572	135.38	-201.946	548.786	129.999	-196.969	568.967	124.995	-193.04	498.969	121.372	-133.2	514.302	136.633	-164.122	559.926	132.596	-158.496	516.938	139.181	-109.413	567.705	138.103	-124.142	612.176	72.908	136.459	643.31	133.688	126.115
128	0.84667	436.589	125.809	-181.886	489.546	120.43	-282.717	511.402	117.736	-296.459	539.808	129.22	-285.425	580.001	126.385	-252.762	491.132	121.264	-269.652	515.645	118.454	-279.461	540.863	125.848	-268.633	577.206	121.964	-238.689	496.398	126.739	-245.298	518.616	124.358	-252.197	542.429	124.411	-242.069	572.058	120.44	-221.83	453.223	119.163	-171.348	475.902	118.845	-153.117	505.997	132.321	-202.921	530.584	135.335	-201.954	548.791	129.961	-196.97	568.981	124.961	-193.036	498.976	121.333	-133.194	514.266	136.611	-164.149	559.938	132.577	-158.495	516.936	139.132	-109.41	567.707	138.076	-124.141	612.208	72.903	136.467	643.311	133.695	126.12
129	0.85333	436.586	125.751	-181.876	489.501	120.351	-282.753	511.37	117.678	-296.5	539.82	129.153	-285.427	580.011	126.359	-252.759	491.138	121.196	-269.644	515.658	118.379	-279.464	540.88	125.79	-268.632	577.214	121.926	-238.679	496.402	126.667	-245.292	518.632	124.305	-252.206	542.445	124.361	-242.044	572.077	120.403	-221.821	453.235	119.105	-171.339	475.909	118.82	-153.118	506.009	132.288	-202.925	530.589	135.308	-201.958	548.805	129.929	-196.97	568.988	124.943	-193.034	498.985	121.305	-133.189	514.271	136.583	-164.145	559.943	132.553	-158.49	516.942	139.114	-109.407	567.719	138.069	-124.147	612.219	72.892	136.484	643.318	133.695	126.116
130	0.86	436.594	125.692	-181.882	489.562	120.287	-282.698	511.438	117.628	-296.456	539.841	129.095	-285.418	580.014	126.331	-252.754	491.151	121.14	-269.639	515.67	118.329	-279.453	540.897	125.732	-268.633	577.233	121.899	-238.673	496.41	126.614	-245.281	518.647	124.27	-252.204	542.451	124.323	-242.044	572.086	120.388	-221.815	453.251	119.076	-171.336	475.925	118.78	-153.116	506	132.221	-202.918	530.598	135.275	-201.952	548.809	129.903	-196.976	568.998	124.909	-193.031	498.996	121.267	-133.181	514.285	136.553	-164.14	559.958	132.538	-158.488	516.94	139.089	-109.407	567.722	138.048	-124.141	612.221	72.885	136.481	643.33	133.695	126.121
131	0.86667	436.604	125.642	-181.881	489.57	120.237	-282.696	511.449	117.589	-296.454	539.859	129.061	-285.43	580.025	126.323	-252.75	491.153	121.095	-269.636	515.693	118.286	-279.448	540.909	125.699	-268.631	577.249	121.886	-238.665	496.425	126.574	-245.289	518.657	124.237	-252.202	542.469	124.297	-242.035	572.101	120.372	-221.812	453.285	119.027	-171.348	475.94	118.742	-153.115	506.009	132.167	-202.898	530.61	135.251	-201.953	548.822	129.887	-196.966	569.018	124.894	-193.023	499.007	121.251	-133.182	514.288	136.521	-164.142	559.964	132.517	-158.487	516.947	139.057	-109.402	567.732	138.038	-124.142	612.255	72.877	136.484	643.34	133.69	126.127
132	0.87333	436.623	125.609	-181.882	489.592	120.213	-282.7	511.492	117.559	-296.451	539.883	129.031	-285.423	580.053	126.322	-252.737	491.18	121.067	-269.637	515.715	118.252	-279.441	540.937	125.672	-268.625	577.268	121.888	-238.66	496.439	126.545	-245.282	518.671	124.213	-252.197	542.491	124.277	-242.038	572.12	120.37	-221.8	453.307	118.993	-171.35	475.954	118.698	-153.096	506.028	132.166	-202.913	530.621	135.227	-201.948	548.843	129.867	-196.957	569.018	124.853	-193.006	499.029	121.22	-133.172	514.304	136.497	-164.135	559.973	132.506	-158.486	516.958	139.033	-109.394	567.747	138.024	-124.136	612.274	72.86	136.49	643.346	133.697	126.129
133	0.88	436.638	125.579	-181.887	489.624	120.203	-282.696	511.523	117.546	-296.454	539.927	129.012	-285.419	580.091	126.325	-252.727	491.206	121.055	-269.632	515.754	118.233	-279.445	540.965	125.655	-268.618	577.292	121.892	-238.647	496.465	126.542	-245.282	518.703	124.188	-252.192	542.514	124.267	-242.034	572.148	120.368	-221.798	453.337	118.963	-171.364	475.895	118.76	-153.127	506.048	132.13	-202.899	530.643	135.21	-201.941	548.857	129.858	-196.96	569.042	124.848	-193.001	499.042	121.2	-133.175	514.371	136.456	-164.104	559.995	132.482	-158.465	516.968	139.014	-109.397	567.756	138.015	-124.121	612.283	72.845	136.502	643.348	133.662	126.137
134	0.88667	436.663	125.555	-181.902	489.666	120.2	-282.701	511.572	117.534	-296.452	539.964	129.01	-285.4	580.12	126.337	-252.723	491.239	121.06	-269.636	515.798	118.222	-279.451	540.997	125.649	-268.611	577.319	121.891	-238.646	496.505	126.537	-245.28	518.739	124.184	-252.193	542.549	124.26	-242.027	572.183	120.361	-221.785	453.361	118.946	-171.369	475.908	118.728	-153.128	506.077	132.122	-202.899	530.675	135.203	-201.939	548.883	129.847	-196.946	569.068	124.836	-192.992	499.059	121.178	-133.176	514.388	136.413	-164.087	560.016	132.469	-158.463	516.991	138.984	-109.391	567.774	137.997	-124.114	612.291	72.835	136.509	643.352	133.662	126.143
135	0.89333	436.694	125.538	-181.91	489.711	120.205	-282.704	511.616	117.528	-296.453	540	129.007	-285.403	580.155	126.345	-252.71	491.276	121.056	-269.636	515.849	118.221	-279.45	541.04	125.646	-268.61	577.348	121.888	-238.637	496.537	126.531	-245.28	518.778	124.176	-252.196	542.586	124.257	-242.023	572.208	120.357	-221.779	453.389	118.925	-171.373	475.939	118.702	-153.131	506.107	132.108	-202.901	530.707	135.187	-201.933	548.926	129.839	-196.94	569.098	124.828	-192.984	499.092	121.15	-133.183	514.42	136.393	-164.078	560.049	132.445	-158.453	517.014	138.959	-109.393	567.797	137.983	-124.11	612.286	72.821	136.532	643.354	133.642	126.17
136	0.9	436.729	125.519	-181.929	489.758	120.201	-282.708	511.665	117.518	-296.453	540.044	129.002	-285.403	580.187	126.324	-252.699	491.322	121.054	-269.64	515.893	118.21	-279.451	541.076	125.64	-268.6	577.398	121.886	-238.628	496.577	126.524	-245.281	518.831	124.165	-252.189	542.621	124.244	-242.016	572.234	120.354	-221.778	453.413	118.922	-171.385	475.957	118.689	-153.134	506.151	132.092	-202.897	530.747	135.18	-201.928	548.961	129.836	-196.932	569.129	124.818	-192.975	499.119	121.136	-133.181	514.451	136.365	-164.081	560.071	132.436	-158.449	517.039	138.934	-109.385	567.822	137.964	-124.105	612.29	72.82	136.537	643.361	133.626	126.17
137	0.90667	436.771	125.508	-181.941	489.748	120.202	-282.764	511.658	117.506	-296.5	540.081	128.994	-285.403	580.229	126.318	-252.698	491.358	121.04	-269.651	515.944	118.197	-279.448	541.112	125.631	-268.603	577.438	121.869	-238.625	496.616	126.51	-245.282	518.878	124.148	-252.195	542.663	124.23	-242.018	572.275	120.335	-221.767	453.441	118.906	-171.399	475.984	118.679	-153.145	506.175	132.079	-202.908	530.784	135.164	-201.926	548.988	129.818	-196.927	569.162	124.806	-192.981	499.147	121.119	-133.192	514.477	136.356	-164.081	560.1	132.414	-158.442	517.075	138.91	-109.385	567.838	137.947	-124.1	612.301	72.802	136.556	643.354	133.631	126.203
138	0.91333	436.801	125.488	-181.945	489.833	120.169	-282.718	511.739	117.473	-296.463	540.126	128.96	-285.397	580.267	126.285	-252.69	491.394	121.018	-269.651	515.98	118.163	-279.449	541.148	125.606	-268.591	577.478	121.834	-238.625	496.64	126.488	-245.28	518.916	124.113	-252.192	542.702	124.202	-242.016	572.307	120.312	-221.76	453.466	118.893	-171.401	476.012	118.644	-153.152	506.216	132.053	-202.908	530.831	135.137	-201.924	549.02	129.799	-196.926	569.193	124.784	-192.969	499.165	121.104	-133.191	514.503	136.322	-164.08	560.128	132.395	-158.436	517.092	138.893	-109.38	567.855	137.935	-124.096	612.28	72.8	136.575	643.36	133.612	126.204
139	0.92	436.831	125.472	-181.952	489.868	120.119	-282.723	511.787	117.422	-296.467	540.163	128.919	-285.395	580.299	126.244	-252.677	491.425	120.965	-269.654	516.016	118.105	-279.448	541.179	125.546	-268.577	577.508	121.791	-238.612	496.666	126.446	-245.28	518.945	124.074	-252.186	542.73	124.168	-242.015	572.33	120.281	-221.752	453.486	118.872	-171.408	476.04	118.623	-153.154	506.234	132.023	-202.911	530.851	135.12	-201.93	549.05	129.773	-196.916	569.219	124.76	-192.969	499.187	121.08	-133.189	514.539	136.295	-164.078	560.15	132.374	-158.438	517.113	138.881	-109.383	567.877	137.918	-124.089	612.319	72.783	136.578	643.364	133.616	126.21
140	0.92667	436.854	125.438	-181.959	489.898	120.057	-282.725	511.802	117.34	-296.452	540.19	128.859	-285.395	580.321	126.186	-252.676	491.453	120.901	-269.651	516.035	118.058	-279.44	541.205	125.484	-268.565	577.523	121.744	-238.612	496.703	126.393	-245.278	518.965	124.021	-252.188	542.758	124.11	-242.007	572.339	120.235	-221.748	453.504	118.856	-171.408	476.051	118.604	-153.151	506.25	131.993	-202.912	530.876	135.082	-201.924	549.075	129.743	-196.925	569.234	124.727	-192.956	499.206	121.073	-133.192	514.551	136.265	-164.076	560.165	132.354	-158.432	517.125	138.871	-109.376	567.89	137.908	-124.091	612.291	72.791	136.587	643.362	133.604	126.224
