Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
1	0	417.87	76.561	-189.248	452.267	84.597	-282.325	474.125	83.942	-297.545	502.15	83.293	-288.836	542.822	82.897	-266.55	454.151	92.268	-267.107	481.402	90.557	-280.214	504.137	88.433	-271.416	546.714	86.008	-251.672	461.36	101.622	-243.467	487.231	101.37	-251.533	514.921	98.5	-246.47	545.202	92.738	-235.23	427.649	79.42	-179.233	447.896	88.043	-155.156	476.492	115.383	-200.76	500.391	117.313	-202.894	522.774	111.301	-199.492	539.613	107.696	-196.607	473.516	88.853	-128.899	491.445	117.792	-161.281	534.949	112.772	-172.14	499.741	117.559	-113.883	552.92	115.023	-132.072	606.139	40.627	125.075	649.936	96.506	109.095
2	0.00667	417.795	76.568	-189.317	452.198	84.631	-282.383	474.048	83.968	-297.601	502.075	83.297	-288.905	542.749	82.868	-266.613	454.087	92.302	-267.162	481.334	90.572	-280.269	504.082	88.44	-271.489	546.646	85.953	-251.745	461.311	101.647	-243.511	487.171	101.375	-251.592	514.86	98.494	-246.537	545.139	92.688	-235.306	427.582	79.426	-179.297	447.839	88.029	-155.217	476.453	115.382	-200.808	500.352	117.289	-202.941	522.721	111.247	-199.557	539.559	107.647	-196.688	473.482	88.815	-128.969	491.405	117.762	-161.336	534.909	112.714	-172.196	499.688	117.503	-113.934	552.884	114.951	-132.135	606.093	40.57	125.003	649.929	96.407	109.004
3	0.01333	417.727	76.579	-189.394	452.135	84.673	-282.446	473.979	83.998	-297.665	502.006	83.283	-288.968	542.681	82.823	-266.68	454.027	92.341	-267.216	481.267	90.585	-280.327	504.029	88.452	-271.563	546.571	85.901	-251.809	461.263	101.677	-243.572	487.118	101.381	-251.652	514.809	98.483	-246.606	545.077	92.646	-235.376	427.529	79.429	-179.37	447.79	88.016	-155.281	476.411	115.385	-200.859	500.316	117.277	-202.996	522.678	111.216	-199.612	539.506	107.595	-196.749	473.439	88.788	-129.024	491.368	117.73	-161.384	534.873	112.667	-172.261	499.654	117.444	-113.99	552.844	114.87	-132.201	606.058	40.524	124.955	649.909	96.315	108.964
4	0.02	417.673	76.594	-189.46	452.068	84.701	-282.504	473.914	84.012	-297.725	501.876	83.39	-289.209	542.604	82.773	-266.745	453.966	92.372	-267.274	480.604	90.718	-280.984	504.696	89.07	-271.737	546.504	85.853	-251.877	461.152	101.664	-243.673	487.112	101.424	-251.528	514.848	98.597	-246.458	545.005	92.599	-235.444	427.483	79.441	-179.437	447.756	88.008	-155.337	476.204	115.232	-201.008	500.326	117.298	-203.018	522.338	111.099	-200.031	539.501	107.543	-196.751	473.481	88.727	-129.124	491.348	117.721	-161.419	534.833	112.623	-172.332	499.542	117.253	-113.329	552.881	114.761	-132.213	606.054	40.48	124.861	649.837	95.974	109.262
5	0.02667	417.668	76.636	-189.512	452.071	84.735	-282.579	473.887	84.033	-297.814	501.86	83.34	-289.232	542.547	82.761	-266.915	453.953	92.41	-267.348	480.576	90.734	-281.04	504.621	89.01	-271.837	546.471	85.864	-251.99	461.147	101.754	-243.763	487.102	101.414	-251.562	514.817	98.58	-246.557	544.991	92.659	-235.556	427.492	79.489	-179.499	447.778	88.037	-155.421	476.258	115.298	-201.124	500.338	117.275	-203.083	522.347	111.07	-200.078	539.475	107.48	-196.79	473.592	88.764	-129.187	491.382	117.723	-161.514	534.818	112.593	-172.443	499.554	117.236	-113.412	552.902	114.689	-132.297	606.082	40.442	124.742	649.973	95.946	109.069
6	0.03333	417.625	76.656	-189.561	452.022	84.773	-282.633	473.833	84.058	-297.867	501.798	83.317	-289.29	542.482	82.722	-266.997	453.901	92.441	-267.397	480.521	90.776	-281.119	504.565	88.992	-271.898	546.406	85.827	-252.069	461.113	101.771	-243.81	487.071	101.425	-251.619	514.78	98.554	-246.62	544.936	92.594	-235.615	427.458	79.51	-179.548	447.761	88.04	-155.467	476.252	115.291	-201.165	500.322	117.271	-203.132	522.313	111.029	-200.141	539.453	107.429	-196.844	473.59	88.734	-129.255	491.366	117.712	-161.563	534.8	112.542	-172.507	499.545	117.214	-113.469	552.895	114.614	-132.344	606.1	40.398	124.656	649.771	95.731	109.262
7	0.04	417.601	76.682	-189.613	451.953	84.806	-282.684	473.768	84.091	-297.92	501.739	83.304	-289.351	542.419	82.68	-267.073	453.854	92.485	-267.456	480.457	90.804	-281.175	504.515	88.969	-271.957	546.354	85.787	-252.135	461.075	101.81	-243.86	487.029	101.438	-251.662	514.741	98.531	-246.676	544.903	92.548	-235.685	427.435	79.525	-179.595	447.738	88.041	-155.508	476.227	115.312	-201.216	500.3	117.262	-203.178	522.294	111.002	-200.201	539.437	107.387	-196.901	473.577	88.731	-129.314	491.359	117.693	-161.618	534.789	112.502	-172.576	499.543	117.189	-113.524	552.89	114.554	-132.407	606.085	40.319	124.614	649.788	95.739	109.081
8	0.04667	417.575	76.705	-189.667	451.9	84.837	-282.725	473.706	84.155	-297.975	501.677	83.288	-289.399	542.371	82.653	-267.135	453.81	92.515	-267.502	480.405	90.845	-281.236	504.477	88.96	-272.021	546.323	85.736	-252.2	461.046	101.844	-243.902	486.995	101.459	-251.71	514.711	98.512	-246.741	544.872	92.501	-235.755	427.404	79.545	-179.643	447.716	88.05	-155.56	476.218	115.306	-201.264	500.291	117.242	-203.226	522.278	110.964	-200.263	539.425	107.337	-196.958	473.572	88.712	-129.373	491.36	117.681	-161.666	534.792	112.464	-172.641	499.546	117.165	-113.586	552.883	114.495	-132.46	605.957	40.178	124.687	649.66	95.631	109.105
9	0.05333	417.563	76.73	-189.736	451.855	84.869	-282.763	473.661	84.203	-298.024	501.628	83.291	-289.459	542.326	82.608	-267.175	453.778	92.555	-267.541	480.366	90.885	-281.287	504.433	88.955	-272.08	546.268	85.704	-252.266	461.023	101.878	-243.959	486.965	101.488	-251.759	514.675	98.504	-246.797	544.845	92.463	-235.813	427.378	79.563	-179.708	447.711	88.053	-155.605	476.208	115.321	-201.313	500.294	117.237	-203.271	522.269	110.925	-200.319	539.421	107.298	-197.017	473.55	88.707	-129.421	491.358	117.665	-161.705	534.795	112.425	-172.7	499.552	117.146	-113.644	552.883	114.429	-132.518	605.908	40.121	124.628	649.647	95.595	108.981
10	0.06	417.549	76.756	-189.809	451.84	84.897	-282.809	473.624	84.232	-298.068	501.593	83.304	-289.506	542.299	82.581	-267.232	453.767	92.58	-267.585	480.339	90.917	-281.331	504.41	88.968	-272.137	546.249	85.667	-252.328	461.009	101.908	-243.996	486.961	101.525	-251.819	514.655	98.505	-246.863	544.824	92.431	-235.868	427.37	79.573	-179.756	447.688	88.056	-155.644	476.226	115.329	-201.351	500.293	117.223	-203.317	522.285	110.889	-200.365	539.418	107.265	-197.07	473.561	88.691	-129.479	491.367	117.651	-161.745	534.798	112.394	-172.75	499.563	117.125	-113.701	552.888	114.375	-132.575	605.845	40.056	124.624	649.665	95.572	108.902
