Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
1	0	422.546	99.477	-229.188	453.62	113.063	-305.317	475.548	115.165	-318.167	505.376	117.79	-308.092	547.856	122.466	-283.686	457.644	114.706	-288.758	481.081	114.285	-300.647	505.537	115.553	-291.204	548.39	117.913	-266.595	464.601	119.287	-266.335	486.227	115.899	-272.712	508.984	116.051	-265.378	542.317	115.688	-249.522	437.801	102.827	-215.336	455.439	109.91	-191.183	476.157	124.327	-226.391	499.992	125.099	-224.864	518.569	118.048	-220.786	529.078	112.497	-217.295	468.402	110.261	-166.433	493.853	128.792	-184.128	528.824	121.486	-186.377	497.281	130.765	-135.398	538.537	131.144	-142.327	597.309	78.437	69.809	621.893	135.512	59.688
2	0.00667	422.064	98.99	-229.06	453.086	112.627	-305.192	474.95	114.702	-318.03	504.803	117.374	-308	547.301	122.171	-283.603	457.104	114.278	-288.636	480.517	113.889	-300.535	504.965	115.169	-291.105	547.86	117.618	-266.541	464.049	118.901	-266.224	485.683	115.519	-272.604	508.454	115.716	-265.288	541.796	115.438	-249.472	437.297	102.424	-215.167	454.949	109.549	-191.042	475.645	123.97	-226.283	499.443	124.775	-224.744	518.053	117.764	-220.695	528.564	112.215	-217.213	467.939	109.961	-166.296	493.297	128.427	-184.219	528.275	121.166	-186.581	496.83	130.523	-135.307	538.067	130.951	-142.267	597.019	78.361	69.882	621.575	135.445	59.689
3	0.01333	421.58	98.635	-228.808	452.583	112.218	-305.07	474.428	114.318	-317.929	504.294	117.016	-307.928	546.791	121.92	-283.54	456.606	113.868	-288.519	479.986	113.485	-300.421	504.467	114.835	-291.039	547.365	117.383	-266.46	463.55	118.527	-266.117	485.174	115.167	-272.501	507.958	115.406	-265.208	541.298	115.19	-249.399	436.842	102.054	-215.014	454.516	109.204	-190.917	475.137	123.64	-226.173	498.963	124.476	-224.666	517.568	117.493	-220.606	528.1	111.973	-217.136	467.504	109.655	-166.177	492.833	128.161	-184.139	527.803	120.905	-186.512	496.393	130.295	-135.223	537.629	130.779	-142.188	596.742	78.284	69.945	621.295	135.36	59.683
4	0.02	421.129	98.214	-228.618	452.106	111.843	-304.966	473.916	113.944	-317.815	503.801	116.669	-307.846	546.325	121.682	-283.487	456.094	113.537	-288.423	479.485	113.158	-300.317	504.003	114.498	-290.95	546.944	117.099	-266.391	462.994	118.085	-265.872	484.684	114.83	-272.406	507.482	115.106	-265.109	541.502	115.402	-248.858	436.409	101.646	-214.855	454.102	108.887	-190.797	474.648	123.348	-226.099	498.135	124.289	-224.281	516.772	117.442	-219.908	527.681	111.746	-217.057	467.1	109.367	-166.062	492.353	127.921	-184.073	527.441	120.78	-186.157	495.983	130.069	-135.115	537.236	130.567	-142.116	596.496	78.215	69.994	621.007	135.296	59.69
5	0.02667	420.752	97.848	-228.481	451.69	111.496	-304.892	473.444	113.607	-317.748	503.349	116.372	-307.787	545.881	121.456	-283.404	455.655	113.196	-288.346	479.036	112.847	-300.238	503.559	114.199	-290.883	546.5	116.861	-266.31	462.556	117.748	-265.746	484.269	114.539	-272.307	507.049	114.833	-265.089	541.104	115.191	-248.787	436.02	101.274	-214.739	453.7	108.586	-190.689	474.18	123.019	-226.052	497.715	124.04	-224.19	516.331	117.201	-219.85	527.214	111.513	-217.003	466.68	109.079	-165.969	491.941	127.663	-183.987	527.025	120.545	-186.05	495.585	129.846	-135.047	536.838	130.396	-142.067	596.166	78.159	70.041	620.569	135.106	59.438
6	0.03333	420.392	97.469	-228.366	451.304	111.206	-304.777	472.998	113.277	-317.64	502.907	116.063	-307.684	545.456	121.235	-283.324	455.237	112.911	-288.23	478.576	112.535	-300.127	503.156	113.938	-290.816	546.106	116.663	-266.258	462.107	117.535	-265.692	483.84	114.238	-272.201	506.652	114.589	-264.999	540.707	114.94	-248.712	435.636	100.974	-214.614	453.325	108.3	-190.582	473.782	122.766	-225.931	497.323	123.784	-224.114	515.931	116.968	-219.79	526.824	111.282	-216.914	466.342	108.826	-165.868	491.553	127.425	-183.9	526.638	120.323	-185.989	495.238	129.663	-134.97	536.474	130.24	-142.016	595.942	78.095	70.085	620.302	135.022	59.451
7	0.04	420.039	97.149	-228.207	450.924	110.91	-304.677	472.584	113.003	-317.544	502.533	115.776	-307.619	545.047	120.983	-283.259	454.857	112.617	-288.143	478.172	112.246	-300.024	502.75	113.632	-290.696	545.714	116.377	-266.204	461.724	117.304	-265.624	483.455	113.973	-272.107	506.251	114.326	-264.908	540.342	114.727	-248.633	435.275	100.681	-214.444	452.987	108.06	-190.46	473.428	122.541	-225.863	496.929	123.576	-224.028	515.539	116.731	-219.659	526.485	111.104	-216.875	466.013	108.606	-165.756	491.214	127.223	-183.809	526.266	120.117	-185.892	494.901	129.461	-134.885	536.12	130.047	-141.936	595.728	78.041	70.131	620.071	134.951	59.466
8	0.04667	419.678	96.909	-228.057	450.534	110.632	-304.574	472.204	112.703	-317.451	502.186	115.509	-307.554	544.744	120.825	-283.2	454.501	112.389	-288.023	477.818	111.993	-299.951	502.401	113.37	-290.636	545.378	116.231	-266.099	461.341	117.018	-265.504	483.086	113.739	-272.005	505.919	114.104	-264.839	539.99	114.536	-248.542	434.933	100.452	-214.315	452.67	107.819	-190.332	473.077	122.306	-225.774	496.578	123.367	-223.948	515.205	116.543	-219.607	526.137	110.89	-216.776	465.684	108.393	-165.637	490.87	127.02	-183.702	525.943	119.937	-185.822	494.6	129.279	-134.795	535.813	129.872	-141.877	595.546	77.988	70.182	619.86	134.872	59.488
9	0.05333	419.335	96.669	-227.907	450.186	110.387	-304.456	471.85	112.44	-317.359	501.846	115.225	-307.467	544.401	120.632	-283.112	454.146	112.112	-287.926	477.454	111.727	-299.859	502.084	113.162	-290.583	545.045	116.062	-266.029	460.99	116.814	-265.383	482.735	113.51	-271.912	505.604	113.879	-264.764	539.676	114.371	-248.471	434.615	100.237	-214.204	452.353	107.594	-190.233	472.733	122.077	-225.647	496.27	123.151	-223.871	514.896	116.367	-219.531	525.801	110.711	-216.692	465.4	108.211	-165.542	490.543	126.835	-183.645	525.65	119.772	-185.765	494.294	129.12	-134.7	535.537	129.754	-141.817	595.356	77.935	70.249	619.654	134.817	59.48
10	0.06	419.038	96.425	-227.781	449.842	110.135	-304.353	471.5	112.2	-317.257	501.554	114.971	-307.387	544.098	120.446	-283.018	453.806	111.883	-287.835	477.148	111.5	-299.782	501.787	112.912	-290.491	544.75	115.883	-265.958	460.68	116.571	-265.292	482.413	113.269	-271.828	505.305	113.662	-264.686	539.372	114.188	-248.387	434.288	100.021	-214.084	452.051	107.424	-190.142	472.42	121.897	-225.561	495.954	122.965	-223.782	514.588	116.19	-219.469	525.505	110.541	-216.619	465.098	108.045	-165.464	490.239	126.657	-183.568	525.347	119.631	-185.693	494.02	129.024	-134.647	535.251	129.632	-141.743	595.171	77.895	70.325	619.468	134.781	59.484
