Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
1	0	402.923	157.845	-224.132	454.243	164.675	-324.98	486.16	163.889	-339.226	505.64	156.454	-332.232	531.264	148.141	-310.703	457.582	173.47	-308.577	489.053	167.556	-322.881	511.342	163.234	-313.495	535.525	154.574	-295.213	465.084	186.962	-282.969	493.592	179.496	-293.399	519.146	176.996	-286.718	542.129	164.747	-273.95	420.626	159.685	-207.863	444.191	164.036	-182.413	480.474	193.758	-235.541	504.415	190.511	-236.303	519.181	182.718	-236.036	541.345	173.695	-231.502	478.647	173.923	-158.157	502.672	191.984	-187.874	538.284	179.256	-196.828	514.013	188.877	-136.753	553.349	181.164	-155.919	676.752	79.521	71.857	714.679	137.906	55.71
2	0.00667	402.964	157.815	-224.311	454.285	164.631	-325.153	486.185	163.827	-339.401	505.661	156.38	-332.402	531.288	148.063	-310.869	457.613	173.421	-308.754	489.087	167.494	-323.047	511.37	163.179	-313.648	535.56	154.531	-295.38	465.119	186.921	-283.138	493.618	179.44	-293.574	519.179	176.929	-286.893	542.163	164.685	-274.113	420.643	159.66	-208.049	444.226	164.007	-182.592	480.515	193.723	-235.714	504.448	190.459	-236.479	519.209	182.673	-236.213	541.367	173.653	-231.685	478.677	173.911	-158.353	502.709	191.953	-188.039	538.316	179.221	-196.999	514.034	188.862	-136.922	553.371	181.137	-156.084	676.519	79.755	71.999	714.631	137.881	55.6
3	0.01333	402.991	157.795	-224.478	454.323	164.6	-325.315	486.225	163.781	-339.564	505.694	156.327	-332.573	531.265	147.955	-310.943	457.653	173.281	-308.629	489.136	167.437	-323.202	511.396	163.126	-313.798	535.606	154.479	-295.527	465.168	186.893	-283.305	493.662	179.383	-293.753	519.214	176.874	-287.055	542.194	164.647	-274.268	420.675	159.636	-208.228	444.253	164	-182.758	480.55	193.687	-235.874	504.492	190.426	-236.658	519.247	182.628	-236.367	541.399	173.606	-231.833	478.696	173.9	-158.533	502.735	191.932	-188.197	538.342	179.191	-197.169	514.053	188.842	-137.087	553.388	181.106	-156.237	676.471	79.744	71.899	714.583	137.841	55.507
4	0.02	403.015	157.782	-224.643	454.378	164.58	-325.49	486.248	163.759	-339.651	505.672	156.127	-332.693	531.368	147.968	-311.168	457.72	173.274	-308.802	489.16	167.159	-323.231	511.216	163.022	-313.657	535.651	154.417	-295.675	465.226	186.843	-283.271	493.608	179.124	-293.717	519.156	176.784	-286.806	542.23	164.6	-274.422	420.699	159.616	-208.402	444.356	163.991	-182.99	480.484	193.423	-235.714	505.013	190.189	-237.217	519.282	182.55	-236.49	541.45	173.602	-231.982	478.722	173.918	-158.673	502.821	191.893	-188.162	538.37	179.157	-197.326	513.723	188.316	-137.485	553.451	181.277	-156.501	676.579	79.485	71.57	714.536	137.798	55.413
5	0.02667	403.078	157.688	-224.835	454.429	164.577	-325.733	486.321	163.738	-339.844	505.743	156.052	-332.862	531.422	147.874	-311.269	457.781	173.276	-309.039	489.277	167.132	-323.413	511.338	163.014	-313.857	535.73	154.353	-295.835	465.312	186.855	-283.508	493.682	179.088	-293.859	519.21	176.747	-286.968	542.298	164.548	-274.588	420.764	159.577	-208.601	444.357	163.916	-183.199	480.5	193.439	-235.996	505.047	190.179	-237.426	519.315	182.531	-236.677	541.526	173.585	-232.197	478.784	173.81	-158.918	502.913	191.933	-188.402	538.388	179.1	-197.499	513.7	188.271	-137.643	553.548	181.394	-156.701	676.777	79.291	71.458	714.501	137.752	55.283
6	0.03333	403.165	157.723	-224.962	454.525	164.54	-325.805	486.394	163.669	-339.945	505.807	156.03	-333.008	531.49	147.836	-311.406	457.848	173.198	-309.154	489.306	167.069	-323.529	511.339	162.899	-313.911	535.774	154.304	-295.957	465.435	186.797	-283.581	493.751	179.051	-294.005	519.278	176.73	-287.119	542.341	164.505	-274.72	420.818	159.542	-208.734	444.454	163.944	-183.323	480.536	193.416	-236.147	505.1	190.163	-237.582	519.368	182.492	-236.847	541.549	173.528	-232.327	478.853	173.854	-159.018	502.946	191.913	-188.562	538.41	179.052	-197.613	513.766	188.274	-137.748	553.532	181.177	-156.767	676.321	79.215	71.503	714.458	137.703	55.195
7	0.04	403.217	157.704	-225.126	454.593	164.51	-325.958	486.458	163.643	-340.082	505.871	156.015	-333.144	531.552	147.81	-311.551	457.899	173.167	-309.285	489.364	167.043	-323.658	511.391	162.872	-314.043	535.813	154.272	-296.09	465.501	186.789	-283.727	493.798	179.034	-294.15	519.336	176.727	-287.269	542.375	164.476	-274.847	420.857	159.526	-208.89	444.478	163.921	-183.464	480.564	193.399	-236.304	505.154	190.154	-237.724	519.408	182.464	-236.982	541.569	173.5	-232.456	478.867	173.85	-159.168	502.983	191.893	-188.693	538.436	179.025	-197.732	513.786	188.247	-137.88	553.562	181.143	-156.892	676.24	79.167	71.423	714.419	137.662	55.115
8	0.04667	403.252	157.688	-225.288	454.656	164.485	-326.101	486.525	163.619	-340.224	505.926	156.014	-333.298	531.592	147.792	-311.705	457.951	173.145	-309.411	489.418	167.017	-323.79	511.445	162.846	-314.161	535.846	154.253	-296.207	465.551	186.761	-283.852	493.862	179.008	-294.29	519.4	176.7	-287.409	542.414	164.451	-274.97	420.895	159.5	-209.051	444.495	163.914	-183.627	480.601	193.374	-236.445	505.2	190.137	-237.86	519.46	182.457	-237.112	541.62	173.465	-232.594	478.895	173.818	-159.306	503.01	191.873	-188.833	538.455	178.982	-197.871	513.806	188.229	-138.005	553.58	181.098	-157.005	676.181	79.138	71.338	714.377	137.63	55.047
9	0.05333	403.284	157.683	-225.45	454.709	164.455	-326.244	486.59	163.61	-340.367	505.989	156.002	-333.453	531.621	147.769	-311.836	458.001	173.115	-309.547	489.465	167.011	-323.935	511.496	162.813	-314.297	535.899	154.234	-296.335	465.6	186.739	-283.993	493.917	178.995	-294.421	519.442	176.674	-287.523	542.444	164.412	-275.095	420.929	159.477	-209.219	444.527	163.888	-183.794	480.64	193.348	-236.573	505.247	190.126	-237.998	519.5	182.44	-237.24	541.649	173.43	-232.717	478.914	173.799	-159.444	503.041	191.86	-188.955	538.49	178.943	-198.012	513.825	188.201	-138.125	553.594	181.078	-157.13	676.139	79.116	71.254	714.345	137.596	54.972
10	0.06	403.322	157.659	-225.591	454.761	164.421	-326.385	486.649	163.592	-340.509	506.041	155.95	-333.583	531.664	147.724	-311.945	458.053	173.093	-309.672	489.509	166.986	-324.067	511.556	162.771	-314.417	535.934	154.198	-296.463	465.639	186.711	-284.125	493.965	178.967	-294.555	519.488	176.621	-287.634	542.484	164.375	-275.214	420.972	159.467	-209.384	444.564	163.868	-183.949	480.681	193.332	-236.713	505.3	190.139	-238.172	519.544	182.432	-237.366	541.685	173.407	-232.831	478.936	173.772	-159.585	503.073	191.838	-189.082	538.511	178.901	-198.134	513.854	188.178	-138.261	553.61	181.048	-157.224	676.086	79.095	71.179	714.309	137.567	54.903
