Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ	ELX	ELY	ELZ
1	0	410.461	153.945	-243.489	464.986	149.743	-338.462	495.587	143.74	-350.282	515.792	136.951	-342.435	538.501	128.993	-318.995	468.279	160.47	-323.217	498.922	150.477	-335.05	521.581	146.494	-324.503	543.829	137.805	-304.951	475.997	177.12	-299.404	503.934	166.753	-307.608	530.498	163.374	-299.888	551.174	150.422	-285.056	426.832	157.519	-225.765	449.548	163.668	-199.327	489.799	189.095	-251.77	514.506	183.889	-251.725	528.378	174.817	-249.789	549.467	164.581	-243.117	482.97	173.499	-173.317	509.974	188.354	-202.698	544.808	172.436	-208.768	517.884	186.688	-150.862	557.629	175.32	-167.045	665.112	77.742	70.509	704.965	134.708	54.486
2	0.00667	410.568	153.853	-243.385	465.082	149.647	-338.359	495.692	143.628	-350.174	515.889	136.85	-342.344	538.615	128.919	-318.896	468.368	160.39	-323.12	499.011	150.402	-334.95	521.68	146.398	-324.408	543.925	137.748	-304.87	476.11	177.039	-299.312	504.03	166.69	-307.515	530.592	163.301	-299.803	551.278	150.343	-284.957	426.94	157.436	-225.671	449.657	163.597	-199.233	489.918	189.02	-251.668	514.625	183.81	-251.646	528.305	175.1	-250.339	549.577	164.528	-243.035	483.095	173.429	-173.217	510.096	188.292	-202.606	544.925	172.362	-208.673	517.998	186.635	-150.766	557.737	175.271	-166.956	665.234	77.718	70.615	705.079	134.692	54.584
3	0.01333	410.673	153.767	-243.278	465.172	149.547	-338.262	495.773	143.528	-350.073	515.976	136.744	-342.246	538.703	128.823	-318.804	468.451	160.29	-323.012	499.103	150.31	-334.841	521.793	146.276	-324.314	544.043	137.661	-304.774	476.224	176.959	-299.22	504.12	166.597	-307.421	530.684	163.213	-299.717	551.372	150.269	-284.87	427.04	157.363	-225.58	449.767	163.529	-199.139	490.02	188.945	-251.584	514.727	183.743	-251.568	528.339	175.11	-250.044	549.693	164.581	-242.786	483.21	173.374	-173.128	510.208	188.239	-202.521	545.023	172.294	-208.59	518.118	186.584	-150.676	557.843	175.221	-166.868	665.37	77.697	70.708	705.189	134.666	54.679
4	0.02	410.767	153.698	-243.174	465.261	149.417	-338.167	495.875	143.636	-350.296	516.064	136.613	-342.144	539.227	128.991	-318.946	468.628	160.115	-322.607	499.007	149.809	-334.785	521.939	146.217	-324.262	544.131	137.557	-304.673	476.209	176.684	-298.856	504.146	166.495	-307.411	530.686	163.432	-299.314	551.475	150.162	-284.787	427.139	157.303	-225.489	449.888	163.467	-199.041	490.263	188.801	-251.218	514.977	183.567	-251.244	528.578	174.621	-249.204	549.794	164.361	-242.865	483.415	173.368	-172.901	510.373	188.114	-202.27	545.122	172.223	-208.524	518.318	186.56	-150.555	557.954	175.165	-166.779	665.507	77.672	70.798	705.298	134.636	54.775
5	0.02667	410.891	153.596	-243.09	465.377	149.34	-338.18	495.98	143.467	-350.21	516.175	136.41	-342.033	539.347	128.811	-318.838	468.735	159.98	-322.576	499.138	149.684	-334.719	522.053	146.059	-324.168	544.25	137.388	-304.573	476.324	176.575	-298.796	504.316	166.397	-307.359	530.835	163.328	-299.233	551.587	150.021	-284.721	427.255	157.261	-225.42	450.01	163.411	-199.029	490.411	188.747	-251.231	515.136	183.477	-251.235	528.732	174.564	-249.177	549.929	164.268	-242.828	483.558	173.315	-172.923	510.517	188.129	-202.259	545.253	172.094	-208.506	518.451	186.519	-150.47	558.109	175.142	-166.79	666.252	77.71	70.556	705.413	134.601	54.832
6	0.03333	411.003	153.553	-242.99	465.468	149.191	-338.064	496.075	143.287	-350.12	516.266	136.224	-341.936	539.427	128.643	-318.736	468.835	159.819	-322.49	499.212	149.498	-334.582	522.132	145.901	-324.067	544.337	137.206	-304.481	476.424	176.453	-298.709	504.387	166.198	-307.24	530.914	163.127	-299.099	551.657	149.851	-284.594	427.376	157.224	-225.33	450.111	163.396	-198.953	490.509	188.665	-251.176	515.227	183.373	-251.157	528.814	174.416	-249.082	550.034	164.16	-242.761	483.647	173.274	-172.865	510.633	188.066	-202.187	545.369	172.024	-208.427	518.583	186.503	-150.424	558.218	175.08	-166.699	666.232	77.86	70.815	705.523	134.562	54.913
7	0.04	411.113	153.551	-242.853	465.587	148.971	-337.86	496.174	143.114	-350.029	516.334	136.05	-341.852	539.499	128.452	-318.626	468.927	159.685	-322.386	499.296	149.321	-334.485	522.229	145.692	-323.953	544.417	137.035	-304.372	476.535	176.322	-298.62	504.484	166.059	-307.156	530.999	162.973	-299.033	551.765	149.687	-284.496	427.508	157.191	-225.207	450.271	163.393	-198.798	490.632	188.563	-251.097	515.329	183.263	-251.09	528.903	174.292	-248.998	550.12	164.04	-242.677	483.764	173.284	-172.784	510.756	187.999	-202.107	545.479	171.933	-208.344	518.7	186.465	-150.35	558.347	174.981	-166.602	666.009	77.373	71.101	705.62	134.514	55.003
8	0.04667	411.207	153.567	-242.738	465.678	148.844	-337.75	496.244	142.958	-349.926	516.474	135.972	-341.878	539.551	128.237	-318.524	469.039	159.591	-322.302	499.388	149.143	-334.387	522.313	145.529	-323.871	544.484	136.854	-304.274	476.623	176.228	-298.561	504.573	165.898	-307.07	531.087	162.809	-298.977	551.861	149.504	-284.435	427.594	157.187	-225.114	450.391	163.395	-198.69	490.771	188.451	-250.994	515.424	183.173	-251.035	529.017	174.167	-248.912	550.221	163.9	-242.597	483.903	173.283	-172.692	510.899	187.937	-202.039	545.6	171.817	-208.269	518.812	186.415	-150.263	558.45	174.917	-166.519	666.125	77.285	71.108	705.708	134.48	55.095
9	0.05333	411.292	153.584	-242.65	465.751	148.736	-337.66	496.314	142.836	-349.853	516.531	135.786	-341.767	539.602	128.082	-318.428	469.129	159.497	-322.224	499.466	149.003	-334.294	522.371	145.361	-323.772	544.55	136.662	-304.183	476.727	176.129	-298.493	504.671	165.777	-306.997	531.176	162.662	-298.906	551.933	149.364	-284.364	427.678	157.147	-224.979	450.494	163.375	-198.57	490.871	188.394	-250.935	515.524	183.081	-250.969	529.107	174.073	-248.844	550.317	163.774	-242.512	484.043	173.265	-172.615	511.008	187.885	-201.983	545.687	171.714	-208.202	518.929	186.391	-150.2	558.546	174.839	-166.446	666.198	77.211	71.179	705.801	134.439	55.175
10	0.06	411.36	153.59	-242.562	465.811	148.645	-337.57	496.372	142.689	-349.725	516.584	135.643	-341.679	539.654	127.919	-318.319	469.207	159.41	-322.153	499.522	148.904	-334.214	522.432	145.208	-323.689	544.603	136.522	-304.096	476.821	176.05	-298.429	504.753	165.676	-306.931	531.253	162.503	-298.802	552.001	149.251	-284.281	427.786	157.135	-224.871	450.589	163.387	-198.491	490.974	188.345	-250.88	515.629	183.004	-250.901	529.193	173.982	-248.774	550.407	163.673	-242.442	484.138	173.257	-172.545	511.105	187.801	-201.898	545.775	171.638	-208.141	519.027	186.358	-150.131	558.634	174.767	-166.376	666.283	77.16	71.235	705.889	134.392	55.264
